,usage_end_time,cost,usage_amount,usage_unit,service_type
433857,2024-05-17 8:00:00,0.035236,2883.0,seconds,BigQuery Reservation API
433951,2024-05-17 9:00:00,0.035236,2883.0,seconds,BigQuery Reservation API
434055,2024-05-17 10:00:00,0.035236,2883.0,seconds,BigQuery Reservation API
434174,2024-05-17 11:00:00,0.035236,2883.0,seconds,BigQuery Reservation API
434328,2024-05-17 12:00:00,0.018553,1518.0,seconds,BigQuery Reservation API
434329,2024-05-17 12:00:00,0.031545,2581.0,seconds,BigQuery Reservation API
434500,2024-05-17 13:00:00,0.0,0.0,seconds,BigQuery Reservation API
434501,2024-05-17 13:00:00,0.177723,14541.0,seconds,BigQuery Reservation API
434649,2024-05-17 14:00:00,0.160502,13132.0,seconds,BigQuery Reservation API
434650,2024-05-17 14:00:00,0.001442,118.0,seconds,BigQuery Reservation API
434807,2024-05-17 15:00:00,0.013297,1088.0,seconds,BigQuery Reservation API
