,usage_end_time,cost,usage_amount,usage_unit,service_type
14888,2023-12-13 11:00:00,0.0,10485760.0,byte-seconds,BigQuery
15013,2023-12-13 12:00:00,0.0,10485760.0,byte-seconds,BigQuery
15098,2023-12-13 13:00:00,0.0,10485760.0,byte-seconds,BigQuery
15177,2023-12-13 14:00:00,0.0,10485760.0,byte-seconds,BigQuery
15272,2023-12-13 15:00:00,0.0,10485760.0,byte-seconds,BigQuery
15367,2023-12-13 16:00:00,0.0,10485760.0,byte-seconds,BigQuery
15449,2023-12-13 17:00:00,0.0,10485760.0,byte-seconds,BigQuery
15547,2023-12-13 18:00:00,0.0,10485760.0,byte-seconds,BigQuery
15663,2023-12-13 19:00:00,0.0,10485760.0,byte-seconds,BigQuery
15792,2023-12-13 20:00:00,0.0,10485760.0,byte-seconds,BigQuery
15901,2023-12-13 21:00:00,0.0,10485760.0,byte-seconds,BigQuery
15994,2023-12-13 22:00:00,0.0,10485760.0,byte-seconds,BigQuery
16098,2023-12-13 23:00:00,0.0,10485760.0,byte-seconds,BigQuery
16211,2023-12-14 0:00:00,0.0,10485760.0,byte-seconds,BigQuery
16337,2023-12-14 1:00:00,0.0,10485760.0,byte-seconds,BigQuery
16446,2023-12-14 2:00:00,0.0,10485760.0,byte-seconds,BigQuery
16487,2023-12-14 3:00:00,0.0,10485760.0,byte-seconds,BigQuery
16592,2023-12-14 4:00:00,0.0,10485760.0,byte-seconds,BigQuery
16716,2023-12-14 5:00:00,0.0,10485760.0,byte-seconds,BigQuery
16815,2023-12-14 6:00:00,0.0,10485760.0,byte-seconds,BigQuery
16918,2023-12-14 7:00:00,0.0,10485760.0,byte-seconds,BigQuery
17003,2023-12-14 8:00:00,0.0,10485760.0,byte-seconds,BigQuery
17124,2023-12-14 9:00:00,0.0,10485760.0,byte-seconds,BigQuery
17207,2023-12-14 10:00:00,0.0,10485760.0,byte-seconds,BigQuery
17292,2023-12-14 11:00:00,0.0,10485760.0,byte-seconds,BigQuery
17376,2023-12-14 12:00:00,0.0,10485760.0,byte-seconds,BigQuery
17501,2023-12-14 13:00:00,0.0,10485760.0,byte-seconds,BigQuery
17619,2023-12-14 14:00:00,0.0,10485760.0,byte-seconds,BigQuery
17713,2023-12-14 15:00:00,0.0,10485760.0,byte-seconds,BigQuery
17820,2023-12-14 16:00:00,0.0,10485760.0,byte-seconds,BigQuery
17969,2023-12-14 17:00:00,0.0,10485760.0,byte-seconds,BigQuery
18065,2023-12-14 18:00:00,0.0,10485760.0,byte-seconds,BigQuery
18170,2023-12-14 19:00:00,0.0,10485760.0,byte-seconds,BigQuery
18284,2023-12-14 20:00:00,0.0,10485760.0,byte-seconds,BigQuery
18442,2023-12-14 21:00:00,0.0,10485760.0,byte-seconds,BigQuery
18555,2023-12-14 22:00:00,0.0,10485760.0,byte-seconds,BigQuery
18667,2023-12-14 23:00:00,0.0,10485760.0,byte-seconds,BigQuery
18757,2023-12-15 0:00:00,0.0,10485760.0,byte-seconds,BigQuery
18883,2023-12-15 1:00:00,0.0,10485760.0,byte-seconds,BigQuery
18999,2023-12-15 2:00:00,0.0,10485760.0,byte-seconds,BigQuery
19125,2023-12-15 3:00:00,0.0,10485760.0,byte-seconds,BigQuery
19236,2023-12-15 4:00:00,0.0,10485760.0,byte-seconds,BigQuery
19353,2023-12-15 5:00:00,0.0,10485760.0,byte-seconds,BigQuery
19457,2023-12-15 6:00:00,0.0,10485760.0,byte-seconds,BigQuery
19561,2023-12-15 7:00:00,0.0,10485760.0,byte-seconds,BigQuery
19665,2023-12-15 8:00:00,0.0,10485760.0,byte-seconds,BigQuery
19911,2023-12-15 9:00:00,0.0,10485760.0,byte-seconds,BigQuery
20018,2023-12-15 10:00:00,0.0,10485760.0,byte-seconds,BigQuery
20109,2023-12-15 11:00:00,0.0,10485760.0,byte-seconds,BigQuery
20232,2023-12-15 12:00:00,0.0,10485760.0,byte-seconds,BigQuery
20321,2023-12-15 13:00:00,0.0,10485760.0,byte-seconds,BigQuery
20432,2023-12-15 14:00:00,0.0,10485760.0,byte-seconds,BigQuery
20516,2023-12-15 15:00:00,0.0,10485760.0,byte-seconds,BigQuery
20597,2023-12-15 16:00:00,0.0,10485760.0,byte-seconds,BigQuery
20675,2023-12-15 17:00:00,0.0,10485760.0,byte-seconds,BigQuery
20773,2023-12-15 18:00:00,0.0,10485760.0,byte-seconds,BigQuery
20871,2023-12-15 19:00:00,0.0,10485760.0,byte-seconds,BigQuery
20972,2023-12-15 20:00:00,0.0,10485760.0,byte-seconds,BigQuery
21118,2023-12-15 21:00:00,0.0,10485760.0,byte-seconds,BigQuery
21217,2023-12-15 22:00:00,0.0,10485760.0,byte-seconds,BigQuery
21304,2023-12-15 23:00:00,0.0,10485760.0,byte-seconds,BigQuery
21424,2023-12-16 0:00:00,0.0,10485760.0,byte-seconds,BigQuery
21568,2023-12-16 1:00:00,0.0,10485760.0,byte-seconds,BigQuery
21664,2023-12-16 2:00:00,0.0,10485760.0,byte-seconds,BigQuery
21769,2023-12-16 3:00:00,0.0,10485760.0,byte-seconds,BigQuery
21858,2023-12-16 4:00:00,0.0,10485760.0,byte-seconds,BigQuery
22007,2023-12-16 5:00:00,0.0,10485760.0,byte-seconds,BigQuery
22128,2023-12-16 6:00:00,0.0,10485760.0,byte-seconds,BigQuery
22233,2023-12-16 7:00:00,0.0,10485760.0,byte-seconds,BigQuery
22320,2023-12-16 8:00:00,0.0,10485760.0,byte-seconds,BigQuery
22429,2023-12-16 9:00:00,0.0,10485760.0,byte-seconds,BigQuery
22518,2023-12-16 10:00:00,0.0,10485760.0,byte-seconds,BigQuery
22621,2023-12-16 11:00:00,0.0,10485760.0,byte-seconds,BigQuery
22714,2023-12-16 12:00:00,0.0,10485760.0,byte-seconds,BigQuery
22864,2023-12-16 13:00:00,0.0,10485760.0,byte-seconds,BigQuery
22981,2023-12-16 14:00:00,0.0,10485760.0,byte-seconds,BigQuery
23071,2023-12-16 15:00:00,0.0,10485760.0,byte-seconds,BigQuery
23200,2023-12-16 16:00:00,0.0,10485760.0,byte-seconds,BigQuery
23339,2023-12-16 17:00:00,0.0,10485760.0,byte-seconds,BigQuery
23444,2023-12-16 18:00:00,0.0,10485760.0,byte-seconds,BigQuery
23552,2023-12-16 19:00:00,0.0,10485760.0,byte-seconds,BigQuery
23675,2023-12-16 20:00:00,0.0,10485760.0,byte-seconds,BigQuery
23793,2023-12-16 21:00:00,0.0,10485760.0,byte-seconds,BigQuery
23903,2023-12-16 22:00:00,0.0,10485760.0,byte-seconds,BigQuery
24017,2023-12-16 23:00:00,0.0,10485760.0,byte-seconds,BigQuery
24137,2023-12-17 0:00:00,0.0,10485760.0,byte-seconds,BigQuery
24260,2023-12-17 1:00:00,0.0,10485760.0,byte-seconds,BigQuery
24376,2023-12-17 2:00:00,0.0,10485760.0,byte-seconds,BigQuery
24499,2023-12-17 3:00:00,0.0,10485760.0,byte-seconds,BigQuery
24622,2023-12-17 4:00:00,0.0,10485760.0,byte-seconds,BigQuery
24750,2023-12-17 5:00:00,0.0,10485760.0,byte-seconds,BigQuery
24849,2023-12-17 6:00:00,0.0,10485760.0,byte-seconds,BigQuery
24965,2023-12-17 7:00:00,0.0,10485760.0,byte-seconds,BigQuery
25101,2023-12-17 8:00:00,0.0,10485760.0,byte-seconds,BigQuery
25173,2023-12-17 9:00:00,0.0,10485760.0,byte-seconds,BigQuery
25275,2023-12-17 10:00:00,0.0,10485760.0,byte-seconds,BigQuery
25381,2023-12-17 11:00:00,0.0,10485760.0,byte-seconds,BigQuery
25476,2023-12-17 12:00:00,0.0,10485760.0,byte-seconds,BigQuery
25618,2023-12-17 13:00:00,0.0,10485760.0,byte-seconds,BigQuery
25745,2023-12-17 14:00:00,0.0,10485760.0,byte-seconds,BigQuery
25836,2023-12-17 15:00:00,0.0,10485760.0,byte-seconds,BigQuery
25948,2023-12-17 16:00:00,0.0,10485760.0,byte-seconds,BigQuery
26107,2023-12-17 17:00:00,0.0,10485760.0,byte-seconds,BigQuery
26222,2023-12-17 18:00:00,0.0,10485760.0,byte-seconds,BigQuery
26333,2023-12-17 19:00:00,0.0,10485760.0,byte-seconds,BigQuery
26463,2023-12-17 20:00:00,0.0,10485760.0,byte-seconds,BigQuery
26585,2023-12-17 21:00:00,0.0,10485760.0,byte-seconds,BigQuery
26681,2023-12-17 22:00:00,0.0,10485760.0,byte-seconds,BigQuery
26785,2023-12-17 23:00:00,0.0,10485760.0,byte-seconds,BigQuery
26895,2023-12-18 0:00:00,0.0,10485760.0,byte-seconds,BigQuery
27019,2023-12-18 1:00:00,0.0,10485760.0,byte-seconds,BigQuery
27133,2023-12-18 2:00:00,0.0,10485760.0,byte-seconds,BigQuery
27239,2023-12-18 3:00:00,0.0,10485760.0,byte-seconds,BigQuery
27359,2023-12-18 4:00:00,0.0,10485760.0,byte-seconds,BigQuery
27501,2023-12-18 5:00:00,0.0,10485760.0,byte-seconds,BigQuery
27617,2023-12-18 6:00:00,0.0,10485760.0,byte-seconds,BigQuery
27714,2023-12-18 7:00:00,0.0,10485760.0,byte-seconds,BigQuery
27837,2023-12-18 8:00:00,0.0,10485760.0,byte-seconds,BigQuery
27912,2023-12-18 9:00:00,0.0,10485760.0,byte-seconds,BigQuery
28005,2023-12-18 10:00:00,0.0,10485760.0,byte-seconds,BigQuery
28103,2023-12-18 11:00:00,0.0,17825792.0,byte-seconds,BigQuery
28208,2023-12-18 12:00:00,0.0,45088768.0,byte-seconds,BigQuery
28344,2023-12-18 13:00:00,0.0,45088768.0,byte-seconds,BigQuery
28450,2023-12-18 14:00:00,0.0,45088768.0,byte-seconds,BigQuery
28574,2023-12-18 15:00:00,0.0,45088768.0,byte-seconds,BigQuery
28669,2023-12-18 16:00:00,0.0,45088768.0,byte-seconds,BigQuery
28821,2023-12-18 17:00:00,0.0,45088768.0,byte-seconds,BigQuery
28936,2023-12-18 18:00:00,0.0,45088768.0,byte-seconds,BigQuery
29036,2023-12-18 19:00:00,0.0,45088768.0,byte-seconds,BigQuery
29159,2023-12-18 20:00:00,0.0,45088768.0,byte-seconds,BigQuery
29288,2023-12-18 21:00:00,0.0,45088768.0,byte-seconds,BigQuery
29411,2023-12-18 22:00:00,0.0,45088768.0,byte-seconds,BigQuery
29521,2023-12-18 23:00:00,0.0,45088768.0,byte-seconds,BigQuery
29628,2023-12-19 0:00:00,0.0,45088768.0,byte-seconds,BigQuery
29760,2023-12-19 1:00:00,0.0,45088768.0,byte-seconds,BigQuery
29872,2023-12-19 2:00:00,0.0,45088768.0,byte-seconds,BigQuery
29980,2023-12-19 3:00:00,0.0,45088768.0,byte-seconds,BigQuery
30074,2023-12-19 4:00:00,0.0,45088768.0,byte-seconds,BigQuery
30206,2023-12-19 5:00:00,0.0,45088768.0,byte-seconds,BigQuery
30312,2023-12-19 6:00:00,0.0,45088768.0,byte-seconds,BigQuery
30427,2023-12-19 7:00:00,0.0,45088768.0,byte-seconds,BigQuery
30545,2023-12-19 8:00:00,0.0,45088768.0,byte-seconds,BigQuery
30684,2023-12-19 9:00:00,0.0,50331648.0,byte-seconds,BigQuery
30800,2023-12-19 10:00:00,0.0,60817408.0,byte-seconds,BigQuery
30887,2023-12-19 11:00:00,0.0,113246208.0,byte-seconds,BigQuery
30989,2023-12-19 12:00:00,0.0,118489088.0,byte-seconds,BigQuery
31144,2023-12-19 13:00:00,0.0,132120576.0,byte-seconds,BigQuery
31247,2023-12-19 14:00:00,0.0,137363456.0,byte-seconds,BigQuery
31327,2023-12-19 15:00:00,0.0,137363456.0,byte-seconds,BigQuery
31438,2023-12-19 16:00:00,0.0,137363456.0,byte-seconds,BigQuery
