,usage_end_time,cost,usage_amount,usage_unit,service_type
207836,2024-02-20 8:00:00,0.000287,3600.0,seconds,Cloud DNS
211044,2024-02-21 14:00:00,0.000287,3600.0,seconds,Cloud DNS
250527,2024-03-08 17:00:00,0.000538,7200.0,seconds,Cloud DNS
267484,2024-03-15 14:00:00,0.000269,3600.0,seconds,Cloud DNS
267623,2024-03-15 15:00:00,0.000269,3600.0,seconds,Cloud DNS
267761,2024-03-15 16:00:00,0.000269,3600.0,seconds,Cloud DNS
267821,2024-03-15 17:00:00,0.000269,3600.0,seconds,Cloud DNS
267934,2024-03-15 18:00:00,0.000269,3600.0,seconds,Cloud DNS
268040,2024-03-15 19:00:00,0.000269,3600.0,seconds,Cloud DNS
268162,2024-03-15 20:00:00,0.000269,3600.0,seconds,Cloud DNS
268251,2024-03-15 21:00:00,0.000269,3600.0,seconds,Cloud DNS
268354,2024-03-15 22:00:00,0.000269,3600.0,seconds,Cloud DNS
268446,2024-03-15 23:00:00,0.000269,3600.0,seconds,Cloud DNS
268579,2024-03-16 0:00:00,0.000269,3600.0,seconds,Cloud DNS
268676,2024-03-16 1:00:00,0.000269,3600.0,seconds,Cloud DNS
268757,2024-03-16 2:00:00,0.000269,3600.0,seconds,Cloud DNS
268844,2024-03-16 3:00:00,0.000269,3600.0,seconds,Cloud DNS
268960,2024-03-16 4:00:00,0.000269,3600.0,seconds,Cloud DNS
269049,2024-03-16 5:00:00,0.000269,3600.0,seconds,Cloud DNS
269133,2024-03-16 6:00:00,0.000269,3600.0,seconds,Cloud DNS
269210,2024-03-16 7:00:00,0.000269,3600.0,seconds,Cloud DNS
269296,2024-03-16 8:00:00,0.000269,3600.0,seconds,Cloud DNS
269378,2024-03-16 9:00:00,0.000269,3600.0,seconds,Cloud DNS
269482,2024-03-16 10:00:00,0.000269,3600.0,seconds,Cloud DNS
269576,2024-03-16 11:00:00,0.000269,3600.0,seconds,Cloud DNS
269682,2024-03-16 12:00:00,0.000269,3600.0,seconds,Cloud DNS
269787,2024-03-16 13:00:00,0.000269,3600.0,seconds,Cloud DNS
269873,2024-03-16 14:00:00,0.000269,3600.0,seconds,Cloud DNS
269960,2024-03-16 15:00:00,0.000269,3600.0,seconds,Cloud DNS
270071,2024-03-16 16:00:00,0.000269,3600.0,seconds,Cloud DNS
270153,2024-03-16 17:00:00,0.000269,3600.0,seconds,Cloud DNS
270286,2024-03-16 18:00:00,0.000269,3600.0,seconds,Cloud DNS
270357,2024-03-16 19:00:00,0.000269,3600.0,seconds,Cloud DNS
270447,2024-03-16 20:00:00,0.000269,3600.0,seconds,Cloud DNS
270538,2024-03-16 21:00:00,0.000269,3600.0,seconds,Cloud DNS
270643,2024-03-16 22:00:00,0.000269,3600.0,seconds,Cloud DNS
270740,2024-03-16 23:00:00,0.000269,3600.0,seconds,Cloud DNS
270866,2024-03-17 0:00:00,0.000269,3600.0,seconds,Cloud DNS
270965,2024-03-17 1:00:00,0.000269,3600.0,seconds,Cloud DNS
271059,2024-03-17 2:00:00,0.000269,3600.0,seconds,Cloud DNS
271149,2024-03-17 3:00:00,0.000269,3600.0,seconds,Cloud DNS
271274,2024-03-17 4:00:00,0.000269,3600.0,seconds,Cloud DNS
271359,2024-03-17 5:00:00,0.000269,3600.0,seconds,Cloud DNS
271460,2024-03-17 6:00:00,0.000269,3600.0,seconds,Cloud DNS
271583,2024-03-17 7:00:00,0.000269,3600.0,seconds,Cloud DNS
271708,2024-03-17 8:00:00,0.000269,3600.0,seconds,Cloud DNS
271804,2024-03-17 9:00:00,0.000269,3600.0,seconds,Cloud DNS
271916,2024-03-17 10:00:00,0.000269,3600.0,seconds,Cloud DNS
272021,2024-03-17 11:00:00,0.000269,3600.0,seconds,Cloud DNS
272152,2024-03-17 12:00:00,0.000269,3600.0,seconds,Cloud DNS
272252,2024-03-17 13:00:00,0.000269,3600.0,seconds,Cloud DNS
272366,2024-03-17 14:00:00,0.000269,3600.0,seconds,Cloud DNS
272488,2024-03-17 15:00:00,0.000269,3600.0,seconds,Cloud DNS
272616,2024-03-17 16:00:00,0.000269,3600.0,seconds,Cloud DNS
272719,2024-03-17 17:00:00,0.000269,3600.0,seconds,Cloud DNS
272774,2024-03-17 18:00:00,0.000269,3600.0,seconds,Cloud DNS
272890,2024-03-17 19:00:00,0.000269,3600.0,seconds,Cloud DNS
272999,2024-03-17 20:00:00,0.000269,3600.0,seconds,Cloud DNS
273104,2024-03-17 21:00:00,0.000269,3600.0,seconds,Cloud DNS
273196,2024-03-17 22:00:00,0.000269,3600.0,seconds,Cloud DNS
273310,2024-03-17 23:00:00,0.000269,3600.0,seconds,Cloud DNS
273421,2024-03-18 0:00:00,0.000269,3600.0,seconds,Cloud DNS
273462,2024-03-18 1:00:00,0.0,1.0,requests,Cloud DNS
273531,2024-03-18 1:00:00,0.000269,3600.0,seconds,Cloud DNS
273575,2024-03-18 2:00:00,0.0,1.0,requests,Cloud DNS
273631,2024-03-18 2:00:00,0.000269,3600.0,seconds,Cloud DNS
273668,2024-03-18 3:00:00,0.0,1.0,requests,Cloud DNS
273725,2024-03-18 3:00:00,0.000269,3600.0,seconds,Cloud DNS
273782,2024-03-18 4:00:00,0.0,1.0,requests,Cloud DNS
273847,2024-03-18 4:00:00,0.000269,3600.0,seconds,Cloud DNS
273953,2024-03-18 5:00:00,0.000269,3600.0,seconds,Cloud DNS
274056,2024-03-18 6:00:00,0.000269,3600.0,seconds,Cloud DNS
274164,2024-03-18 7:00:00,0.000269,3600.0,seconds,Cloud DNS
274259,2024-03-18 8:00:00,0.000807,10800.0,seconds,Cloud DNS
274346,2024-03-18 9:00:00,0.000269,3600.0,seconds,Cloud DNS
274442,2024-03-18 10:00:00,0.000269,3600.0,seconds,Cloud DNS
274540,2024-03-18 11:00:00,0.000538,7200.0,seconds,Cloud DNS
274648,2024-03-18 12:00:00,0.000538,7200.0,seconds,Cloud DNS
274754,2024-03-18 13:00:00,0.000538,7200.0,seconds,Cloud DNS
274875,2024-03-18 14:00:00,0.000538,7200.0,seconds,Cloud DNS
275011,2024-03-18 15:00:00,0.000538,7200.0,seconds,Cloud DNS
275125,2024-03-18 16:00:00,0.000538,7200.0,seconds,Cloud DNS
275223,2024-03-18 17:00:00,0.000538,7200.0,seconds,Cloud DNS
275279,2024-03-18 18:00:00,0.000538,7200.0,seconds,Cloud DNS
275388,2024-03-18 19:00:00,0.000538,7200.0,seconds,Cloud DNS
275508,2024-03-18 20:00:00,0.000538,7200.0,seconds,Cloud DNS
275606,2024-03-18 21:00:00,0.000538,7200.0,seconds,Cloud DNS
