,usage_end_time,cost,usage_amount,usage_unit,service_type
592718,2024-07-10 14:00:00,0.003818,233.0,seconds,Cloud Dataflow
592721,2024-07-10 14:00:00,0.001013,939018682368.0,byte-seconds,Cloud Dataflow
592826,2024-07-10 14:00:00,8.6e-05,6259914833920.0,byte-seconds,Cloud Dataflow
594678,2024-07-11 6:00:00,0.000983,60.0,seconds,Cloud Dataflow
594688,2024-07-11 6:00:00,0.000259,239990945942.0,byte-seconds,Cloud Dataflow
594805,2024-07-11 6:00:00,2.2e-05,1599939639612.0,byte-seconds,Cloud Dataflow
594824,2024-07-11 7:00:00,0.003261,199.0,seconds,Cloud Dataflow
594825,2024-07-11 7:00:00,0.004343,265.0,seconds,Cloud Dataflow
594838,2024-07-11 7:00:00,0.000869,806047500138.0,byte-seconds,Cloud Dataflow
594839,2024-07-11 7:00:00,0.001152,1067570954240.0,byte-seconds,Cloud Dataflow
594991,2024-07-11 7:00:00,9.9e-05,7116760809472.0,byte-seconds,Cloud Dataflow
594992,2024-07-11 7:00:00,7.5e-05,5372939765444.0,byte-seconds,Cloud Dataflow
626533,2024-07-22 12:00:00,0.004277,261.0,seconds,Cloud Dataflow
626539,2024-07-22 12:00:00,0.001135,1051891597312.0,byte-seconds,Cloud Dataflow
626633,2024-07-22 12:00:00,9.7e-05,7012607852544.0,byte-seconds,Cloud Dataflow
626686,2024-07-22 13:00:00,0.005096,311.0,seconds,Cloud Dataflow
626690,2024-07-22 13:00:00,0.001354,1255434878976.0,byte-seconds,Cloud Dataflow
626776,2024-07-22 13:00:00,0.000116,8368743776256.0,byte-seconds,Cloud Dataflow
626866,2024-07-22 14:00:00,0.004998,305.0,seconds,Cloud Dataflow
626869,2024-07-22 14:00:00,0.001327,1230212431872.0,byte-seconds,Cloud Dataflow
626934,2024-07-22 14:00:00,0.000114,8201240051712.0,byte-seconds,Cloud Dataflow
627042,2024-07-22 15:00:00,0.0,0.0,seconds,Cloud Dataflow
627043,2024-07-22 15:00:00,0.004539,277.0,seconds,Cloud Dataflow
627046,2024-07-22 15:00:00,0.001206,1117887922176.0,byte-seconds,Cloud Dataflow
627096,2024-07-22 15:00:00,0.000104,7451768258560.0,byte-seconds,Cloud Dataflow
628759,2024-07-23 6:00:00,9.7e-05,7053410041856.0,byte-seconds,Cloud Dataflow
628827,2024-07-23 6:00:00,0.001141,1058106507264.0,byte-seconds,Cloud Dataflow
628839,2024-07-23 6:00:00,0.004293,262.0,seconds,Cloud Dataflow
629106,2024-07-23 9:00:00,0.000388,27917287424000.0,byte-seconds,Cloud Dataflow
629107,2024-07-23 9:00:00,0.000334,24017410999852.0,byte-seconds,Cloud Dataflow
629198,2024-07-23 9:00:00,0.004517,4187593113600.0,byte-seconds,Cloud Dataflow
