,usage_end_time,cost,usage_amount,usage_unit,service_type
316550,2024-04-04 10:00:00,0.0,1.0,requests,Cloud Functions
316556,2024-04-04 10:00:00,1e-06,751619277.0,byte-seconds,Cloud Functions
316586,2024-04-04 10:00:00,6.6e-05,3.0,seconds,Cloud Functions
369089,2024-04-24 9:00:00,0.0,6.0,bytes,Cloud Functions
369090,2024-04-24 9:00:00,0.0,2.0,bytes,Cloud Functions
369094,2024-04-24 9:00:00,0.0,3.0,requests,Cloud Functions
369095,2024-04-24 9:00:00,0.0,2.0,requests,Cloud Functions
369101,2024-04-24 9:00:00,2e-06,1046898278.0,byte-seconds,Cloud Functions
369134,2024-04-24 9:00:00,7e-05,3.0,seconds,Cloud Functions
369211,2024-04-24 10:00:00,0.0,2.0,bytes,Cloud Functions
369218,2024-04-24 10:00:00,0.0,1.0,requests,Cloud Functions
369227,2024-04-24 10:00:00,1e-06,805306368.0,byte-seconds,Cloud Functions
369259,2024-04-24 10:00:00,5.6e-05,2.0,seconds,Cloud Functions
369456,2024-04-24 12:00:00,0.0,1.0,requests,Cloud Functions
369462,2024-04-24 12:00:00,1.2e-05,5556613939.0,byte-seconds,Cloud Functions
369488,2024-04-24 12:00:00,0.000533,22.0,seconds,Cloud Functions
371268,2024-04-25 3:00:00,0.0,181.0,bytes,Cloud Functions
371269,2024-04-25 3:00:00,0.0,2.0,bytes,Cloud Functions
371275,2024-04-25 3:00:00,0.0,1.0,requests,Cloud Functions
371276,2024-04-25 3:00:00,0.0,1.0,requests,Cloud Functions
371290,2024-04-25 3:00:00,1e-06,483183821.0,byte-seconds,Cloud Functions
371291,2024-04-25 3:00:00,1.2e-05,5449239757.0,byte-seconds,Cloud Functions
371326,2024-04-25 3:00:00,7e-06,0.0,seconds,Cloud Functions
371327,2024-04-25 3:00:00,0.00051,21.0,seconds,Cloud Functions
371833,2024-04-25 8:00:00,0.0,366.0,bytes,Cloud Functions
371834,2024-04-25 8:00:00,0.0,183.0,bytes,Cloud Functions
371838,2024-04-25 8:00:00,0.0,6.0,requests,Cloud Functions
371847,2024-04-25 8:00:00,2.6e-05,11408506880.0,byte-seconds,Cloud Functions
371879,2024-04-25 8:00:00,0.00045,19.0,seconds,Cloud Functions
371880,2024-04-25 8:00:00,0.000577,24.0,seconds,Cloud Functions
371965,2024-04-25 9:00:00,0.0,183.0,bytes,Cloud Functions
371970,2024-04-25 9:00:00,0.0,2.0,requests,Cloud Functions
371980,2024-04-25 9:00:00,1.2e-05,5556613939.0,byte-seconds,Cloud Functions
372006,2024-04-25 9:00:00,0.000533,22.0,seconds,Cloud Functions
372082,2024-04-25 10:00:00,0.0,183.0,bytes,Cloud Functions
372088,2024-04-25 10:00:00,0.0,2.0,requests,Cloud Functions
372097,2024-04-25 10:00:00,1.5e-05,6818260582.0,byte-seconds,Cloud Functions
372120,2024-04-25 10:00:00,0.000541,23.0,seconds,Cloud Functions
372239,2024-04-25 11:00:00,0.0,181.0,bytes,Cloud Functions
372240,2024-04-25 11:00:00,0.0,185.0,bytes,Cloud Functions
372246,2024-04-25 11:00:00,0.0,3.0,requests,Cloud Functions
372247,2024-04-25 11:00:00,0.0,1.0,requests,Cloud Functions
372255,2024-04-25 11:00:00,1.4e-05,6254546125.0,byte-seconds,Cloud Functions
372256,2024-04-25 11:00:00,1.3e-05,5583457485.0,byte-seconds,Cloud Functions
372283,2024-04-25 11:00:00,0.000522,22.0,seconds,Cloud Functions
372284,2024-04-25 11:00:00,0.000512,21.0,seconds,Cloud Functions
372416,2024-04-25 12:00:00,0.0,549.0,bytes,Cloud Functions
372421,2024-04-25 12:00:00,0.0,6.0,requests,Cloud Functions
372429,2024-04-25 12:00:00,2.9e-05,12696997069.0,byte-seconds,Cloud Functions
372458,2024-04-25 12:00:00,0.001068,45.0,seconds,Cloud Functions
386404,2024-04-30 11:00:00,0.0,2.0,requests,Cloud Functions
386405,2024-04-30 11:00:00,0.0,13.0,requests,Cloud Functions
386406,2024-04-30 11:00:00,0.0,1.0,requests,Cloud Functions
386414,2024-04-30 11:00:00,2.7e-05,11999064883.0,byte-seconds,Cloud Functions
386415,2024-04-30 11:00:00,4.3e-05,19381039923.0,byte-seconds,Cloud Functions
386452,2024-04-30 11:00:00,0.0,181.0,bytes,Cloud Functions
386453,2024-04-30 11:00:00,0.0,1267.0,bytes,Cloud Functions
386454,2024-04-30 11:00:00,0.0,181.0,bytes,Cloud Functions
386460,2024-04-30 11:00:00,0.001201,50.0,seconds,Cloud Functions
386461,2024-04-30 11:00:00,0.001715,72.0,seconds,Cloud Functions
386553,2024-04-30 12:00:00,0.0,6.0,requests,Cloud Functions
386554,2024-04-30 12:00:00,0.0,8.0,requests,Cloud Functions
386555,2024-04-30 12:00:00,0.0,0.0,requests,Cloud Functions
386556,2024-04-30 12:00:00,0.0,0.0,requests,Cloud Functions
386562,2024-04-30 12:00:00,0.000106,46439333888.0,byte-seconds,Cloud Functions
386563,2024-04-30 12:00:00,1.6e-05,7274600858.0,byte-seconds,Cloud Functions
386586,2024-04-30 12:00:00,0.0,726.0,bytes,Cloud Functions
386587,2024-04-30 12:00:00,0.0,362.0,bytes,Cloud Functions
386591,2024-04-30 12:00:00,0.00377,157.0,seconds,Cloud Functions
386592,2024-04-30 12:00:00,0.000405,17.0,seconds,Cloud Functions
386600,2024-04-30 12:00:00,0.0,0.0,requests,Cloud Functions
386784,2024-04-30 14:00:00,0.0,1.0,requests,Cloud Functions
386789,2024-04-30 14:00:00,1.2e-05,5449239757.0,byte-seconds,Cloud Functions
386818,2024-04-30 14:00:00,0.000521,22.0,seconds,Cloud Functions
391286,2024-05-02 9:00:00,0.003408,142.0,seconds,Cloud Functions
391287,2024-05-02 9:00:00,0.0,905.0,bytes,Cloud Functions
391295,2024-05-02 9:00:00,0.0,9.0,requests,Cloud Functions
391321,2024-05-02 9:00:00,9.9e-05,42708081050.0,byte-seconds,Cloud Functions
391381,2024-05-02 10:00:00,0.001656,69.0,seconds,Cloud Functions
391382,2024-05-02 10:00:00,0.000998,42.0,seconds,Cloud Functions
391383,2024-05-02 10:00:00,0.0,181.0,bytes,Cloud Functions
391384,2024-05-02 10:00:00,0.0,362.0,bytes,Cloud Functions
391390,2024-05-02 10:00:00,0.0,2.0,requests,Cloud Functions
391391,2024-05-02 10:00:00,0.0,4.0,requests,Cloud Functions
391417,2024-05-02 10:00:00,7.2e-05,31219043533.0,byte-seconds,Cloud Functions
391506,2024-05-02 11:00:00,0.002304,96.0,seconds,Cloud Functions
391507,2024-05-02 11:00:00,0.0,543.0,bytes,Cloud Functions
391514,2024-05-02 11:00:00,0.0,5.0,requests,Cloud Functions
391537,2024-05-02 11:00:00,5.6e-05,24347095859.0,byte-seconds,Cloud Functions
