,usage_end_time,cost,usage_amount,usage_unit,service_type
25,2023-12-07 9:00:00,0.0,4648179.0,bytes,Cloud Logging
26,2023-12-07 9:00:00,0.0,22269.0,bytes,Cloud Logging
27,2023-12-07 9:00:00,0.0,12635140.0,bytes,Cloud Logging
28,2023-12-07 9:00:00,0.0,142705.0,bytes,Cloud Logging
29,2023-12-07 9:00:00,0.0,1266.0,bytes,Cloud Logging
30,2023-12-07 9:00:00,0.0,449394.0,bytes,Cloud Logging
109,2023-12-07 10:00:00,0.0,41249.0,bytes,Cloud Logging
110,2023-12-07 10:00:00,0.0,620360.0,bytes,Cloud Logging
111,2023-12-07 10:00:00,0.0,73252.0,bytes,Cloud Logging
112,2023-12-07 10:00:00,0.0,27954.0,bytes,Cloud Logging
113,2023-12-07 10:00:00,0.0,1918.0,bytes,Cloud Logging
114,2023-12-07 10:00:00,0.0,925202.0,bytes,Cloud Logging
187,2023-12-07 11:00:00,0.0,2058.0,bytes,Cloud Logging
188,2023-12-07 11:00:00,0.0,232297.0,bytes,Cloud Logging
189,2023-12-07 11:00:00,0.0,448.0,bytes,Cloud Logging
190,2023-12-07 11:00:00,0.0,146989.0,bytes,Cloud Logging
191,2023-12-07 11:00:00,0.0,5758.0,bytes,Cloud Logging
192,2023-12-07 11:00:00,0.0,420424.0,bytes,Cloud Logging
193,2023-12-07 11:00:00,0.0,88128.0,bytes,Cloud Logging
276,2023-12-07 12:00:00,0.0,8229.0,bytes,Cloud Logging
277,2023-12-07 12:00:00,0.0,1052.0,bytes,Cloud Logging
278,2023-12-07 12:00:00,0.0,562827.0,bytes,Cloud Logging
279,2023-12-07 12:00:00,0.0,320525.0,bytes,Cloud Logging
377,2023-12-07 13:00:00,0.0,151535.0,bytes,Cloud Logging
378,2023-12-07 13:00:00,0.0,324573.0,bytes,Cloud Logging
379,2023-12-07 13:00:00,0.0,315739.0,bytes,Cloud Logging
380,2023-12-07 13:00:00,0.0,4110.0,bytes,Cloud Logging
381,2023-12-07 13:00:00,0.0,171569.0,bytes,Cloud Logging
382,2023-12-07 13:00:00,0.0,4114.0,bytes,Cloud Logging
466,2023-12-07 14:00:00,0.0,320512.0,bytes,Cloud Logging
467,2023-12-07 14:00:00,0.0,8231.0,bytes,Cloud Logging
468,2023-12-07 14:00:00,0.0,557413.0,bytes,Cloud Logging
562,2023-12-07 15:00:00,0.0,304957.0,bytes,Cloud Logging
563,2023-12-07 15:00:00,0.0,170586.0,bytes,Cloud Logging
564,2023-12-07 15:00:00,0.0,4114.0,bytes,Cloud Logging
565,2023-12-07 15:00:00,0.0,3704.0,bytes,Cloud Logging
566,2023-12-07 15:00:00,0.0,160674.0,bytes,Cloud Logging
567,2023-12-07 15:00:00,0.0,270887.0,bytes,Cloud Logging
639,2023-12-07 16:00:00,0.0,0.0,bytes,Cloud Logging
640,2023-12-07 16:00:00,0.0,0.0,bytes,Cloud Logging
641,2023-12-07 16:00:00,0.0,0.0,bytes,Cloud Logging
642,2023-12-07 16:00:00,0.0,0.0,bytes,Cloud Logging
