,usage_end_time,cost,usage_amount,usage_unit,service_type
179552,2024-02-08 14:00:00,0.0,2.0,requests,Cloud Monitoring
189676,2024-02-13 8:00:00,0.0,1.0,requests,Cloud Monitoring
190107,2024-02-13 11:00:00,0.0,2.0,requests,Cloud Monitoring
190297,2024-02-13 12:00:00,0.0,1.0,requests,Cloud Monitoring
358323,2024-04-20 9:00:00,0.0,1.0,requests,Cloud Monitoring
358428,2024-04-20 10:00:00,0.0,1.0,requests,Cloud Monitoring
403837,2024-05-07 2:00:00,0.0,1.0,requests,Cloud Monitoring
438611,2024-05-19 0:00:00,0.0,1.0,requests,Cloud Monitoring
438728,2024-05-19 1:00:00,0.0,1.0,requests,Cloud Monitoring
475942,2024-05-31 21:00:00,0.0,1.0,requests,Cloud Monitoring
498632,2024-06-08 21:00:00,0.0,2.0,requests,Cloud Monitoring
516320,2024-06-14 17:00:00,0.0,1.0,requests,Cloud Monitoring
648194,2024-07-29 17:00:00,0.0,944.0,bytes,Cloud Monitoring
650590,2024-07-30 11:00:00,0.0,248.0,bytes,Cloud Monitoring
650909,2024-07-30 13:00:00,0.0,1392.0,bytes,Cloud Monitoring
651092,2024-07-30 14:00:00,0.0,696.0,bytes,Cloud Monitoring
651246,2024-07-30 15:00:00,0.0,464.0,bytes,Cloud Monitoring
653715,2024-07-31 12:00:00,0.0,696.0,bytes,Cloud Monitoring
653967,2024-07-31 14:00:00,0.0,696.0,bytes,Cloud Monitoring
654082,2024-07-31 15:00:00,0.0,696.0,bytes,Cloud Monitoring
672976,2024-08-07 14:00:00,0.0,464.0,bytes,Cloud Monitoring
673184,2024-08-07 15:00:00,0.0,10440.0,bytes,Cloud Monitoring
673360,2024-08-07 16:00:00,0.0,27840.0,bytes,Cloud Monitoring
673512,2024-08-07 17:00:00,0.0,27840.0,bytes,Cloud Monitoring
673628,2024-08-07 18:00:00,0.0,6960.0,bytes,Cloud Monitoring
673629,2024-08-07 18:00:00,0.0,17168.0,bytes,Cloud Monitoring
676123,2024-08-08 14:00:00,0.0,13920.0,bytes,Cloud Monitoring
676124,2024-08-08 14:00:00,0.0,928.0,bytes,Cloud Monitoring
676317,2024-08-08 15:00:00,0.0,13920.0,bytes,Cloud Monitoring
676318,2024-08-08 15:00:00,0.0,13920.0,bytes,Cloud Monitoring
676475,2024-08-08 16:00:00,0.0,6960.0,bytes,Cloud Monitoring
676476,2024-08-08 16:00:00,0.0,20880.0,bytes,Cloud Monitoring
676634,2024-08-08 17:00:00,0.0,6960.0,bytes,Cloud Monitoring
676635,2024-08-08 17:00:00,0.0,20880.0,bytes,Cloud Monitoring
676791,2024-08-08 18:00:00,0.0,6960.0,bytes,Cloud Monitoring
676792,2024-08-08 18:00:00,0.0,20880.0,bytes,Cloud Monitoring
676926,2024-08-08 19:00:00,0.0,27840.0,bytes,Cloud Monitoring
677173,2024-08-08 20:00:00,0.0,20880.0,bytes,Cloud Monitoring
677174,2024-08-08 20:00:00,0.0,6960.0,bytes,Cloud Monitoring
677339,2024-08-08 21:00:00,0.0,27840.0,bytes,Cloud Monitoring
677487,2024-08-08 22:00:00,0.0,13920.0,bytes,Cloud Monitoring
677488,2024-08-08 22:00:00,0.0,13920.0,bytes,Cloud Monitoring
677650,2024-08-08 23:00:00,0.0,27840.0,bytes,Cloud Monitoring
677819,2024-08-09 0:00:00,0.0,27840.0,bytes,Cloud Monitoring
678001,2024-08-09 1:00:00,0.0,6960.0,bytes,Cloud Monitoring
678002,2024-08-09 1:00:00,0.0,20880.0,bytes,Cloud Monitoring
678184,2024-08-09 2:00:00,0.0,1160.0,bytes,Cloud Monitoring
678185,2024-08-09 2:00:00,0.0,26680.0,bytes,Cloud Monitoring
678383,2024-08-09 3:00:00,0.0,27840.0,bytes,Cloud Monitoring
678589,2024-08-09 4:00:00,0.0,12760.0,bytes,Cloud Monitoring
678590,2024-08-09 4:00:00,0.0,15080.0,bytes,Cloud Monitoring
678775,2024-08-09 5:00:00,0.0,19720.0,bytes,Cloud Monitoring
678776,2024-08-09 5:00:00,0.0,8120.0,bytes,Cloud Monitoring
678943,2024-08-09 6:00:00,0.0,27840.0,bytes,Cloud Monitoring
679111,2024-08-09 7:00:00,0.0,27840.0,bytes,Cloud Monitoring
679304,2024-08-09 8:00:00,0.0,27840.0,bytes,Cloud Monitoring
679479,2024-08-09 9:00:00,0.0,27376.0,bytes,Cloud Monitoring
679660,2024-08-09 10:00:00,0.0,20880.0,bytes,Cloud Monitoring
679661,2024-08-09 10:00:00,0.0,6960.0,bytes,Cloud Monitoring
679824,2024-08-09 11:00:00,0.0,27840.0,bytes,Cloud Monitoring
680028,2024-08-09 12:00:00,0.0,6728.0,bytes,Cloud Monitoring
680029,2024-08-09 12:00:00,0.0,20880.0,bytes,Cloud Monitoring
680223,2024-08-09 13:00:00,0.0,13920.0,bytes,Cloud Monitoring
680224,2024-08-09 13:00:00,0.0,13920.0,bytes,Cloud Monitoring
680399,2024-08-09 14:00:00,0.0,13920.0,bytes,Cloud Monitoring
680400,2024-08-09 14:00:00,0.0,13920.0,bytes,Cloud Monitoring
680552,2024-08-09 15:00:00,0.0,27840.0,bytes,Cloud Monitoring
680731,2024-08-09 16:00:00,0.0,27840.0,bytes,Cloud Monitoring
680887,2024-08-09 17:00:00,0.0,13920.0,bytes,Cloud Monitoring
680888,2024-08-09 17:00:00,0.0,13920.0,bytes,Cloud Monitoring
681058,2024-08-09 18:00:00,0.0,27840.0,bytes,Cloud Monitoring
681352,2024-08-09 19:00:00,0.0,27840.0,bytes,Cloud Monitoring
681547,2024-08-09 20:00:00,0.0,13920.0,bytes,Cloud Monitoring
681548,2024-08-09 20:00:00,0.0,13920.0,bytes,Cloud Monitoring
681746,2024-08-09 21:00:00,0.0,13920.0,bytes,Cloud Monitoring
681747,2024-08-09 21:00:00,0.0,13920.0,bytes,Cloud Monitoring
681926,2024-08-09 22:00:00,0.0,27840.0,bytes,Cloud Monitoring
682099,2024-08-09 23:00:00,0.0,27840.0,bytes,Cloud Monitoring
682263,2024-08-10 0:00:00,0.0,20880.0,bytes,Cloud Monitoring
682264,2024-08-10 0:00:00,0.0,6960.0,bytes,Cloud Monitoring
682435,2024-08-10 1:00:00,0.0,6960.0,bytes,Cloud Monitoring
682436,2024-08-10 1:00:00,0.0,20880.0,bytes,Cloud Monitoring
682589,2024-08-10 2:00:00,0.0,27840.0,bytes,Cloud Monitoring
682791,2024-08-10 3:00:00,0.0,6960.0,bytes,Cloud Monitoring
682792,2024-08-10 3:00:00,0.0,20880.0,bytes,Cloud Monitoring
682972,2024-08-10 4:00:00,0.0,20880.0,bytes,Cloud Monitoring
682973,2024-08-10 4:00:00,0.0,6960.0,bytes,Cloud Monitoring
683136,2024-08-10 5:00:00,0.0,27840.0,bytes,Cloud Monitoring
683309,2024-08-10 6:00:00,0.0,27840.0,bytes,Cloud Monitoring
683488,2024-08-10 7:00:00,0.0,20880.0,bytes,Cloud Monitoring
683489,2024-08-10 7:00:00,0.0,6960.0,bytes,Cloud Monitoring
683641,2024-08-10 8:00:00,0.0,27840.0,bytes,Cloud Monitoring
683795,2024-08-10 9:00:00,0.0,27840.0,bytes,Cloud Monitoring
683929,2024-08-10 10:00:00,0.0,27840.0,bytes,Cloud Monitoring
684090,2024-08-10 11:00:00,0.0,14848.0,bytes,Cloud Monitoring
684091,2024-08-10 11:00:00,0.0,12992.0,bytes,Cloud Monitoring
684259,2024-08-10 12:00:00,0.0,13920.0,bytes,Cloud Monitoring
684260,2024-08-10 12:00:00,0.0,13920.0,bytes,Cloud Monitoring
684448,2024-08-10 13:00:00,0.0,8120.0,bytes,Cloud Monitoring
684449,2024-08-10 13:00:00,0.0,19720.0,bytes,Cloud Monitoring
684609,2024-08-10 14:00:00,0.0,27840.0,bytes,Cloud Monitoring
684763,2024-08-10 15:00:00,0.0,5800.0,bytes,Cloud Monitoring
684764,2024-08-10 15:00:00,0.0,22040.0,bytes,Cloud Monitoring
684924,2024-08-10 16:00:00,0.0,27840.0,bytes,Cloud Monitoring
685130,2024-08-10 17:00:00,0.0,6960.0,bytes,Cloud Monitoring
685131,2024-08-10 17:00:00,0.0,20880.0,bytes,Cloud Monitoring
685327,2024-08-10 18:00:00,0.0,14848.0,bytes,Cloud Monitoring
685328,2024-08-10 18:00:00,0.0,12992.0,bytes,Cloud Monitoring
685442,2024-08-10 19:00:00,0.0,13920.0,bytes,Cloud Monitoring
685537,2024-08-10 19:00:00,0.0,13920.0,bytes,Cloud Monitoring
685641,2024-08-10 20:00:00,0.0,27840.0,bytes,Cloud Monitoring
685807,2024-08-10 21:00:00,0.0,20880.0,bytes,Cloud Monitoring
685808,2024-08-10 21:00:00,0.0,6960.0,bytes,Cloud Monitoring
685964,2024-08-10 22:00:00,0.0,15544.0,bytes,Cloud Monitoring
685965,2024-08-10 22:00:00,0.0,12296.0,bytes,Cloud Monitoring
686146,2024-08-10 23:00:00,0.0,27840.0,bytes,Cloud Monitoring
686328,2024-08-11 0:00:00,0.0,20880.0,bytes,Cloud Monitoring
686329,2024-08-11 0:00:00,0.0,6960.0,bytes,Cloud Monitoring
686501,2024-08-11 1:00:00,0.0,27840.0,bytes,Cloud Monitoring
686657,2024-08-11 2:00:00,0.0,13920.0,bytes,Cloud Monitoring
686658,2024-08-11 2:00:00,0.0,13920.0,bytes,Cloud Monitoring
686850,2024-08-11 3:00:00,0.0,27840.0,bytes,Cloud Monitoring
687047,2024-08-11 4:00:00,0.0,5336.0,bytes,Cloud Monitoring
687048,2024-08-11 4:00:00,0.0,22504.0,bytes,Cloud Monitoring
687234,2024-08-11 5:00:00,0.0,20880.0,bytes,Cloud Monitoring
687235,2024-08-11 5:00:00,0.0,6960.0,bytes,Cloud Monitoring
687413,2024-08-11 6:00:00,0.0,20880.0,bytes,Cloud Monitoring
687414,2024-08-11 6:00:00,0.0,6960.0,bytes,Cloud Monitoring
687563,2024-08-11 7:00:00,0.0,27840.0,bytes,Cloud Monitoring
687739,2024-08-11 8:00:00,0.0,20880.0,bytes,Cloud Monitoring
687740,2024-08-11 8:00:00,0.0,6960.0,bytes,Cloud Monitoring
687921,2024-08-11 9:00:00,0.0,13920.0,bytes,Cloud Monitoring
687922,2024-08-11 9:00:00,0.0,13920.0,bytes,Cloud Monitoring
688082,2024-08-11 10:00:00,0.0,8120.0,bytes,Cloud Monitoring
688083,2024-08-11 10:00:00,0.0,19720.0,bytes,Cloud Monitoring
688244,2024-08-11 11:00:00,0.0,27840.0,bytes,Cloud Monitoring
688415,2024-08-11 12:00:00,0.0,27840.0,bytes,Cloud Monitoring
688631,2024-08-11 13:00:00,0.0,13920.0,bytes,Cloud Monitoring
688632,2024-08-11 13:00:00,0.0,13920.0,bytes,Cloud Monitoring
688829,2024-08-11 14:00:00,0.0,22504.0,bytes,Cloud Monitoring
688830,2024-08-11 14:00:00,0.0,5336.0,bytes,Cloud Monitoring
689018,2024-08-11 15:00:00,0.0,19488.0,bytes,Cloud Monitoring
689019,2024-08-11 15:00:00,0.0,8352.0,bytes,Cloud Monitoring
689205,2024-08-11 16:00:00,0.0,27840.0,bytes,Cloud Monitoring
689410,2024-08-11 17:00:00,0.0,13920.0,bytes,Cloud Monitoring
689411,2024-08-11 17:00:00,0.0,13920.0,bytes,Cloud Monitoring
689537,2024-08-11 18:00:00,0.0,6960.0,bytes,Cloud Monitoring
689624,2024-08-11 18:00:00,0.0,20880.0,bytes,Cloud Monitoring
689748,2024-08-11 19:00:00,0.0,27840.0,bytes,Cloud Monitoring
689922,2024-08-11 20:00:00,0.0,27840.0,bytes,Cloud Monitoring
690100,2024-08-11 21:00:00,0.0,13920.0,bytes,Cloud Monitoring
690101,2024-08-11 21:00:00,0.0,13920.0,bytes,Cloud Monitoring
690244,2024-08-11 22:00:00,0.0,13920.0,bytes,Cloud Monitoring
690245,2024-08-11 22:00:00,0.0,13920.0,bytes,Cloud Monitoring
690409,2024-08-11 23:00:00,0.0,27840.0,bytes,Cloud Monitoring
690602,2024-08-12 0:00:00,0.0,6960.0,bytes,Cloud Monitoring
690603,2024-08-12 0:00:00,0.0,20880.0,bytes,Cloud Monitoring
690791,2024-08-12 1:00:00,0.0,13920.0,bytes,Cloud Monitoring
690792,2024-08-12 1:00:00,0.0,13920.0,bytes,Cloud Monitoring
690983,2024-08-12 2:00:00,0.0,20880.0,bytes,Cloud Monitoring
