,usage_end_time,cost,usage_amount,usage_unit,service_type
313670,2024-04-03 7:00:00,0.0,8000.0,bytes,Cloud Pub/Sub
313808,2024-04-03 8:00:00,0.0,6000.0,bytes,Cloud Pub/Sub
313809,2024-04-03 8:00:00,0.0,6000.0,bytes,Cloud Pub/Sub
314462,2024-04-03 14:00:00,0.0,6000.0,bytes,Cloud Pub/Sub
314680,2024-04-03 16:00:00,0.0,3000.0,bytes,Cloud Pub/Sub
316483,2024-04-04 10:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
316484,2024-04-04 10:00:00,0.0,3000.0,bytes,Cloud Pub/Sub
316989,2024-04-04 14:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
316990,2024-04-04 14:00:00,0.0,5000.0,bytes,Cloud Pub/Sub
317064,2024-04-04 14:00:00,0.0,49.0,bytes,Cloud Pub/Sub
317129,2024-04-04 15:00:00,0.0,3000.0,bytes,Cloud Pub/Sub
317130,2024-04-04 15:00:00,0.0,6000.0,bytes,Cloud Pub/Sub
317203,2024-04-04 15:00:00,0.0,532.0,bytes,Cloud Pub/Sub
318860,2024-04-05 8:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
318967,2024-04-05 9:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
326138,2024-04-08 8:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
329164,2024-04-09 11:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
329165,2024-04-09 11:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
329276,2024-04-09 12:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
348111,2024-04-16 14:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
350109,2024-04-17 9:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
350349,2024-04-17 11:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
350577,2024-04-17 13:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
350918,2024-04-17 16:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
352801,2024-04-18 9:00:00,0.0,3000.0,bytes,Cloud Pub/Sub
352900,2024-04-18 10:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
355660,2024-04-19 10:00:00,0.0,2000.0,bytes,Cloud Pub/Sub
355661,2024-04-19 10:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
355799,2024-04-19 11:00:00,0.0,9000.0,bytes,Cloud Pub/Sub
355940,2024-04-19 12:00:00,0.0,4000.0,bytes,Cloud Pub/Sub
355941,2024-04-19 12:00:00,0.0,2000.0,bytes,Cloud Pub/Sub
363362,2024-04-22 9:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
363363,2024-04-22 9:00:00,0.0,4000.0,bytes,Cloud Pub/Sub
363835,2024-04-22 13:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
368926,2024-04-24 8:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
369025,2024-04-24 9:00:00,0.0,4000.0,bytes,Cloud Pub/Sub
369026,2024-04-24 9:00:00,0.0,4000.0,bytes,Cloud Pub/Sub
369147,2024-04-24 10:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
369148,2024-04-24 10:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
369180,2024-04-24 10:00:00,0.0,45.0,bytes,Cloud Pub/Sub
371181,2024-04-25 3:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
371182,2024-04-25 3:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
371183,2024-04-25 3:00:00,0.0,1000.0,bytes,Cloud Pub/Sub
371765,2024-04-25 8:00:00,0.0,3000.0,bytes,Cloud Pub/Sub
371766,2024-04-25 8:00:00,0.0,3000.0,bytes,Cloud Pub/Sub
371767,2024-04-25 8:00:00,0.0,3000.0,bytes,Cloud Pub/Sub
371805,2024-04-25 8:00:00,0.0,504.0,bytes,Cloud Pub/Sub
