,usage_end_time,cost,usage_amount,usage_unit,service_type
656084,2024-08-01 8:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
656085,2024-08-01 8:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
656109,2024-08-01 8:00:00,0.0,3222000.0,byte-seconds,Dataplex
656119,2024-08-01 8:00:00,0.0,89208000.0,byte-seconds,Dataplex
656189,2024-08-01 9:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
656190,2024-08-01 9:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
656210,2024-08-01 9:00:00,0.0,3222000.0,byte-seconds,Dataplex
656219,2024-08-01 9:00:00,0.0,89208000.0,byte-seconds,Dataplex
656280,2024-08-01 10:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
656281,2024-08-01 10:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
656298,2024-08-01 10:00:00,0.0,53700.0,byte-seconds,Dataplex
656299,2024-08-01 10:00:00,0.0,3168300.0,byte-seconds,Dataplex
656307,2024-08-01 10:00:00,0.0,87721200.0,byte-seconds,Dataplex
656308,2024-08-01 10:00:00,0.0,1486800.0,byte-seconds,Dataplex
656373,2024-08-01 11:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
656374,2024-08-01 11:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
656397,2024-08-01 11:00:00,0.0,3222000.0,byte-seconds,Dataplex
656404,2024-08-01 11:00:00,0.0,89208000.0,byte-seconds,Dataplex
656476,2024-08-01 12:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
656477,2024-08-01 12:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
656506,2024-08-01 12:00:00,0.0,3222000.0,byte-seconds,Dataplex
656514,2024-08-01 12:00:00,0.0,89208000.0,byte-seconds,Dataplex
656586,2024-08-01 13:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
656587,2024-08-01 13:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
656601,2024-08-01 13:00:00,0.0,3222000.0,byte-seconds,Dataplex
656607,2024-08-01 13:00:00,0.0,89208000.0,byte-seconds,Dataplex
656668,2024-08-01 14:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
656669,2024-08-01 14:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
656685,2024-08-01 14:00:00,0.0,2588340.0,byte-seconds,Dataplex
656686,2024-08-01 14:00:00,0.0,633660.0,byte-seconds,Dataplex
656693,2024-08-01 14:00:00,0.0,71663760.0,byte-seconds,Dataplex
656694,2024-08-01 14:00:00,0.0,17544240.0,byte-seconds,Dataplex
656778,2024-08-01 15:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
656779,2024-08-01 15:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
656799,2024-08-01 15:00:00,0.0,1295065.0,byte-seconds,Dataplex
656800,2024-08-01 15:00:00,0.0,1926935.0,byte-seconds,Dataplex
656807,2024-08-01 15:00:00,0.0,89208000.0,byte-seconds,Dataplex
656925,2024-08-01 16:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
656926,2024-08-01 16:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
656939,2024-08-01 16:00:00,0.0,2199015.0,byte-seconds,Dataplex
656940,2024-08-01 16:00:00,0.0,807290.0,byte-seconds,Dataplex
656945,2024-08-01 16:00:00,0.0,60884460.0,byte-seconds,Dataplex
656946,2024-08-01 16:00:00,0.0,22351560.0,byte-seconds,Dataplex
656985,2024-08-01 16:00:00,0.0,215695.0,byte-seconds,Dataplex
656989,2024-08-01 16:00:00,0.0,5971980.0,byte-seconds,Dataplex
657042,2024-08-01 17:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
657043,2024-08-01 17:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
657074,2024-08-01 17:00:00,0.0,3222000.0,byte-seconds,Dataplex
657080,2024-08-01 17:00:00,0.0,89208000.0,byte-seconds,Dataplex
657147,2024-08-01 18:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
657148,2024-08-01 18:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
657170,2024-08-01 18:00:00,0.0,1545665.0,byte-seconds,Dataplex
657171,2024-08-01 18:00:00,0.0,1676335.0,byte-seconds,Dataplex
657177,2024-08-01 18:00:00,0.0,42795060.0,byte-seconds,Dataplex
657178,2024-08-01 18:00:00,0.0,46412940.0,byte-seconds,Dataplex
657246,2024-08-01 19:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
657247,2024-08-01 19:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
657274,2024-08-01 19:00:00,0.0,3222000.0,byte-seconds,Dataplex
657283,2024-08-01 19:00:00,0.0,89208000.0,byte-seconds,Dataplex
657363,2024-08-01 20:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
657364,2024-08-01 20:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
657387,2024-08-01 20:00:00,0.0,3222000.0,byte-seconds,Dataplex
657393,2024-08-01 20:00:00,0.0,89208000.0,byte-seconds,Dataplex
657463,2024-08-01 21:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
657464,2024-08-01 21:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
657492,2024-08-01 21:00:00,0.0,608600.0,byte-seconds,Dataplex
657493,2024-08-01 21:00:00,0.0,2613400.0,byte-seconds,Dataplex
657502,2024-08-01 21:00:00,0.0,89208000.0,byte-seconds,Dataplex
657586,2024-08-01 22:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
657587,2024-08-01 22:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
657605,2024-08-01 22:00:00,0.0,3222000.0,byte-seconds,Dataplex
657613,2024-08-01 22:00:00,0.0,89208000.0,byte-seconds,Dataplex
657684,2024-08-01 23:00:00,-1e-06,-2638800.0,byte-seconds,Dataplex
657685,2024-08-01 23:00:00,-1e-06,-89208000.0,byte-seconds,Dataplex
657716,2024-08-01 23:00:00,0.0,141410.0,byte-seconds,Dataplex
