,usage_end_time,cost,usage_amount,usage_unit,service_type
434138,2024-05-17 11:00:00,0.0,364.0,seconds,Deep Learning VM
434148,2024-05-17 11:00:00,0.0,364.0,seconds,Deep Learning VM
434197,2024-05-17 11:00:00,0.0,364.0,seconds,Deep Learning VM
434202,2024-05-17 11:00:00,0.0,364.0,seconds,Deep Learning VM
434281,2024-05-17 12:00:00,0.0,1434.0,seconds,Deep Learning VM
434282,2024-05-17 12:00:00,0.0,2165.0,seconds,Deep Learning VM
434295,2024-05-17 12:00:00,0.0,1434.0,seconds,Deep Learning VM
434296,2024-05-17 12:00:00,0.0,2165.0,seconds,Deep Learning VM
434356,2024-05-17 12:00:00,0.0,2165.0,seconds,Deep Learning VM
434357,2024-05-17 12:00:00,0.0,1434.0,seconds,Deep Learning VM
434364,2024-05-17 12:00:00,0.0,1434.0,seconds,Deep Learning VM
434365,2024-05-17 12:00:00,0.0,2165.0,seconds,Deep Learning VM
434455,2024-05-17 13:00:00,0.0,2102.0,seconds,Deep Learning VM
434456,2024-05-17 13:00:00,0.0,1498.0,seconds,Deep Learning VM
434468,2024-05-17 13:00:00,0.0,3600.0,seconds,Deep Learning VM
434526,2024-05-17 13:00:00,0.0,3600.0,seconds,Deep Learning VM
434532,2024-05-17 13:00:00,0.0,1498.0,seconds,Deep Learning VM
434533,2024-05-17 13:00:00,0.0,2102.0,seconds,Deep Learning VM
434612,2024-05-17 14:00:00,0.0,1621.0,seconds,Deep Learning VM
434613,2024-05-17 14:00:00,0.0,1707.0,seconds,Deep Learning VM
434623,2024-05-17 14:00:00,0.0,1707.0,seconds,Deep Learning VM
434624,2024-05-17 14:00:00,0.0,1621.0,seconds,Deep Learning VM
434665,2024-05-17 14:00:00,0.0,3328.0,seconds,Deep Learning VM
434670,2024-05-17 14:00:00,0.0,1621.0,seconds,Deep Learning VM
434671,2024-05-17 14:00:00,0.0,1707.0,seconds,Deep Learning VM
