,usage_end_time,cost,usage_amount,usage_unit,service_type
66,2023-12-07 9:00:00,0.025194,907.0,seconds,Kubernetes Engine
162,2023-12-07 10:00:00,0.1,3600.0,seconds,Kubernetes Engine
247,2023-12-07 11:00:00,0.099971,3599.0,seconds,Kubernetes Engine
344,2023-12-07 12:00:00,0.045916,1653.0,seconds,Kubernetes Engine
345,2023-12-07 12:00:00,0.054083,1947.0,seconds,Kubernetes Engine
428,2023-12-07 13:00:00,0.099999,3600.0,seconds,Kubernetes Engine
514,2023-12-07 14:00:00,0.059694,2149.0,seconds,Kubernetes Engine
515,2023-12-07 14:00:00,0.040305,1451.0,seconds,Kubernetes Engine
618,2023-12-07 15:00:00,0.006722,242.0,seconds,Kubernetes Engine
619,2023-12-07 15:00:00,0.093277,3358.0,seconds,Kubernetes Engine
744,2023-12-07 16:00:00,0.099999,3600.0,seconds,Kubernetes Engine
826,2023-12-07 17:00:00,0.070722,2546.0,seconds,Kubernetes Engine
841,2023-12-07 17:00:00,0.029277,1054.0,seconds,Kubernetes Engine
913,2023-12-07 18:00:00,0.042027,1513.0,seconds,Kubernetes Engine
914,2023-12-07 18:00:00,0.057972,2087.0,seconds,Kubernetes Engine
1010,2023-12-07 19:00:00,0.099999,3600.0,seconds,Kubernetes Engine
1115,2023-12-07 20:00:00,0.099999,3600.0,seconds,Kubernetes Engine
1192,2023-12-07 21:00:00,0.040416,1455.0,seconds,Kubernetes Engine
1193,2023-12-07 21:00:00,0.059583,2145.0,seconds,Kubernetes Engine
1283,2023-12-07 22:00:00,0.038194,1375.0,seconds,Kubernetes Engine
1284,2023-12-07 22:00:00,0.061805,2225.0,seconds,Kubernetes Engine
1401,2023-12-07 23:00:00,0.1,3600.0,seconds,Kubernetes Engine
1513,2023-12-08 0:00:00,0.038527,1387.0,seconds,Kubernetes Engine
1514,2023-12-08 0:00:00,0.061472,2213.0,seconds,Kubernetes Engine
1592,2023-12-08 1:00:00,0.099999,3600.0,seconds,Kubernetes Engine
1671,2023-12-08 2:00:00,0.061444,2212.0,seconds,Kubernetes Engine
1672,2023-12-08 2:00:00,0.038555,1388.0,seconds,Kubernetes Engine
1781,2023-12-08 3:00:00,0.099999,3600.0,seconds,Kubernetes Engine
1887,2023-12-08 4:00:00,0.034083,1227.0,seconds,Kubernetes Engine
1888,2023-12-08 4:00:00,0.065916,2373.0,seconds,Kubernetes Engine
1994,2023-12-08 5:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2078,2023-12-08 6:00:00,0.067888,2444.0,seconds,Kubernetes Engine
2079,2023-12-08 6:00:00,0.032111,1156.0,seconds,Kubernetes Engine
2182,2023-12-08 7:00:00,0.078222,2816.0,seconds,Kubernetes Engine
2183,2023-12-08 7:00:00,0.021777,784.0,seconds,Kubernetes Engine
2286,2023-12-08 8:00:00,0.018361,661.0,seconds,Kubernetes Engine
2287,2023-12-08 8:00:00,0.081638,2939.0,seconds,Kubernetes Engine
2363,2023-12-08 9:00:00,0.1,3600.0,seconds,Kubernetes Engine
2457,2023-12-08 10:00:00,0.1,3600.0,seconds,Kubernetes Engine
2542,2023-12-08 11:00:00,0.001777,64.0,seconds,Kubernetes Engine
2543,2023-12-08 11:00:00,0.098222,3536.0,seconds,Kubernetes Engine
2653,2023-12-08 12:00:00,0.004416,159.0,seconds,Kubernetes Engine
2654,2023-12-08 12:00:00,0.095582,3441.0,seconds,Kubernetes Engine
2753,2023-12-08 13:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2831,2023-12-08 14:00:00,0.099999,3600.0,seconds,Kubernetes Engine
2911,2023-12-08 15:00:00,0.073944,2662.0,seconds,Kubernetes Engine
2912,2023-12-08 15:00:00,0.026055,938.0,seconds,Kubernetes Engine
3006,2023-12-08 16:00:00,0.038888,1400.0,seconds,Kubernetes Engine
3038,2023-12-08 16:00:00,0.061111,2200.0,seconds,Kubernetes Engine
3133,2023-12-08 17:00:00,0.099999,3600.0,seconds,Kubernetes Engine
3242,2023-12-08 18:00:00,0.079749,2871.0,seconds,Kubernetes Engine
3243,2023-12-08 18:00:00,0.02025,729.0,seconds,Kubernetes Engine
3320,2023-12-08 19:00:00,0.099999,3600.0,seconds,Kubernetes Engine
3432,2023-12-08 20:00:00,0.023472,845.0,seconds,Kubernetes Engine
3433,2023-12-08 20:00:00,0.076527,2755.0,seconds,Kubernetes Engine
3543,2023-12-08 21:00:00,0.1,3600.0,seconds,Kubernetes Engine
3640,2023-12-08 22:00:00,0.043527,1567.0,seconds,Kubernetes Engine
3641,2023-12-08 22:00:00,0.056472,2033.0,seconds,Kubernetes Engine
3734,2023-12-08 23:00:00,0.026194,943.0,seconds,Kubernetes Engine
3735,2023-12-08 23:00:00,0.073805,2657.0,seconds,Kubernetes Engine
3854,2023-12-09 0:00:00,0.099999,3600.0,seconds,Kubernetes Engine
3938,2023-12-09 1:00:00,0.061222,2204.0,seconds,Kubernetes Engine
3939,2023-12-09 1:00:00,0.038777,1396.0,seconds,Kubernetes Engine
4039,2023-12-09 2:00:00,0.099999,3600.0,seconds,Kubernetes Engine
4142,2023-12-09 3:00:00,0.080805,2909.0,seconds,Kubernetes Engine
4143,2023-12-09 3:00:00,0.019194,691.0,seconds,Kubernetes Engine
4279,2023-12-09 4:00:00,0.090222,3248.0,seconds,Kubernetes Engine
4280,2023-12-09 4:00:00,0.002694,97.0,seconds,Kubernetes Engine
4281,2023-12-09 4:00:00,0.007083,255.0,seconds,Kubernetes Engine
4365,2023-12-09 5:00:00,0.076527,2755.0,seconds,Kubernetes Engine
4366,2023-12-09 5:00:00,0.023472,845.0,seconds,Kubernetes Engine
4448,2023-12-09 6:00:00,0.099999,3600.0,seconds,Kubernetes Engine
4542,2023-12-09 7:00:00,0.038027,1369.0,seconds,Kubernetes Engine
4543,2023-12-09 7:00:00,0.061972,2231.0,seconds,Kubernetes Engine
4652,2023-12-09 8:00:00,0.092999,3348.0,seconds,Kubernetes Engine
4653,2023-12-09 8:00:00,0.007,252.0,seconds,Kubernetes Engine
4726,2023-12-09 9:00:00,0.1,3600.0,seconds,Kubernetes Engine
4807,2023-12-09 10:00:00,0.1,3600.0,seconds,Kubernetes Engine
4891,2023-12-09 11:00:00,0.099999,3600.0,seconds,Kubernetes Engine
4991,2023-12-09 12:00:00,0.099999,3600.0,seconds,Kubernetes Engine
5094,2023-12-09 13:00:00,0.078999,2844.0,seconds,Kubernetes Engine
5095,2023-12-09 13:00:00,0.021,756.0,seconds,Kubernetes Engine
5198,2023-12-09 14:00:00,0.062805,2261.0,seconds,Kubernetes Engine
5199,2023-12-09 14:00:00,0.037194,1339.0,seconds,Kubernetes Engine
5283,2023-12-09 15:00:00,0.099999,3600.0,seconds,Kubernetes Engine
5368,2023-12-09 16:00:00,0.078971,2843.0,seconds,Kubernetes Engine
5369,2023-12-09 16:00:00,0.021027,757.0,seconds,Kubernetes Engine
5450,2023-12-09 17:00:00,0.056833,2046.0,seconds,Kubernetes Engine
5451,2023-12-09 17:00:00,0.043166,1554.0,seconds,Kubernetes Engine
5529,2023-12-09 18:00:00,0.099998,3600.0,seconds,Kubernetes Engine
5603,2023-12-09 19:00:00,0.051416,1851.0,seconds,Kubernetes Engine
5693,2023-12-09 19:00:00,0.048583,1749.0,seconds,Kubernetes Engine
5827,2023-12-09 20:00:00,0.021388,770.0,seconds,Kubernetes Engine
5828,2023-12-09 20:00:00,0.07861,2830.0,seconds,Kubernetes Engine
5908,2023-12-09 21:00:00,0.099999,3600.0,seconds,Kubernetes Engine
6001,2023-12-09 22:00:00,0.065333,2352.0,seconds,Kubernetes Engine
6002,2023-12-09 22:00:00,0.034666,1248.0,seconds,Kubernetes Engine
6108,2023-12-09 23:00:00,0.099998,3600.0,seconds,Kubernetes Engine
6246,2023-12-10 0:00:00,0.099999,3600.0,seconds,Kubernetes Engine
6332,2023-12-10 1:00:00,0.0155,558.0,seconds,Kubernetes Engine
6333,2023-12-10 1:00:00,0.084499,3042.0,seconds,Kubernetes Engine
6409,2023-12-10 2:00:00,0.099999,3600.0,seconds,Kubernetes Engine
6515,2023-12-10 3:00:00,0.007,252.0,seconds,Kubernetes Engine
6516,2023-12-10 3:00:00,0.093,3348.0,seconds,Kubernetes Engine
6654,2023-12-10 4:00:00,0.031722,1142.0,seconds,Kubernetes Engine
6655,2023-12-10 4:00:00,0.068277,2458.0,seconds,Kubernetes Engine
6747,2023-12-10 5:00:00,0.099999,3600.0,seconds,Kubernetes Engine
6847,2023-12-10 6:00:00,0.099999,3600.0,seconds,Kubernetes Engine
6936,2023-12-10 7:00:00,0.053861,1939.0,seconds,Kubernetes Engine
6937,2023-12-10 7:00:00,0.046138,1661.0,seconds,Kubernetes Engine
7056,2023-12-10 8:00:00,0.084666,3048.0,seconds,Kubernetes Engine
7057,2023-12-10 8:00:00,0.015333,552.0,seconds,Kubernetes Engine
7136,2023-12-10 9:00:00,0.1,3600.0,seconds,Kubernetes Engine
7221,2023-12-10 10:00:00,0.1,3600.0,seconds,Kubernetes Engine
7300,2023-12-10 11:00:00,0.099998,3600.0,seconds,Kubernetes Engine
7406,2023-12-10 12:00:00,0.016694,601.0,seconds,Kubernetes Engine
7407,2023-12-10 12:00:00,0.083304,2999.0,seconds,Kubernetes Engine
7510,2023-12-10 13:00:00,0.099998,3600.0,seconds,Kubernetes Engine
7599,2023-12-10 14:00:00,0.036944,1330.0,seconds,Kubernetes Engine
7600,2023-12-10 14:00:00,0.063055,2270.0,seconds,Kubernetes Engine
7699,2023-12-10 15:00:00,0.047777,1720.0,seconds,Kubernetes Engine
7700,2023-12-10 15:00:00,0.052222,1880.0,seconds,Kubernetes Engine
7841,2023-12-10 16:00:00,0.099999,3600.0,seconds,Kubernetes Engine
7911,2023-12-10 17:00:00,0.007027,253.0,seconds,Kubernetes Engine
7927,2023-12-10 17:00:00,0.092972,3347.0,seconds,Kubernetes Engine
8022,2023-12-10 18:00:00,0.099999,3600.0,seconds,Kubernetes Engine
8110,2023-12-10 19:00:00,0.084583,3045.0,seconds,Kubernetes Engine
8111,2023-12-10 19:00:00,0.015416,555.0,seconds,Kubernetes Engine
8249,2023-12-10 20:00:00,0.1,3600.0,seconds,Kubernetes Engine
8335,2023-12-10 21:00:00,0.059694,2149.0,seconds,Kubernetes Engine
8336,2023-12-10 21:00:00,0.040305,1451.0,seconds,Kubernetes Engine
8437,2023-12-10 22:00:00,0.1,3600.0,seconds,Kubernetes Engine
8533,2023-12-10 23:00:00,0.099999,3600.0,seconds,Kubernetes Engine
8667,2023-12-11 0:00:00,0.015361,553.0,seconds,Kubernetes Engine
8668,2023-12-11 0:00:00,0.084638,3047.0,seconds,Kubernetes Engine
8772,2023-12-11 1:00:00,0.067916,2445.0,seconds,Kubernetes Engine
8773,2023-12-11 1:00:00,0.032083,1155.0,seconds,Kubernetes Engine
8871,2023-12-11 2:00:00,0.056777,2044.0,seconds,Kubernetes Engine
8872,2023-12-11 2:00:00,0.043222,1556.0,seconds,Kubernetes Engine
8952,2023-12-11 3:00:00,0.07975,2871.0,seconds,Kubernetes Engine
8953,2023-12-11 3:00:00,0.02025,729.0,seconds,Kubernetes Engine
9059,2023-12-11 4:00:00,0.099999,3600.0,seconds,Kubernetes Engine
9157,2023-12-11 5:00:00,0.056944,2050.0,seconds,Kubernetes Engine
9158,2023-12-11 5:00:00,0.043055,1550.0,seconds,Kubernetes Engine
9256,2023-12-11 6:00:00,0.099999,3600.0,seconds,Kubernetes Engine
9353,2023-12-11 7:00:00,0.039777,1432.0,seconds,Kubernetes Engine
9354,2023-12-11 7:00:00,0.060222,2168.0,seconds,Kubernetes Engine
9477,2023-12-11 8:00:00,0.014666,528.0,seconds,Kubernetes Engine
9478,2023-12-11 8:00:00,0.085333,3072.0,seconds,Kubernetes Engine
9560,2023-12-11 9:00:00,0.1,3600.0,seconds,Kubernetes Engine
9654,2023-12-11 10:00:00,0.1,3600.0,seconds,Kubernetes Engine
9738,2023-12-11 11:00:00,0.001666,60.0,seconds,Kubernetes Engine
9739,2023-12-11 11:00:00,0.098333,3540.0,seconds,Kubernetes Engine
9825,2023-12-11 12:00:00,0.077027,2773.0,seconds,Kubernetes Engine
9826,2023-12-11 12:00:00,0.022972,827.0,seconds,Kubernetes Engine
9915,2023-12-11 13:00:00,0.099999,3600.0,seconds,Kubernetes Engine
10020,2023-12-11 14:00:00,0.020666,744.0,seconds,Kubernetes Engine
10021,2023-12-11 14:00:00,0.079332,2856.0,seconds,Kubernetes Engine
10101,2023-12-11 15:00:00,0.006444,232.0,seconds,Kubernetes Engine
10102,2023-12-11 15:00:00,0.093555,3368.0,seconds,Kubernetes Engine
10197,2023-12-11 16:00:00,0.043472,1565.0,seconds,Kubernetes Engine
10240,2023-12-11 16:00:00,0.056527,2035.0,seconds,Kubernetes Engine
10340,2023-12-11 17:00:00,0.1,3600.0,seconds,Kubernetes Engine
10425,2023-12-11 18:00:00,0.015305,551.0,seconds,Kubernetes Engine
10426,2023-12-11 18:00:00,0.084694,3049.0,seconds,Kubernetes Engine
10521,2023-12-11 19:00:00,0.099999,3600.0,seconds,Kubernetes Engine
10638,2023-12-11 20:00:00,0.099999,3600.0,seconds,Kubernetes Engine
10763,2023-12-11 21:00:00,0.098194,3535.0,seconds,Kubernetes Engine
10764,2023-12-11 21:00:00,0.001805,65.0,seconds,Kubernetes Engine
10852,2023-12-11 22:00:00,0.034555,1244.0,seconds,Kubernetes Engine
10853,2023-12-11 22:00:00,0.065444,2356.0,seconds,Kubernetes Engine
10960,2023-12-11 23:00:00,0.096694,3481.0,seconds,Kubernetes Engine
10961,2023-12-11 23:00:00,0.003305,119.0,seconds,Kubernetes Engine
11067,2023-12-12 0:00:00,0.027333,984.0,seconds,Kubernetes Engine
11068,2023-12-12 0:00:00,0.072666,2616.0,seconds,Kubernetes Engine
11183,2023-12-12 1:00:00,0.002,72.0,seconds,Kubernetes Engine
11184,2023-12-12 1:00:00,0.098,3528.0,seconds,Kubernetes Engine
11281,2023-12-12 2:00:00,0.073555,2648.0,seconds,Kubernetes Engine
11282,2023-12-12 2:00:00,0.026444,952.0,seconds,Kubernetes Engine
11377,2023-12-12 3:00:00,0.099999,3600.0,seconds,Kubernetes Engine
11486,2023-12-12 4:00:00,0.09336,3361.0,seconds,Kubernetes Engine
11487,2023-12-12 4:00:00,0.006611,238.0,seconds,Kubernetes Engine
11565,2023-12-12 4:00:00,0.0,0.0,seconds,Kubernetes Engine
11608,2023-12-12 5:00:00,0.099999,3600.0,seconds,Kubernetes Engine
11706,2023-12-12 6:00:00,0.092916,3345.0,seconds,Kubernetes Engine
11707,2023-12-12 6:00:00,0.007083,255.0,seconds,Kubernetes Engine
11804,2023-12-12 7:00:00,0.032,1152.0,seconds,Kubernetes Engine
11805,2023-12-12 7:00:00,0.068,2448.0,seconds,Kubernetes Engine
11920,2023-12-12 8:00:00,0.0,0.0,seconds,Kubernetes Engine
11921,2023-12-12 8:00:00,0.084472,3041.0,seconds,Kubernetes Engine
11922,2023-12-12 8:00:00,0.015527,559.0,seconds,Kubernetes Engine
12031,2023-12-12 9:00:00,0.1,3600.0,seconds,Kubernetes Engine
12125,2023-12-12 10:00:00,0.1,3600.0,seconds,Kubernetes Engine
12185,2023-12-12 10:00:00,0.0,0.0,seconds,Kubernetes Engine
12221,2023-12-12 11:00:00,0.1,3600.0,seconds,Kubernetes Engine
12318,2023-12-12 12:00:00,0.099999,3600.0,seconds,Kubernetes Engine
12417,2023-12-12 13:00:00,0.0,0.0,seconds,Kubernetes Engine
12418,2023-12-12 13:00:00,0.064666,2328.0,seconds,Kubernetes Engine
12419,2023-12-12 13:00:00,0.035333,1272.0,seconds,Kubernetes Engine
12512,2023-12-12 14:00:00,0.099999,3600.0,seconds,Kubernetes Engine
12611,2023-12-12 15:00:00,0.001805,65.0,seconds,Kubernetes Engine
12612,2023-12-12 15:00:00,0.025166,906.0,seconds,Kubernetes Engine
12677,2023-12-12 16:00:00,0.074944,2698.0,seconds,Kubernetes Engine
12780,2023-12-12 17:00:00,0.001583,57.0,seconds,Kubernetes Engine
12867,2023-12-12 17:00:00,0.098388,3542.0,seconds,Kubernetes Engine
12973,2023-12-12 18:00:00,0.1,3600.0,seconds,Kubernetes Engine
12974,2023-12-12 18:00:00,0.0,0.0,seconds,Kubernetes Engine
13099,2023-12-12 19:00:00,0.0,0.0,seconds,Kubernetes Engine
13100,2023-12-12 19:00:00,0.079527,2863.0,seconds,Kubernetes Engine
13101,2023-12-12 19:00:00,0.020472,737.0,seconds,Kubernetes Engine
13248,2023-12-12 20:00:00,0.028416,1023.0,seconds,Kubernetes Engine
13249,2023-12-12 20:00:00,0.071583,2577.0,seconds,Kubernetes Engine
13344,2023-12-12 21:00:00,0.040083,1443.0,seconds,Kubernetes Engine
13345,2023-12-12 21:00:00,0.059916,2157.0,seconds,Kubernetes Engine
13439,2023-12-12 22:00:00,0.0,0.0,seconds,Kubernetes Engine
13440,2023-12-12 22:00:00,0.1,3600.0,seconds,Kubernetes Engine
13559,2023-12-12 23:00:00,0.077833,2802.0,seconds,Kubernetes Engine
13560,2023-12-12 23:00:00,0.022166,798.0,seconds,Kubernetes Engine
13701,2023-12-13 0:00:00,0.039694,1429.0,seconds,Kubernetes Engine
13702,2023-12-13 0:00:00,0.060305,2171.0,seconds,Kubernetes Engine
13811,2023-12-13 1:00:00,0.006972,251.0,seconds,Kubernetes Engine
13812,2023-12-13 1:00:00,0.093027,3349.0,seconds,Kubernetes Engine
13813,2023-12-13 1:00:00,0.0,0.0,seconds,Kubernetes Engine
13903,2023-12-13 2:00:00,0.0,0.0,seconds,Kubernetes Engine
13904,2023-12-13 2:00:00,0.1,3600.0,seconds,Kubernetes Engine
14048,2023-12-13 3:00:00,0.0,0.0,seconds,Kubernetes Engine
14049,2023-12-13 3:00:00,0.1,3600.0,seconds,Kubernetes Engine
14050,2023-12-13 3:00:00,0.0,0.0,seconds,Kubernetes Engine
14173,2023-12-13 4:00:00,0.035361,1273.0,seconds,Kubernetes Engine
14174,2023-12-13 4:00:00,0.064638,2327.0,seconds,Kubernetes Engine
14279,2023-12-13 5:00:00,0.099999,3600.0,seconds,Kubernetes Engine
14369,2023-12-13 6:00:00,0.039416,1419.0,seconds,Kubernetes Engine
14370,2023-12-13 6:00:00,0.060583,2181.0,seconds,Kubernetes Engine
14479,2023-12-13 7:00:00,0.052194,1879.0,seconds,Kubernetes Engine
14480,2023-12-13 7:00:00,0.047805,1721.0,seconds,Kubernetes Engine
14606,2023-12-13 8:00:00,0.048277,1738.0,seconds,Kubernetes Engine
14607,2023-12-13 8:00:00,0.051722,1862.0,seconds,Kubernetes Engine
14608,2023-12-13 8:00:00,0.0,0.0,seconds,Kubernetes Engine
14693,2023-12-13 9:00:00,0.1,3600.0,seconds,Kubernetes Engine
14799,2023-12-13 10:00:00,0.1,3600.0,seconds,Kubernetes Engine
14800,2023-12-13 10:00:00,0.0,0.0,seconds,Kubernetes Engine
14801,2023-12-13 10:00:00,0.0,0.0,seconds,Kubernetes Engine
14886,2023-12-13 11:00:00,0.001861,67.0,seconds,Kubernetes Engine
14887,2023-12-13 11:00:00,0.098138,3533.0,seconds,Kubernetes Engine
15005,2023-12-13 12:00:00,0.099999,3600.0,seconds,Kubernetes Engine
15006,2023-12-13 12:00:00,0.0,0.0,seconds,Kubernetes Engine
15092,2023-12-13 13:00:00,0.054416,1959.0,seconds,Kubernetes Engine
15093,2023-12-13 13:00:00,0.045583,1641.0,seconds,Kubernetes Engine
15176,2023-12-13 14:00:00,0.099999,3600.0,seconds,Kubernetes Engine
15270,2023-12-13 15:00:00,0.031916,1149.0,seconds,Kubernetes Engine
15271,2023-12-13 15:00:00,0.068083,2451.0,seconds,Kubernetes Engine
15346,2023-12-13 16:00:00,0.099999,3600.0,seconds,Kubernetes Engine
15420,2023-12-13 17:00:00,0.1,3600.0,seconds,Kubernetes Engine
15448,2023-12-13 17:00:00,0.0,0.0,seconds,Kubernetes Engine
15502,2023-12-13 18:00:00,0.00175,63.0,seconds,Kubernetes Engine
