,usage_end_time,cost,usage_amount,usage_unit,service_type
30687,2023-12-19 9:00:00,0.0,0.0,byte-seconds,Vertex AI
30689,2023-12-19 9:00:00,0.03,1.0,requests,Vertex AI
30690,2023-12-19 9:00:00,0.03,1.0,requests,Vertex AI
30691,2023-12-19 9:00:00,0.03,1.0,requests,Vertex AI
30736,2023-12-19 9:00:00,1.2e-05,3543582254.0,byte-seconds,Vertex AI
30790,2023-12-19 9:00:00,0.002023,264.0,seconds,Vertex AI
30791,2023-12-19 9:00:00,0.027868,3636.0,seconds,Vertex AI
30792,2023-12-19 9:00:00,0.028542,3724.0,seconds,Vertex AI
30793,2023-12-19 9:00:00,0.001084,1133871366144.0,byte-seconds,Vertex AI
30794,2023-12-19 9:00:00,0.014941,15616501088256.0,byte-seconds,Vertex AI
30795,2023-12-19 9:00:00,0.015303,15994458210304.0,byte-seconds,Vertex AI
30796,2023-12-19 9:00:00,0.000481,7086696038400.0,byte-seconds,Vertex AI
30797,2023-12-19 9:00:00,0.006634,97603131801600.0,byte-seconds,Vertex AI
30798,2023-12-19 9:00:00,0.006795,99965363814400.0,byte-seconds,Vertex AI
30835,2023-12-19 10:00:00,1.3e-05,3774454889.0,byte-seconds,Vertex AI
30932,2023-12-19 11:00:00,0.0,227515753.0,byte-seconds,Vertex AI
30933,2023-12-19 11:00:00,1.2e-05,3547332608.0,byte-seconds,Vertex AI
31054,2023-12-19 12:00:00,4e-06,1201668096.0,byte-seconds,Vertex AI
31055,2023-12-19 12:00:00,8e-06,2573205504.0,byte-seconds,Vertex AI
31201,2023-12-19 13:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
31277,2023-12-19 14:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
31385,2023-12-19 15:00:00,0.0,115343360.0,byte-seconds,Vertex AI
31386,2023-12-19 15:00:00,1.2e-05,3659530240.0,byte-seconds,Vertex AI
31532,2023-12-19 16:00:00,3e-06,1026555904.0,byte-seconds,Vertex AI
31533,2023-12-19 16:00:00,9e-06,2748317696.0,byte-seconds,Vertex AI
31699,2023-12-19 17:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
31767,2023-12-19 18:00:00,8e-06,2447376384.0,byte-seconds,Vertex AI
31828,2023-12-19 18:00:00,4e-06,1327497216.0,byte-seconds,Vertex AI
31898,2023-12-19 19:00:00,1e-06,475004928.0,byte-seconds,Vertex AI
31899,2023-12-19 19:00:00,1.1e-05,3299868672.0,byte-seconds,Vertex AI
31996,2023-12-19 20:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
32140,2023-12-19 21:00:00,2e-06,728760320.0,byte-seconds,Vertex AI
32141,2023-12-19 21:00:00,1e-05,3046113280.0,byte-seconds,Vertex AI
32253,2023-12-19 22:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
32369,2023-12-19 23:00:00,6e-06,1821376512.0,byte-seconds,Vertex AI
32370,2023-12-19 23:00:00,6e-06,1953497088.0,byte-seconds,Vertex AI
32464,2023-12-20 0:00:00,2e-06,833617920.0,byte-seconds,Vertex AI
32465,2023-12-20 0:00:00,9e-06,2941255680.0,byte-seconds,Vertex AI
32599,2023-12-20 1:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
32704,2023-12-20 2:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
32821,2023-12-20 3:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
32931,2023-12-20 4:00:00,3e-06,1063256064.0,byte-seconds,Vertex AI
32932,2023-12-20 4:00:00,9e-06,2711617536.0,byte-seconds,Vertex AI
33071,2023-12-20 5:00:00,2e-06,745537536.0,byte-seconds,Vertex AI
33072,2023-12-20 5:00:00,1e-05,3029336064.0,byte-seconds,Vertex AI
33183,2023-12-20 6:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
33286,2023-12-20 7:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
33417,2023-12-20 8:00:00,0.0,94371840.0,byte-seconds,Vertex AI
33418,2023-12-20 8:00:00,1.2e-05,3680501760.0,byte-seconds,Vertex AI
33555,2023-12-20 9:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
33672,2023-12-20 10:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
33762,2023-12-20 11:00:00,0.0,70254592.0,byte-seconds,Vertex AI
33763,2023-12-20 11:00:00,1.1e-05,3704619008.0,byte-seconds,Vertex AI
33889,2023-12-20 12:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
34028,2023-12-20 13:00:00,3e-06,941621248.0,byte-seconds,Vertex AI
34029,2023-12-20 13:00:00,9e-06,2833252352.0,byte-seconds,Vertex AI
34134,2023-12-20 14:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
