,usage_end_time,cost,service_type,region,usage_amount,usage_unit
316547,2024-04-04 10:00:00,1.6e-05,Artifact Registry,europe-west1,450896437178.0,byte-seconds
316701,2024-04-04 11:00:00,5e-06,Artifact Registry,europe-west1,163918274630.0,byte-seconds
369091,2024-04-24 9:00:00,5e-05,Artifact Registry,europe-west1,1403642489468.0,byte-seconds
369214,2024-04-24 10:00:00,2.9e-05,Artifact Registry,europe-west1,809211483524.0,byte-seconds
369215,2024-04-24 10:00:00,2.7e-05,Artifact Registry,europe-west1,760380701956.0,byte-seconds
369329,2024-04-24 11:00:00,5.6e-05,Artifact Registry,europe-west1,1569593192111.0,byte-seconds
369452,2024-04-24 12:00:00,1e-05,Artifact Registry,europe-west1,306070672461.0,byte-seconds
369453,2024-04-24 12:00:00,5.1e-05,Artifact Registry,europe-west1,1419568457003.0,byte-seconds
369560,2024-04-24 13:00:00,6.2e-05,Artifact Registry,europe-west1,1774092246242.0,byte-seconds
369697,2024-04-24 14:00:00,4.6e-05,Artifact Registry,europe-west1,1288188198912.0,byte-seconds
369698,2024-04-24 14:00:00,4e-06,Artifact Registry,europe-west1,122215307310.0,byte-seconds
369699,2024-04-24 14:00:00,1.3e-05,Artifact Registry,europe-west1,363688951283.0,byte-seconds
369807,2024-04-24 15:00:00,6.3e-05,Artifact Registry,europe-west1,1774093170626.0,byte-seconds
369908,2024-04-24 16:00:00,1.3e-05,Artifact Registry,europe-west1,376009191440.0,byte-seconds
369953,2024-04-24 16:00:00,5e-05,Artifact Registry,europe-west1,1398082918781.0,byte-seconds
370070,2024-04-24 17:00:00,4.6e-05,Artifact Registry,europe-west1,1288681211015.0,byte-seconds
370071,2024-04-24 17:00:00,1.7e-05,Artifact Registry,europe-west1,485411235459.0,byte-seconds
370194,2024-04-24 18:00:00,4.8e-05,Artifact Registry,europe-west1,1352252865401.0,byte-seconds
370195,2024-04-24 18:00:00,1.5e-05,Artifact Registry,europe-west1,421839723007.0,byte-seconds
370312,2024-04-24 19:00:00,9e-06,Artifact Registry,europe-west1,265621067704.0,byte-seconds
370313,2024-04-24 19:00:00,5.4e-05,Artifact Registry,europe-west1,1508471252481.0,byte-seconds
370427,2024-04-24 20:00:00,6.3e-05,Artifact Registry,europe-west1,1774092474457.0,byte-seconds
370550,2024-04-24 21:00:00,3.6e-05,Artifact Registry,europe-west1,1007783267371.0,byte-seconds
370551,2024-04-24 21:00:00,2.7e-05,Artifact Registry,europe-west1,766309388271.0,byte-seconds
370669,2024-04-24 22:00:00,6.3e-05,Artifact Registry,europe-west1,1774092048939.0,byte-seconds
370776,2024-04-24 23:00:00,5e-05,Artifact Registry,europe-west1,1396112470802.0,byte-seconds
370777,2024-04-24 23:00:00,1.3e-05,Artifact Registry,europe-west1,377980148138.0,byte-seconds
370908,2024-04-25 0:00:00,5.9e-05,Artifact Registry,europe-west1,1647442283758.0,byte-seconds
370909,2024-04-25 0:00:00,4e-06,Artifact Registry,europe-west1,126650464484.0,byte-seconds
371044,2024-04-25 1:00:00,6.3e-05,Artifact Registry,europe-west1,1774092109492.0,byte-seconds
371141,2024-04-25 2:00:00,0.0,Artifact Registry,europe-west1,0.0,byte-seconds
371142,2024-04-25 2:00:00,0.0,Artifact Registry,europe-west1,0.0,byte-seconds
371143,2024-04-25 2:00:00,6.3e-05,Artifact Registry,europe-west1,1774092109491.0,byte-seconds
371271,2024-04-25 3:00:00,2.2e-05,Artifact Registry,europe-west1,613047384501.0,byte-seconds
371272,2024-04-25 3:00:00,4.1e-05,Artifact Registry,europe-west1,1161045058286.0,byte-seconds
371399,2024-04-25 4:00:00,6.3e-05,Artifact Registry,europe-west1,1774092618773.0,byte-seconds
371502,2024-04-25 5:00:00,6.3e-05,Artifact Registry,europe-west1,1774092618772.0,byte-seconds
371611,2024-04-25 6:00:00,6e-05,Artifact Registry,europe-west1,1679474287602.0,byte-seconds
371612,2024-04-25 6:00:00,3e-06,Artifact Registry,europe-west1,94618273001.0,byte-seconds
371718,2024-04-25 7:00:00,6.3e-05,Artifact Registry,europe-west1,1774092557326.0,byte-seconds
371835,2024-04-25 8:00:00,6.3e-05,Artifact Registry,europe-west1,1774092175285.0,byte-seconds
371967,2024-04-25 9:00:00,6.3e-05,Artifact Registry,europe-west1,1774092175285.0,byte-seconds
372085,2024-04-25 10:00:00,6.3e-05,Artifact Registry,europe-west1,1774092488384.0,byte-seconds
372243,2024-04-25 11:00:00,6.3e-05,Artifact Registry,europe-west1,1774092499741.0,byte-seconds
372417,2024-04-25 12:00:00,9e-06,Artifact Registry,europe-west1,272520374066.0,byte-seconds
