,usage_end_time,cost,service_type,region,usage_amount,usage_unit
14888,2023-12-13 11:00:00,0.0,BigQuery,,10485760.0,byte-seconds
15013,2023-12-13 12:00:00,0.0,BigQuery,,10485760.0,byte-seconds
15098,2023-12-13 13:00:00,0.0,BigQuery,,10485760.0,byte-seconds
15177,2023-12-13 14:00:00,0.0,BigQuery,,10485760.0,byte-seconds
15272,2023-12-13 15:00:00,0.0,BigQuery,,10485760.0,byte-seconds
15367,2023-12-13 16:00:00,0.0,BigQuery,,10485760.0,byte-seconds
15449,2023-12-13 17:00:00,0.0,BigQuery,,10485760.0,byte-seconds
15547,2023-12-13 18:00:00,0.0,BigQuery,,10485760.0,byte-seconds
15663,2023-12-13 19:00:00,0.0,BigQuery,,10485760.0,byte-seconds
15792,2023-12-13 20:00:00,0.0,BigQuery,,10485760.0,byte-seconds
15901,2023-12-13 21:00:00,0.0,BigQuery,,10485760.0,byte-seconds
15994,2023-12-13 22:00:00,0.0,BigQuery,,10485760.0,byte-seconds
16098,2023-12-13 23:00:00,0.0,BigQuery,,10485760.0,byte-seconds
16211,2023-12-14 0:00:00,0.0,BigQuery,,10485760.0,byte-seconds
16337,2023-12-14 1:00:00,0.0,BigQuery,,10485760.0,byte-seconds
16446,2023-12-14 2:00:00,0.0,BigQuery,,10485760.0,byte-seconds
16487,2023-12-14 3:00:00,0.0,BigQuery,,10485760.0,byte-seconds
16592,2023-12-14 4:00:00,0.0,BigQuery,,10485760.0,byte-seconds
16716,2023-12-14 5:00:00,0.0,BigQuery,,10485760.0,byte-seconds
16815,2023-12-14 6:00:00,0.0,BigQuery,,10485760.0,byte-seconds
16918,2023-12-14 7:00:00,0.0,BigQuery,,10485760.0,byte-seconds
17003,2023-12-14 8:00:00,0.0,BigQuery,,10485760.0,byte-seconds
17124,2023-12-14 9:00:00,0.0,BigQuery,,10485760.0,byte-seconds
17207,2023-12-14 10:00:00,0.0,BigQuery,,10485760.0,byte-seconds
17292,2023-12-14 11:00:00,0.0,BigQuery,,10485760.0,byte-seconds
17376,2023-12-14 12:00:00,0.0,BigQuery,,10485760.0,byte-seconds
17501,2023-12-14 13:00:00,0.0,BigQuery,,10485760.0,byte-seconds
17619,2023-12-14 14:00:00,0.0,BigQuery,,10485760.0,byte-seconds
17713,2023-12-14 15:00:00,0.0,BigQuery,,10485760.0,byte-seconds
17820,2023-12-14 16:00:00,0.0,BigQuery,,10485760.0,byte-seconds
17969,2023-12-14 17:00:00,0.0,BigQuery,,10485760.0,byte-seconds
18065,2023-12-14 18:00:00,0.0,BigQuery,,10485760.0,byte-seconds
18170,2023-12-14 19:00:00,0.0,BigQuery,,10485760.0,byte-seconds
18284,2023-12-14 20:00:00,0.0,BigQuery,,10485760.0,byte-seconds
18442,2023-12-14 21:00:00,0.0,BigQuery,,10485760.0,byte-seconds
18555,2023-12-14 22:00:00,0.0,BigQuery,,10485760.0,byte-seconds
18667,2023-12-14 23:00:00,0.0,BigQuery,,10485760.0,byte-seconds
18757,2023-12-15 0:00:00,0.0,BigQuery,,10485760.0,byte-seconds
18883,2023-12-15 1:00:00,0.0,BigQuery,,10485760.0,byte-seconds
18999,2023-12-15 2:00:00,0.0,BigQuery,,10485760.0,byte-seconds
19125,2023-12-15 3:00:00,0.0,BigQuery,,10485760.0,byte-seconds
19236,2023-12-15 4:00:00,0.0,BigQuery,,10485760.0,byte-seconds
19353,2023-12-15 5:00:00,0.0,BigQuery,,10485760.0,byte-seconds
19457,2023-12-15 6:00:00,0.0,BigQuery,,10485760.0,byte-seconds
19561,2023-12-15 7:00:00,0.0,BigQuery,,10485760.0,byte-seconds
