,usage_end_time,cost,service_type,region,usage_amount,usage_unit
90580,2024-01-10 9:00:00,0.0,BigQuery,,742391808.0,bytes
91382,2024-01-10 16:00:00,0.0,BigQuery,,77594624.0,bytes
91453,2024-01-10 17:00:00,0.0,BigQuery,,0.0,bytes
91454,2024-01-10 17:00:00,0.0,BigQuery,,0.0,bytes
91455,2024-01-10 17:00:00,0.0,BigQuery,,0.0,bytes
91456,2024-01-10 17:00:00,0.0,BigQuery,,0.0,bytes
91457,2024-01-10 17:00:00,0.0,BigQuery,,0.0,bytes
91537,2024-01-10 17:00:00,0.0,BigQuery,,157286400.0,bytes
91538,2024-01-10 17:00:00,0.0,BigQuery,,16777216.0,bytes
91581,2024-01-10 18:00:00,0.0,BigQuery,,176160768.0,bytes
91680,2024-01-10 18:00:00,0.0,BigQuery,,27262976.0,bytes
91693,2024-01-10 19:00:00,0.0,BigQuery,,251658240.0,bytes
92400,2024-01-11 1:00:00,0.0,BigQuery,,653262848.0,bytes
92491,2024-01-11 2:00:00,0.0,BigQuery,,92274688.0,bytes
105210,2024-01-15 9:00:00,0.0,BigQuery,,81788928.0,bytes
105467,2024-01-15 11:00:00,0.0,BigQuery,,63963136.0,bytes
105983,2024-01-15 15:00:00,0.0,BigQuery,,17825792.0,bytes
106122,2024-01-15 16:00:00,0.0,BigQuery,,63963136.0,bytes
108376,2024-01-16 9:00:00,0.0,BigQuery,,826277888.0,bytes
108835,2024-01-16 13:00:00,0.0,BigQuery,,46137344.0,bytes
140233,2024-01-26 14:00:00,0.0,BigQuery,,900726784.0,bytes
145436,2024-01-28 9:00:00,0.0,BigQuery,,20971520.0,bytes
151686,2024-01-30 9:00:00,0.0,BigQuery,,20971520.0,bytes
151687,2024-01-30 9:00:00,0.0,BigQuery,,20971520.0,bytes
157363,2024-02-01 8:00:00,0.0,BigQuery,,20971520.0,bytes
158012,2024-02-01 13:00:00,0.0,BigQuery,,20971520.0,bytes
160839,2024-02-02 12:00:00,0.0,BigQuery,,66060288.0,bytes
160967,2024-02-02 13:00:00,0.0,BigQuery,,62914560.0,bytes
161092,2024-02-02 14:00:00,0.0,BigQuery,,20971520.0,bytes
169653,2024-02-05 9:00:00,0.0,BigQuery,,20971520.0,bytes
169758,2024-02-05 10:00:00,0.0,BigQuery,,20971520.0,bytes
170119,2024-02-05 13:00:00,0.0,BigQuery,,20971520.0,bytes
172723,2024-02-06 9:00:00,0.0,BigQuery,,262144000.0,bytes
172833,2024-02-06 10:00:00,0.0,BigQuery,,62914560.0,bytes
172834,2024-02-06 10:00:00,0.0,BigQuery,,241172480.0,bytes
172961,2024-02-06 11:00:00,0.0,BigQuery,,671088640.0,bytes
173143,2024-02-06 12:00:00,0.0,BigQuery,,104857600.0,bytes
173144,2024-02-06 12:00:00,0.0,BigQuery,,146800640.0,bytes
173421,2024-02-06 14:00:00,0.0,BigQuery,,20971520.0,bytes
175732,2024-02-07 8:00:00,0.0,BigQuery,,41943040.0,bytes
175896,2024-02-07 9:00:00,0.0,BigQuery,,62914560.0,bytes
176270,2024-02-07 12:00:00,0.0,BigQuery,,20971520.0,bytes
179015,2024-02-08 10:00:00,0.0,BigQuery,,10485760.0,bytes
179417,2024-02-08 13:00:00,0.0,BigQuery,,20971520.0,bytes
179639,2024-02-08 15:00:00,0.0,BigQuery,,209715200.0,bytes
179744,2024-02-08 16:00:00,0.0,BigQuery,,346030080.0,bytes
179884,2024-02-08 17:00:00,0.0,BigQuery,,178257920.0,bytes
179885,2024-02-08 17:00:00,0.0,BigQuery,,31457280.0,bytes
181202,2024-02-09 8:00:00,0.0,BigQuery,,52428800.0,bytes
181303,2024-02-09 9:00:00,0.0,BigQuery,,52428800.0,bytes
181304,2024-02-09 9:00:00,0.0,BigQuery,,62914560.0,bytes
187474,2024-02-12 8:00:00,0.0,BigQuery,,73400320.0,bytes
187588,2024-02-12 9:00:00,0.0,BigQuery,,41943040.0,bytes
187769,2024-02-12 11:00:00,0.0,BigQuery,,20971520.0,bytes
