,usage_end_time,cost,service_type,region,usage_amount,usage_unit
316559,2024-04-04 10:00:00,0.0,Cloud Build,europe-west1,30.0,seconds
369103,2024-04-24 9:00:00,0.0,Cloud Build,europe-west1,27.0,seconds
369464,2024-04-24 12:00:00,0.0,Cloud Build,europe-west1,64.0,seconds
386419,2024-04-30 11:00:00,0.0,Cloud Build,europe-west1,128.0,seconds
386420,2024-04-30 11:00:00,0.0,Cloud Build,europe-west1,62.0,seconds
386565,2024-04-30 12:00:00,0.0,Cloud Build,europe-west1,216.0,seconds
386791,2024-04-30 14:00:00,0.0,Cloud Build,europe-west1,31.0,seconds
391285,2024-05-02 9:00:00,0.0,Cloud Build,europe-west1,131.0,seconds
391379,2024-05-02 10:00:00,0.0,Cloud Build,europe-west1,63.0,seconds
391380,2024-05-02 10:00:00,0.0,Cloud Build,europe-west1,31.0,seconds
391505,2024-05-02 11:00:00,0.0,Cloud Build,europe-west1,106.0,seconds
