,usage_end_time,cost,service_type,region,usage_amount,usage_unit
207836,2024-02-20 8:00:00,0.000287,Cloud DNS,us-central1,3600.0,seconds
211044,2024-02-21 14:00:00,0.000287,Cloud DNS,us-central1,3600.0,seconds
250527,2024-03-08 17:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
267484,2024-03-15 14:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
267623,2024-03-15 15:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
267761,2024-03-15 16:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
267821,2024-03-15 17:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
267934,2024-03-15 18:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
268040,2024-03-15 19:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
268162,2024-03-15 20:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
268251,2024-03-15 21:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
268354,2024-03-15 22:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
268446,2024-03-15 23:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
268579,2024-03-16 0:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
268676,2024-03-16 1:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
268757,2024-03-16 2:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
268844,2024-03-16 3:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
268960,2024-03-16 4:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
269049,2024-03-16 5:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
269133,2024-03-16 6:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
269210,2024-03-16 7:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
269296,2024-03-16 8:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
269378,2024-03-16 9:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
269482,2024-03-16 10:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
269576,2024-03-16 11:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
269682,2024-03-16 12:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
269787,2024-03-16 13:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
269873,2024-03-16 14:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
269960,2024-03-16 15:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
270071,2024-03-16 16:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
270153,2024-03-16 17:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
270286,2024-03-16 18:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
270357,2024-03-16 19:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
270447,2024-03-16 20:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
270538,2024-03-16 21:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
270643,2024-03-16 22:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
270740,2024-03-16 23:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
270866,2024-03-17 0:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
270965,2024-03-17 1:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
271059,2024-03-17 2:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
271149,2024-03-17 3:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
271274,2024-03-17 4:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
271359,2024-03-17 5:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
271460,2024-03-17 6:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
271583,2024-03-17 7:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
271708,2024-03-17 8:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
271804,2024-03-17 9:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
271916,2024-03-17 10:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
272021,2024-03-17 11:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
272152,2024-03-17 12:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
272252,2024-03-17 13:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
272366,2024-03-17 14:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
272488,2024-03-17 15:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
272616,2024-03-17 16:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
272719,2024-03-17 17:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
272774,2024-03-17 18:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
272890,2024-03-17 19:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
272999,2024-03-17 20:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
273104,2024-03-17 21:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
273196,2024-03-17 22:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
273310,2024-03-17 23:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
273421,2024-03-18 0:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
273531,2024-03-18 1:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
273631,2024-03-18 2:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
273725,2024-03-18 3:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
273847,2024-03-18 4:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
273953,2024-03-18 5:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
274056,2024-03-18 6:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
274164,2024-03-18 7:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
274259,2024-03-18 8:00:00,0.000807,Cloud DNS,us-central1,10800.0,seconds
274346,2024-03-18 9:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
274442,2024-03-18 10:00:00,0.000269,Cloud DNS,us-central1,3600.0,seconds
274540,2024-03-18 11:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
274648,2024-03-18 12:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
274754,2024-03-18 13:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
274875,2024-03-18 14:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
275011,2024-03-18 15:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
275125,2024-03-18 16:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
275223,2024-03-18 17:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
275279,2024-03-18 18:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
275388,2024-03-18 19:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
275508,2024-03-18 20:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
275606,2024-03-18 21:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
275702,2024-03-18 22:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
275810,2024-03-18 23:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
275932,2024-03-19 0:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
276039,2024-03-19 1:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
276135,2024-03-19 2:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
276225,2024-03-19 3:00:00,0.0,Cloud DNS,us-central1,0.0,seconds
276226,2024-03-19 3:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
276350,2024-03-19 4:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
276442,2024-03-19 5:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
276549,2024-03-19 6:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
276654,2024-03-19 7:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
276755,2024-03-19 8:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
276821,2024-03-19 9:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
276907,2024-03-19 10:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
277016,2024-03-19 11:00:00,0.000538,Cloud DNS,us-central1,7200.0,seconds
