,usage_end_time,cost,service_type,region,usage_amount,usage_unit
592721,2024-07-10 14:00:00,0.001013,Cloud Dataflow,europe-west1,939018682368.0,byte-seconds
592826,2024-07-10 14:00:00,8.6e-05,Cloud Dataflow,europe-west1,6259914833920.0,byte-seconds
594688,2024-07-11 6:00:00,0.000259,Cloud Dataflow,europe-west1,239990945942.0,byte-seconds
594805,2024-07-11 6:00:00,2.2e-05,Cloud Dataflow,europe-west1,1599939639612.0,byte-seconds
594838,2024-07-11 7:00:00,0.000869,Cloud Dataflow,europe-west1,806047500138.0,byte-seconds
594839,2024-07-11 7:00:00,0.001152,Cloud Dataflow,europe-west1,1067570954240.0,byte-seconds
594991,2024-07-11 7:00:00,9.9e-05,Cloud Dataflow,europe-west1,7116760809472.0,byte-seconds
594992,2024-07-11 7:00:00,7.5e-05,Cloud Dataflow,europe-west1,5372939765444.0,byte-seconds
626539,2024-07-22 12:00:00,0.001135,Cloud Dataflow,europe-west1,1051891597312.0,byte-seconds
626633,2024-07-22 12:00:00,9.7e-05,Cloud Dataflow,europe-west1,7012607852544.0,byte-seconds
626690,2024-07-22 13:00:00,0.001354,Cloud Dataflow,europe-west1,1255434878976.0,byte-seconds
626776,2024-07-22 13:00:00,0.000116,Cloud Dataflow,europe-west1,8368743776256.0,byte-seconds
626869,2024-07-22 14:00:00,0.001327,Cloud Dataflow,europe-west1,1230212431872.0,byte-seconds
626934,2024-07-22 14:00:00,0.000114,Cloud Dataflow,europe-west1,8201240051712.0,byte-seconds
627046,2024-07-22 15:00:00,0.001206,Cloud Dataflow,europe-west1,1117887922176.0,byte-seconds
627096,2024-07-22 15:00:00,0.000104,Cloud Dataflow,europe-west1,7451768258560.0,byte-seconds
628759,2024-07-23 6:00:00,9.7e-05,Cloud Dataflow,europe-west1,7053410041856.0,byte-seconds
628827,2024-07-23 6:00:00,0.001141,Cloud Dataflow,europe-west1,1058106507264.0,byte-seconds
629106,2024-07-23 9:00:00,0.000388,Cloud Dataflow,europe-west1,27917287424000.0,byte-seconds
629107,2024-07-23 9:00:00,0.000334,Cloud Dataflow,europe-west1,24017410999852.0,byte-seconds
629198,2024-07-23 9:00:00,0.004517,Cloud Dataflow,europe-west1,4187593113600.0,byte-seconds
629199,2024-07-23 9:00:00,0.003888,Cloud Dataflow,europe-west1,3602771662676.0,byte-seconds
629270,2024-07-23 10:00:00,0.000614,Cloud Dataflow,europe-west1,44024534645204.0,byte-seconds
629327,2024-07-23 10:00:00,0.007125,Cloud Dataflow,europe-west1,6603725285548.0,byte-seconds
630412,2024-07-23 19:00:00,0.000181,Cloud Dataflow,europe-west1,13042741936128.0,byte-seconds
630425,2024-07-23 19:00:00,0.00211,Cloud Dataflow,europe-west1,1956427857920.0,byte-seconds
630484,2024-07-23 20:00:00,0.000805,Cloud Dataflow,europe-west1,57803817353216.0,byte-seconds
630560,2024-07-23 20:00:00,0.009355,Cloud Dataflow,europe-west1,8670696964096.0,byte-seconds
632677,2024-07-24 15:00:00,0.000217,Cloud Dataflow,europe-west1,15567460103759.0,byte-seconds
632758,2024-07-24 15:00:00,0.002519,Cloud Dataflow,europe-west1,2335119015564.0,byte-seconds
632841,2024-07-24 16:00:00,0.000571,Cloud Dataflow,europe-west1,40912433580465.0,byte-seconds
632842,2024-07-24 16:00:00,0.000198,Cloud Dataflow,europe-west1,14227079168000.0,byte-seconds
632843,2024-07-24 16:00:00,0.000335,Cloud Dataflow,europe-west1,24068402058629.0,byte-seconds
632922,2024-07-24 16:00:00,0.003896,Cloud Dataflow,europe-west1,3610260308795.0,byte-seconds
632923,2024-07-24 16:00:00,0.006622,Cloud Dataflow,europe-west1,6136932565364.0,byte-seconds
632924,2024-07-24 16:00:00,0.002302,Cloud Dataflow,europe-west1,2134093332480.0,byte-seconds
632993,2024-07-24 17:00:00,0.0008,Cloud Dataflow,europe-west1,57383505226363.0,byte-seconds
633075,2024-07-24 17:00:00,0.009289,Cloud Dataflow,europe-west1,8607670697157.0,byte-seconds
634799,2024-07-25 8:00:00,0.000572,Cloud Dataflow,europe-west1,41111426957312.0,byte-seconds
634800,2024-07-25 8:00:00,0.000288,Cloud Dataflow,europe-west1,20669530112000.0,byte-seconds
634829,2024-07-25 8:00:00,0.007479,Cloud Dataflow,europe-west1,6931932512256.0,byte-seconds
634830,2024-07-25 8:00:00,0.00252,Cloud Dataflow,europe-west1,2335429361664.0,byte-seconds
634946,2024-07-25 9:00:00,0.000891,Cloud Dataflow,europe-west1,63957431746560.0,byte-seconds
634974,2024-07-25 9:00:00,0.010352,Cloud Dataflow,europe-west1,9593649364992.0,byte-seconds
635201,2024-07-25 11:00:00,6.6e-05,Cloud Dataflow,europe-west1,4795330985984.0,byte-seconds
635202,2024-07-25 11:00:00,6.8e-05,Cloud Dataflow,europe-west1,4948876066816.0,byte-seconds
635217,2024-07-25 11:00:00,0.000801,Cloud Dataflow,europe-west1,742382370816.0,byte-seconds
635218,2024-07-25 11:00:00,0.000775,Cloud Dataflow,europe-west1,719308455936.0,byte-seconds
635319,2024-07-25 13:00:00,0.007559,Cloud Dataflow,europe-west1,7006189518848.0,byte-seconds
635423,2024-07-25 13:00:00,0.00065,Cloud Dataflow,europe-west1,46707769344000.0,byte-seconds
635448,2024-07-25 14:00:00,0.009098,Cloud Dataflow,europe-west1,8433181521958.0,byte-seconds
635449,2024-07-25 14:00:00,0.001361,Cloud Dataflow,europe-west1,1261905641472.0,byte-seconds
635558,2024-07-25 14:00:00,0.000782,Cloud Dataflow,europe-west1,56220993440676.0,byte-seconds
635559,2024-07-25 14:00:00,0.000116,Cloud Dataflow,europe-west1,8411693449216.0,byte-seconds
635590,2024-07-25 15:00:00,0.000263,Cloud Dataflow,europe-west1,245035829210.0,byte-seconds
635683,2024-07-25 15:00:00,2.1e-05,Cloud Dataflow,europe-west1,1633289778268.0,byte-seconds
