,usage_end_time,cost,service_type,region,usage_amount,usage_unit
651263,2024-07-30 15:00:00,0.0,Cloud Dataflow,europe-west1,2929.0,bytes
653736,2024-07-31 12:00:00,0.0,Cloud Dataflow,europe-west1,5560.0,bytes
653985,2024-07-31 14:00:00,0.0,Cloud Dataflow,europe-west1,5560.0,bytes
654094,2024-07-31 15:00:00,0.0,Cloud Dataflow,europe-west1,5560.0,bytes
672898,2024-08-07 14:00:00,1e-06,Cloud Dataflow,europe-west1,115641.0,bytes
673105,2024-08-07 15:00:00,1.2e-05,Cloud Dataflow,europe-west1,826602.0,bytes
673106,2024-08-07 15:00:00,1e-06,Cloud Dataflow,europe-west1,67900.0,bytes
673317,2024-08-07 16:00:00,2.7e-05,Cloud Dataflow,europe-west1,1847102.0,bytes
673487,2024-08-07 17:00:00,3e-05,Cloud Dataflow,europe-west1,2013425.0,bytes
673520,2024-08-07 18:00:00,2.2e-05,Cloud Dataflow,europe-west1,1461260.0,bytes
673521,2024-08-07 18:00:00,7e-06,Cloud Dataflow,europe-west1,424302.0,bytes
676003,2024-08-08 14:00:00,4e-05,Cloud Dataflow,europe-west1,2480904.0,bytes
676004,2024-08-08 14:00:00,4e-05,Cloud Dataflow,europe-west1,2434645.0,bytes
676210,2024-08-08 15:00:00,4.2e-05,Cloud Dataflow,europe-west1,2706713.0,bytes
676211,2024-08-08 15:00:00,4.9e-05,Cloud Dataflow,europe-west1,3087616.0,bytes
676404,2024-08-08 16:00:00,5.8e-05,Cloud Dataflow,europe-west1,3610850.0,bytes
676405,2024-08-08 16:00:00,1.9e-05,Cloud Dataflow,europe-west1,1230553.0,bytes
676573,2024-08-08 17:00:00,1.5e-05,Cloud Dataflow,europe-west1,972903.0,bytes
676574,2024-08-08 17:00:00,5.6e-05,Cloud Dataflow,europe-west1,3472309.0,bytes
676753,2024-08-08 18:00:00,5.7e-05,Cloud Dataflow,europe-west1,3502288.0,bytes
676754,2024-08-08 18:00:00,1.7e-05,Cloud Dataflow,europe-west1,1016017.0,bytes
676912,2024-08-08 19:00:00,6.5e-05,Cloud Dataflow,europe-west1,4050760.0,bytes
676931,2024-08-08 19:00:00,0.0,Cloud Dataflow,europe-west1,0.0,bytes
677063,2024-08-08 20:00:00,1.5e-05,Cloud Dataflow,europe-west1,991398.0,bytes
677064,2024-08-08 20:00:00,5.3e-05,Cloud Dataflow,europe-west1,3310662.0,bytes
677240,2024-08-08 21:00:00,8e-05,Cloud Dataflow,europe-west1,4975972.0,bytes
