,usage_end_time,cost,service_type,region,usage_amount,usage_unit
592718,2024-07-10 14:00:00,0.003818,Cloud Dataflow,europe-west1,233.0,seconds
594678,2024-07-11 6:00:00,0.000983,Cloud Dataflow,europe-west1,60.0,seconds
594824,2024-07-11 7:00:00,0.003261,Cloud Dataflow,europe-west1,199.0,seconds
594825,2024-07-11 7:00:00,0.004343,Cloud Dataflow,europe-west1,265.0,seconds
626533,2024-07-22 12:00:00,0.004277,Cloud Dataflow,europe-west1,261.0,seconds
626686,2024-07-22 13:00:00,0.005096,Cloud Dataflow,europe-west1,311.0,seconds
626866,2024-07-22 14:00:00,0.004998,Cloud Dataflow,europe-west1,305.0,seconds
627042,2024-07-22 15:00:00,0.0,Cloud Dataflow,europe-west1,0.0,seconds
627043,2024-07-22 15:00:00,0.004539,Cloud Dataflow,europe-west1,277.0,seconds
628839,2024-07-23 6:00:00,0.004293,Cloud Dataflow,europe-west1,262.0,seconds
629211,2024-07-23 9:00:00,0.017042,Cloud Dataflow,europe-west1,1040.0,seconds
629212,2024-07-23 9:00:00,0.014651,Cloud Dataflow,europe-west1,894.0,seconds
629338,2024-07-23 10:00:00,0.026859,Cloud Dataflow,europe-west1,1639.0,seconds
630428,2024-07-23 19:00:00,0.007947,Cloud Dataflow,europe-west1,485.0,seconds
630575,2024-07-23 20:00:00,0.035282,Cloud Dataflow,europe-west1,2153.0,seconds
632770,2024-07-24 15:00:00,0.009505,Cloud Dataflow,europe-west1,580.0,seconds
632935,2024-07-24 16:00:00,0.024975,Cloud Dataflow,europe-west1,1524.0,seconds
632936,2024-07-24 16:00:00,0.008685,Cloud Dataflow,europe-west1,530.0,seconds
632937,2024-07-24 16:00:00,0.014699,Cloud Dataflow,europe-west1,897.0,seconds
633086,2024-07-24 17:00:00,0.035022,Cloud Dataflow,europe-west1,2137.0,seconds
634839,2024-07-25 8:00:00,0.025089,Cloud Dataflow,europe-west1,1531.0,seconds
634840,2024-07-25 8:00:00,0.012618,Cloud Dataflow,europe-west1,770.0,seconds
634980,2024-07-25 9:00:00,0.039036,Cloud Dataflow,europe-west1,2382.0,seconds
635224,2024-07-25 11:00:00,0.003015,Cloud Dataflow,europe-west1,184.0,seconds
635225,2024-07-25 11:00:00,0.002916,Cloud Dataflow,europe-west1,178.0,seconds
635310,2024-07-25 13:00:00,0.028514,Cloud Dataflow,europe-west1,1740.0,seconds
635437,2024-07-25 14:00:00,0.034332,Cloud Dataflow,europe-west1,2095.0,seconds
635438,2024-07-25 14:00:00,0.005128,Cloud Dataflow,europe-west1,313.0,seconds
635579,2024-07-25 15:00:00,0.000982,Cloud Dataflow,europe-west1,60.0,seconds
635697,2024-07-25 16:00:00,0.015978,Cloud Dataflow,europe-west1,975.0,seconds
635819,2024-07-25 17:00:00,0.015404,Cloud Dataflow,europe-west1,940.0,seconds
637944,2024-07-26 10:00:00,0.013487,Cloud Dataflow,europe-west1,823.0,seconds
637945,2024-07-26 10:00:00,0.023893,Cloud Dataflow,europe-west1,1458.0,seconds
638125,2024-07-26 11:00:00,0.002293,Cloud Dataflow,europe-west1,140.0,seconds
638126,2024-07-26 11:00:00,0.014781,Cloud Dataflow,europe-west1,902.0,seconds
638127,2024-07-26 11:00:00,0.019714,Cloud Dataflow,europe-west1,1203.0,seconds
638304,2024-07-26 12:00:00,0.004146,Cloud Dataflow,europe-west1,253.0,seconds
638305,2024-07-26 12:00:00,0.029499,Cloud Dataflow,europe-west1,1800.0,seconds
638306,2024-07-26 12:00:00,0.026614,Cloud Dataflow,europe-west1,1624.0,seconds
638307,2024-07-26 12:00:00,0.004015,Cloud Dataflow,europe-west1,245.0,seconds
638487,2024-07-26 13:00:00,0.045034,Cloud Dataflow,europe-west1,2748.0,seconds
638664,2024-07-26 14:00:00,0.013356,Cloud Dataflow,europe-west1,815.0,seconds
638665,2024-07-26 14:00:00,0.035579,Cloud Dataflow,europe-west1,2171.0,seconds
639002,2024-07-26 16:00:00,0.03448,Cloud Dataflow,europe-west1,2104.0,seconds
647065,2024-07-29 10:00:00,0.010996,Cloud Dataflow,europe-west1,671.0,seconds
647240,2024-07-29 11:00:00,0.008341,Cloud Dataflow,europe-west1,509.0,seconds
647241,2024-07-29 11:00:00,0.014569,Cloud Dataflow,europe-west1,889.0,seconds
647467,2024-07-29 12:00:00,0.003375,Cloud Dataflow,europe-west1,206.0,seconds
647468,2024-07-29 12:00:00,0.004014,Cloud Dataflow,europe-west1,245.0,seconds
647469,2024-07-29 12:00:00,0.003621,Cloud Dataflow,europe-west1,221.0,seconds
647691,2024-07-29 13:00:00,0.011586,Cloud Dataflow,europe-west1,707.0,seconds
647692,2024-07-29 13:00:00,0.000458,Cloud Dataflow,europe-west1,28.0,seconds
647693,2024-07-29 13:00:00,0.003293,Cloud Dataflow,europe-west1,201.0,seconds
647694,2024-07-29 13:00:00,0.009735,Cloud Dataflow,europe-west1,594.0,seconds
647695,2024-07-29 13:00:00,0.003867,Cloud Dataflow,europe-west1,236.0,seconds
647811,2024-07-29 14:00:00,0.003704,Cloud Dataflow,europe-west1,226.0,seconds
647812,2024-07-29 14:00:00,0.004276,Cloud Dataflow,europe-west1,261.0,seconds
648037,2024-07-29 16:00:00,0.004359,Cloud Dataflow,europe-west1,266.0,seconds
648038,2024-07-29 16:00:00,0.003835,Cloud Dataflow,europe-west1,234.0,seconds
648039,2024-07-29 16:00:00,0.022483,Cloud Dataflow,europe-west1,1372.0,seconds
648040,2024-07-29 16:00:00,0.004097,Cloud Dataflow,europe-west1,250.0,seconds
648211,2024-07-29 17:00:00,0.004326,Cloud Dataflow,europe-west1,264.0,seconds
648212,2024-07-29 17:00:00,0.003982,Cloud Dataflow,europe-west1,243.0,seconds
648213,2024-07-29 17:00:00,0.004949,Cloud Dataflow,europe-west1,302.0,seconds
648214,2024-07-29 17:00:00,0.005244,Cloud Dataflow,europe-west1,320.0,seconds
648427,2024-07-29 18:00:00,0.004457,Cloud Dataflow,europe-west1,272.0,seconds
650378,2024-07-30 10:00:00,0.000687,Cloud Dataflow,europe-west1,42.0,seconds
650514,2024-07-30 11:00:00,0.004244,Cloud Dataflow,europe-west1,259.0,seconds
650657,2024-07-30 12:00:00,0.004392,Cloud Dataflow,europe-west1,268.0,seconds
650658,2024-07-30 12:00:00,0.004588,Cloud Dataflow,europe-west1,280.0,seconds
650819,2024-07-30 13:00:00,0.003884,Cloud Dataflow,europe-west1,237.0,seconds
650820,2024-07-30 13:00:00,0.004474,Cloud Dataflow,europe-west1,273.0,seconds
650821,2024-07-30 13:00:00,0.004309,Cloud Dataflow,europe-west1,263.0,seconds
651042,2024-07-30 14:00:00,0.00408,Cloud Dataflow,europe-west1,249.0,seconds
651197,2024-07-30 15:00:00,0.004195,Cloud Dataflow,europe-west1,256.0,seconds
653651,2024-07-31 12:00:00,0.003785,Cloud Dataflow,europe-west1,231.0,seconds
653915,2024-07-31 14:00:00,0.003866,Cloud Dataflow,europe-west1,236.0,seconds
654038,2024-07-31 15:00:00,0.004801,Cloud Dataflow,europe-west1,293.0,seconds
672961,2024-08-07 14:00:00,0.01108,Cloud Dataflow,europe-west1,554.0,seconds
673168,2024-08-07 15:00:00,0.00432,Cloud Dataflow,europe-west1,216.0,seconds
673169,2024-08-07 15:00:00,0.05592,Cloud Dataflow,europe-west1,2796.0,seconds
