,usage_end_time,cost,service_type,region,usage_amount,usage_unit
25,2023-12-07 9:00:00,0.0,Cloud Logging,,4648179.0,bytes
26,2023-12-07 9:00:00,0.0,Cloud Logging,,22269.0,bytes
27,2023-12-07 9:00:00,0.0,Cloud Logging,,12635140.0,bytes
28,2023-12-07 9:00:00,0.0,Cloud Logging,,142705.0,bytes
29,2023-12-07 9:00:00,0.0,Cloud Logging,,1266.0,bytes
30,2023-12-07 9:00:00,0.0,Cloud Logging,,449394.0,bytes
109,2023-12-07 10:00:00,0.0,Cloud Logging,,41249.0,bytes
110,2023-12-07 10:00:00,0.0,Cloud Logging,,620360.0,bytes
111,2023-12-07 10:00:00,0.0,Cloud Logging,,73252.0,bytes
112,2023-12-07 10:00:00,0.0,Cloud Logging,,27954.0,bytes
113,2023-12-07 10:00:00,0.0,Cloud Logging,,1918.0,bytes
114,2023-12-07 10:00:00,0.0,Cloud Logging,,925202.0,bytes
187,2023-12-07 11:00:00,0.0,Cloud Logging,,2058.0,bytes
188,2023-12-07 11:00:00,0.0,Cloud Logging,,232297.0,bytes
189,2023-12-07 11:00:00,0.0,Cloud Logging,,448.0,bytes
190,2023-12-07 11:00:00,0.0,Cloud Logging,,146989.0,bytes
191,2023-12-07 11:00:00,0.0,Cloud Logging,,5758.0,bytes
192,2023-12-07 11:00:00,0.0,Cloud Logging,,420424.0,bytes
193,2023-12-07 11:00:00,0.0,Cloud Logging,,88128.0,bytes
276,2023-12-07 12:00:00,0.0,Cloud Logging,,8229.0,bytes
277,2023-12-07 12:00:00,0.0,Cloud Logging,,1052.0,bytes
278,2023-12-07 12:00:00,0.0,Cloud Logging,,562827.0,bytes
279,2023-12-07 12:00:00,0.0,Cloud Logging,,320525.0,bytes
377,2023-12-07 13:00:00,0.0,Cloud Logging,,151535.0,bytes
378,2023-12-07 13:00:00,0.0,Cloud Logging,,324573.0,bytes
379,2023-12-07 13:00:00,0.0,Cloud Logging,,315739.0,bytes
380,2023-12-07 13:00:00,0.0,Cloud Logging,,4110.0,bytes
381,2023-12-07 13:00:00,0.0,Cloud Logging,,171569.0,bytes
382,2023-12-07 13:00:00,0.0,Cloud Logging,,4114.0,bytes
466,2023-12-07 14:00:00,0.0,Cloud Logging,,320512.0,bytes
467,2023-12-07 14:00:00,0.0,Cloud Logging,,8231.0,bytes
468,2023-12-07 14:00:00,0.0,Cloud Logging,,557413.0,bytes
562,2023-12-07 15:00:00,0.0,Cloud Logging,,304957.0,bytes
563,2023-12-07 15:00:00,0.0,Cloud Logging,,170586.0,bytes
564,2023-12-07 15:00:00,0.0,Cloud Logging,,4114.0,bytes
565,2023-12-07 15:00:00,0.0,Cloud Logging,,3704.0,bytes
566,2023-12-07 15:00:00,0.0,Cloud Logging,,160674.0,bytes
567,2023-12-07 15:00:00,0.0,Cloud Logging,,270887.0,bytes
639,2023-12-07 16:00:00,0.0,Cloud Logging,,0.0,bytes
640,2023-12-07 16:00:00,0.0,Cloud Logging,,0.0,bytes
641,2023-12-07 16:00:00,0.0,Cloud Logging,,0.0,bytes
642,2023-12-07 16:00:00,0.0,Cloud Logging,,0.0,bytes
700,2023-12-07 16:00:00,0.0,Cloud Logging,,287950.0,bytes
701,2023-12-07 16:00:00,0.0,Cloud Logging,,171040.0,bytes
702,2023-12-07 16:00:00,0.0,Cloud Logging,,4528.0,bytes
703,2023-12-07 16:00:00,0.0,Cloud Logging,,262411.0,bytes
704,2023-12-07 16:00:00,0.0,Cloud Logging,,149351.0,bytes
705,2023-12-07 16:00:00,0.0,Cloud Logging,,3704.0,bytes
830,2023-12-07 17:00:00,0.0,Cloud Logging,,1916.0,bytes
831,2023-12-07 17:00:00,0.0,Cloud Logging,,320425.0,bytes
832,2023-12-07 17:00:00,0.0,Cloud Logging,,564329.0,bytes
833,2023-12-07 17:00:00,0.0,Cloud Logging,,8222.0,bytes
