,usage_end_time,cost,service_type,region,usage_amount,usage_unit
648194,2024-07-29 17:00:00,0.0,Cloud Monitoring,europe-west1,944.0,bytes
650590,2024-07-30 11:00:00,0.0,Cloud Monitoring,europe-west1,248.0,bytes
650909,2024-07-30 13:00:00,0.0,Cloud Monitoring,europe-west1,1392.0,bytes
651092,2024-07-30 14:00:00,0.0,Cloud Monitoring,europe-west1,696.0,bytes
651246,2024-07-30 15:00:00,0.0,Cloud Monitoring,europe-west1,464.0,bytes
653715,2024-07-31 12:00:00,0.0,Cloud Monitoring,europe-west1,696.0,bytes
653967,2024-07-31 14:00:00,0.0,Cloud Monitoring,europe-west1,696.0,bytes
654082,2024-07-31 15:00:00,0.0,Cloud Monitoring,europe-west1,696.0,bytes
672976,2024-08-07 14:00:00,0.0,Cloud Monitoring,europe-west1,464.0,bytes
673184,2024-08-07 15:00:00,0.0,Cloud Monitoring,europe-west1,10440.0,bytes
673360,2024-08-07 16:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
673512,2024-08-07 17:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
673628,2024-08-07 18:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
673629,2024-08-07 18:00:00,0.0,Cloud Monitoring,europe-west1,17168.0,bytes
676123,2024-08-08 14:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
676124,2024-08-08 14:00:00,0.0,Cloud Monitoring,europe-west1,928.0,bytes
676317,2024-08-08 15:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
676318,2024-08-08 15:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
676475,2024-08-08 16:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
676476,2024-08-08 16:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
676634,2024-08-08 17:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
676635,2024-08-08 17:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
676791,2024-08-08 18:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
676792,2024-08-08 18:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
676926,2024-08-08 19:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
677173,2024-08-08 20:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
677174,2024-08-08 20:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
677339,2024-08-08 21:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
677487,2024-08-08 22:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
677488,2024-08-08 22:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
677650,2024-08-08 23:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
677819,2024-08-09 0:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
678001,2024-08-09 1:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
678002,2024-08-09 1:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
678184,2024-08-09 2:00:00,0.0,Cloud Monitoring,europe-west1,1160.0,bytes
678185,2024-08-09 2:00:00,0.0,Cloud Monitoring,europe-west1,26680.0,bytes
678383,2024-08-09 3:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
678589,2024-08-09 4:00:00,0.0,Cloud Monitoring,europe-west1,12760.0,bytes
678590,2024-08-09 4:00:00,0.0,Cloud Monitoring,europe-west1,15080.0,bytes
678775,2024-08-09 5:00:00,0.0,Cloud Monitoring,europe-west1,19720.0,bytes
678776,2024-08-09 5:00:00,0.0,Cloud Monitoring,europe-west1,8120.0,bytes
678943,2024-08-09 6:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
679111,2024-08-09 7:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
679304,2024-08-09 8:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
679479,2024-08-09 9:00:00,0.0,Cloud Monitoring,europe-west1,27376.0,bytes
679660,2024-08-09 10:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
679661,2024-08-09 10:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
679824,2024-08-09 11:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
680028,2024-08-09 12:00:00,0.0,Cloud Monitoring,europe-west1,6728.0,bytes
680029,2024-08-09 12:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
680223,2024-08-09 13:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
680224,2024-08-09 13:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
680399,2024-08-09 14:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
680400,2024-08-09 14:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
680552,2024-08-09 15:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
680731,2024-08-09 16:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
680887,2024-08-09 17:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
680888,2024-08-09 17:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
681058,2024-08-09 18:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
681352,2024-08-09 19:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
681547,2024-08-09 20:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
681548,2024-08-09 20:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
681746,2024-08-09 21:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
681747,2024-08-09 21:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
681926,2024-08-09 22:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
682099,2024-08-09 23:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
682263,2024-08-10 0:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
682264,2024-08-10 0:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
682435,2024-08-10 1:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
682436,2024-08-10 1:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
682589,2024-08-10 2:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
682791,2024-08-10 3:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
682792,2024-08-10 3:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
682972,2024-08-10 4:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
682973,2024-08-10 4:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
683136,2024-08-10 5:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
683309,2024-08-10 6:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
683488,2024-08-10 7:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
683489,2024-08-10 7:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
683641,2024-08-10 8:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
683795,2024-08-10 9:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
683929,2024-08-10 10:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
684090,2024-08-10 11:00:00,0.0,Cloud Monitoring,europe-west1,14848.0,bytes
684091,2024-08-10 11:00:00,0.0,Cloud Monitoring,europe-west1,12992.0,bytes
684259,2024-08-10 12:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
684260,2024-08-10 12:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
684448,2024-08-10 13:00:00,0.0,Cloud Monitoring,europe-west1,8120.0,bytes
684449,2024-08-10 13:00:00,0.0,Cloud Monitoring,europe-west1,19720.0,bytes
684609,2024-08-10 14:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
684763,2024-08-10 15:00:00,0.0,Cloud Monitoring,europe-west1,5800.0,bytes
684764,2024-08-10 15:00:00,0.0,Cloud Monitoring,europe-west1,22040.0,bytes
684924,2024-08-10 16:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
685130,2024-08-10 17:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
685131,2024-08-10 17:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
685327,2024-08-10 18:00:00,0.0,Cloud Monitoring,europe-west1,14848.0,bytes
685328,2024-08-10 18:00:00,0.0,Cloud Monitoring,europe-west1,12992.0,bytes
685442,2024-08-10 19:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
685537,2024-08-10 19:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
685641,2024-08-10 20:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
685807,2024-08-10 21:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
685808,2024-08-10 21:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
685964,2024-08-10 22:00:00,0.0,Cloud Monitoring,europe-west1,15544.0,bytes
685965,2024-08-10 22:00:00,0.0,Cloud Monitoring,europe-west1,12296.0,bytes
686146,2024-08-10 23:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
686328,2024-08-11 0:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
686329,2024-08-11 0:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
686501,2024-08-11 1:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
686657,2024-08-11 2:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
686658,2024-08-11 2:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
686850,2024-08-11 3:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
687047,2024-08-11 4:00:00,0.0,Cloud Monitoring,europe-west1,5336.0,bytes
687048,2024-08-11 4:00:00,0.0,Cloud Monitoring,europe-west1,22504.0,bytes
687234,2024-08-11 5:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
687235,2024-08-11 5:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
687413,2024-08-11 6:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
687414,2024-08-11 6:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
687563,2024-08-11 7:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
687739,2024-08-11 8:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
687740,2024-08-11 8:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
687921,2024-08-11 9:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
687922,2024-08-11 9:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
688082,2024-08-11 10:00:00,0.0,Cloud Monitoring,europe-west1,8120.0,bytes
688083,2024-08-11 10:00:00,0.0,Cloud Monitoring,europe-west1,19720.0,bytes
688244,2024-08-11 11:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
688415,2024-08-11 12:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
688631,2024-08-11 13:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
688632,2024-08-11 13:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
688829,2024-08-11 14:00:00,0.0,Cloud Monitoring,europe-west1,22504.0,bytes
688830,2024-08-11 14:00:00,0.0,Cloud Monitoring,europe-west1,5336.0,bytes
689018,2024-08-11 15:00:00,0.0,Cloud Monitoring,europe-west1,19488.0,bytes
689019,2024-08-11 15:00:00,0.0,Cloud Monitoring,europe-west1,8352.0,bytes
689205,2024-08-11 16:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
689410,2024-08-11 17:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
689411,2024-08-11 17:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
689537,2024-08-11 18:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
689624,2024-08-11 18:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
689748,2024-08-11 19:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
689922,2024-08-11 20:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
690100,2024-08-11 21:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
690101,2024-08-11 21:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
690244,2024-08-11 22:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
690245,2024-08-11 22:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
690409,2024-08-11 23:00:00,0.0,Cloud Monitoring,europe-west1,27840.0,bytes
690602,2024-08-12 0:00:00,0.0,Cloud Monitoring,europe-west1,6960.0,bytes
690603,2024-08-12 0:00:00,0.0,Cloud Monitoring,europe-west1,20880.0,bytes
690791,2024-08-12 1:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
690792,2024-08-12 1:00:00,0.0,Cloud Monitoring,europe-west1,13920.0,bytes
