,usage_end_time,cost,service_type,region,usage_amount,usage_unit
313670,2024-04-03 7:00:00,0.0,Cloud Pub/Sub,africa-south1,8000.0,bytes
313808,2024-04-03 8:00:00,0.0,Cloud Pub/Sub,africa-south1,6000.0,bytes
313809,2024-04-03 8:00:00,0.0,Cloud Pub/Sub,africa-south1,6000.0,bytes
314462,2024-04-03 14:00:00,0.0,Cloud Pub/Sub,africa-south1,6000.0,bytes
314680,2024-04-03 16:00:00,0.0,Cloud Pub/Sub,africa-south1,3000.0,bytes
316483,2024-04-04 10:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
316484,2024-04-04 10:00:00,0.0,Cloud Pub/Sub,africa-south1,3000.0,bytes
316989,2024-04-04 14:00:00,0.0,Cloud Pub/Sub,europe-west1,1000.0,bytes
316990,2024-04-04 14:00:00,0.0,Cloud Pub/Sub,africa-south1,5000.0,bytes
317064,2024-04-04 14:00:00,0.0,Cloud Pub/Sub,africa-south1,49.0,bytes
317129,2024-04-04 15:00:00,0.0,Cloud Pub/Sub,europe-west1,3000.0,bytes
317130,2024-04-04 15:00:00,0.0,Cloud Pub/Sub,africa-south1,6000.0,bytes
317203,2024-04-04 15:00:00,0.0,Cloud Pub/Sub,africa-south1,532.0,bytes
318860,2024-04-05 8:00:00,0.0,Cloud Pub/Sub,europe-west1,1000.0,bytes
318967,2024-04-05 9:00:00,0.0,Cloud Pub/Sub,europe-west1,1000.0,bytes
326138,2024-04-08 8:00:00,0.0,Cloud Pub/Sub,europe-west1,1000.0,bytes
329164,2024-04-09 11:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
329165,2024-04-09 11:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
329276,2024-04-09 12:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
348111,2024-04-16 14:00:00,0.0,Cloud Pub/Sub,europe-west1,1000.0,bytes
350109,2024-04-17 9:00:00,0.0,Cloud Pub/Sub,europe-west1,1000.0,bytes
350349,2024-04-17 11:00:00,0.0,Cloud Pub/Sub,europe-west1,1000.0,bytes
350577,2024-04-17 13:00:00,0.0,Cloud Pub/Sub,europe-west1,1000.0,bytes
350918,2024-04-17 16:00:00,0.0,Cloud Pub/Sub,europe-west1,1000.0,bytes
352801,2024-04-18 9:00:00,0.0,Cloud Pub/Sub,africa-south1,3000.0,bytes
352900,2024-04-18 10:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
355660,2024-04-19 10:00:00,0.0,Cloud Pub/Sub,africa-south1,2000.0,bytes
355661,2024-04-19 10:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
355799,2024-04-19 11:00:00,0.0,Cloud Pub/Sub,africa-south1,9000.0,bytes
355940,2024-04-19 12:00:00,0.0,Cloud Pub/Sub,africa-south1,4000.0,bytes
355941,2024-04-19 12:00:00,0.0,Cloud Pub/Sub,africa-south1,2000.0,bytes
363362,2024-04-22 9:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
363363,2024-04-22 9:00:00,0.0,Cloud Pub/Sub,africa-south1,4000.0,bytes
363835,2024-04-22 13:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
368926,2024-04-24 8:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
369025,2024-04-24 9:00:00,0.0,Cloud Pub/Sub,us-central1,4000.0,bytes
369026,2024-04-24 9:00:00,0.0,Cloud Pub/Sub,africa-south1,4000.0,bytes
369147,2024-04-24 10:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
369148,2024-04-24 10:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
369180,2024-04-24 10:00:00,0.0,Cloud Pub/Sub,africa-south1,45.0,bytes
371181,2024-04-25 3:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
371182,2024-04-25 3:00:00,0.0,Cloud Pub/Sub,europe-west1,1000.0,bytes
371183,2024-04-25 3:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
371765,2024-04-25 8:00:00,0.0,Cloud Pub/Sub,africa-south1,3000.0,bytes
371766,2024-04-25 8:00:00,0.0,Cloud Pub/Sub,africa-south1,3000.0,bytes
371767,2024-04-25 8:00:00,0.0,Cloud Pub/Sub,africa-south1,3000.0,bytes
371805,2024-04-25 8:00:00,0.0,Cloud Pub/Sub,africa-south1,504.0,bytes
371891,2024-04-25 9:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
371892,2024-04-25 9:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
371893,2024-04-25 9:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
372015,2024-04-25 10:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
372016,2024-04-25 10:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
372017,2024-04-25 10:00:00,0.0,Cloud Pub/Sub,africa-south1,1000.0,bytes
372176,2024-04-25 11:00:00,0.0,Cloud Pub/Sub,africa-south1,2000.0,bytes
372177,2024-04-25 11:00:00,0.0,Cloud Pub/Sub,africa-south1,2000.0,bytes
372178,2024-04-25 11:00:00,0.0,Cloud Pub/Sub,africa-south1,2000.0,bytes
372212,2024-04-25 11:00:00,0.0,Cloud Pub/Sub,africa-south1,216.0,bytes
372213,2024-04-25 11:00:00,0.0,Cloud Pub/Sub,africa-south1,144.0,bytes
372345,2024-04-25 12:00:00,0.0,Cloud Pub/Sub,africa-south1,2000.0,bytes
372346,2024-04-25 12:00:00,0.0,Cloud Pub/Sub,africa-south1,2000.0,bytes
