,usage_end_time,cost,service_type,region,usage_amount,usage_unit
195201,2024-02-15 8:00:00,0.0,Cloud SQL,europe-west1,16611.0,bytes
195202,2024-02-15 8:00:00,0.0,Cloud SQL,europe-west1,114505.0,bytes
195322,2024-02-15 9:00:00,0.0,Cloud SQL,europe-west1,906451.0,bytes
195434,2024-02-15 10:00:00,0.0,Cloud SQL,europe-west1,910752.0,bytes
195472,2024-02-15 10:00:00,0.0,Cloud SQL,europe-west1,2268.0,bytes
195537,2024-02-15 11:00:00,0.0,Cloud SQL,europe-west1,910751.0,bytes
195575,2024-02-15 11:00:00,0.0,Cloud SQL,europe-west1,2391.0,bytes
195646,2024-02-15 12:00:00,0.0,Cloud SQL,europe-west1,67547.0,bytes
195647,2024-02-15 12:00:00,0.0,Cloud SQL,europe-west1,789537.0,bytes
195688,2024-02-15 12:00:00,0.0,Cloud SQL,europe-west1,3369.0,bytes
195692,2024-02-15 12:00:00,0.0,Cloud SQL,europe-west1,224.0,bytes
195694,2024-02-15 12:00:00,0.0,Cloud SQL,europe-west1,5309.0,bytes
195783,2024-02-15 13:00:00,0.0,Cloud SQL,europe-west1,860531.0,bytes
195874,2024-02-15 14:00:00,0.0,Cloud SQL,europe-west1,860530.0,bytes
195950,2024-02-15 15:00:00,0.0,Cloud SQL,europe-west1,860530.0,bytes
195970,2024-02-15 15:00:00,0.0,Cloud SQL,europe-west1,88.0,bytes
196040,2024-02-15 16:00:00,0.0,Cloud SQL,europe-west1,42309.0,bytes
196086,2024-02-15 16:00:00,0.0,Cloud SQL,europe-west1,610364.0,bytes
196105,2024-02-15 16:00:00,0.0,Cloud SQL,europe-west1,107.0,bytes
196195,2024-02-15 17:00:00,0.0,Cloud SQL,europe-west1,903128.0,bytes
196219,2024-02-15 17:00:00,2e-06,Cloud SQL,europe-west1,11588.0,bytes
196297,2024-02-15 18:00:00,0.0,Cloud SQL,europe-west1,903127.0,bytes
196303,2024-02-15 18:00:00,0.0,Cloud SQL,europe-west1,124.0,bytes
196314,2024-02-15 18:00:00,0.0,Cloud SQL,europe-west1,44.0,bytes
196317,2024-02-15 18:00:00,1e-06,Cloud SQL,europe-west1,7779.0,bytes
196378,2024-02-15 19:00:00,0.0,Cloud SQL,europe-west1,182487.0,bytes
196379,2024-02-15 19:00:00,0.0,Cloud SQL,europe-west1,485932.0,bytes
196477,2024-02-15 20:00:00,0.0,Cloud SQL,europe-west1,908645.0,bytes
196520,2024-02-15 20:00:00,0.0,Cloud SQL,europe-west1,1096.0,bytes
196601,2024-02-15 21:00:00,0.0,Cloud SQL,europe-west1,908644.0,bytes
196634,2024-02-15 21:00:00,0.0,Cloud SQL,europe-west1,1487.0,bytes
196697,2024-02-15 22:00:00,0.0,Cloud SQL,europe-west1,908644.0,bytes
196726,2024-02-15 22:00:00,0.0,Cloud SQL,europe-west1,1486.0,bytes
196804,2024-02-15 23:00:00,0.0,Cloud SQL,europe-west1,908644.0,bytes
196833,2024-02-15 23:00:00,0.0,Cloud SQL,europe-west1,44.0,bytes
196836,2024-02-15 23:00:00,0.0,Cloud SQL,europe-west1,877.0,bytes
196912,2024-02-16 0:00:00,0.0,Cloud SQL,europe-west1,107775.0,bytes
196913,2024-02-16 0:00:00,0.0,Cloud SQL,europe-west1,752400.0,bytes
197048,2024-02-16 1:00:00,0.0,Cloud SQL,europe-west1,893055.0,bytes
197150,2024-02-16 2:00:00,0.0,Cloud SQL,europe-west1,893055.0,bytes
197257,2024-02-16 3:00:00,0.0,Cloud SQL,europe-west1,893055.0,bytes
197364,2024-02-16 4:00:00,0.0,Cloud SQL,europe-west1,4217.0,bytes
197365,2024-02-16 4:00:00,0.0,Cloud SQL,europe-west1,773214.0,bytes
197404,2024-02-16 4:00:00,0.0,Cloud SQL,europe-west1,84.0,bytes
197408,2024-02-16 4:00:00,0.0,Cloud SQL,europe-west1,42.0,bytes
197489,2024-02-16 5:00:00,0.0,Cloud SQL,europe-west1,882832.0,bytes
197498,2024-02-16 5:00:00,0.0,Cloud SQL,europe-west1,124.0,bytes
197511,2024-02-16 5:00:00,0.0,Cloud SQL,europe-west1,3915.0,bytes
197562,2024-02-16 6:00:00,0.0,Cloud SQL,europe-west1,882832.0,bytes
197583,2024-02-16 6:00:00,3e-06,Cloud SQL,europe-west1,20815.0,bytes
197656,2024-02-16 7:00:00,0.0,Cloud SQL,europe-west1,882831.0,bytes
197664,2024-02-16 7:00:00,7e-06,Cloud SQL,europe-west1,163989.0,bytes
197759,2024-02-16 8:00:00,0.0,Cloud SQL,europe-west1,11525.0,bytes
197760,2024-02-16 8:00:00,0.0,Cloud SQL,europe-west1,572365.0,bytes
197790,2024-02-16 8:00:00,0.0,Cloud SQL,europe-west1,44.0,bytes
197793,2024-02-16 8:00:00,0.0,Cloud SQL,europe-west1,8047.0,bytes
197865,2024-02-16 9:00:00,0.0,Cloud SQL,europe-west1,930118.0,bytes
197875,2024-02-16 9:00:00,0.0,Cloud SQL,europe-west1,124.0,bytes
197887,2024-02-16 9:00:00,0.0,Cloud SQL,europe-west1,3802.0,bytes
197889,2024-02-16 9:00:00,6e-06,Cloud SQL,europe-west1,38740.0,bytes
197955,2024-02-16 10:00:00,0.0,Cloud SQL,europe-west1,934530.0,bytes
198043,2024-02-16 11:00:00,0.0,Cloud SQL,europe-west1,934530.0,bytes
198140,2024-02-16 12:00:00,0.0,Cloud SQL,europe-west1,183531.0,bytes
198141,2024-02-16 12:00:00,0.0,Cloud SQL,europe-west1,546217.0,bytes
198181,2024-02-16 12:00:00,1e-06,Cloud SQL,europe-west1,9979.0,bytes
198245,2024-02-16 13:00:00,0.0,Cloud SQL,europe-west1,892592.0,bytes
198267,2024-02-16 13:00:00,2e-06,Cloud SQL,europe-west1,14483.0,bytes
198343,2024-02-16 14:00:00,0.0,Cloud SQL,europe-west1,892591.0,bytes
198432,2024-02-16 15:00:00,0.0,Cloud SQL,europe-west1,892591.0,bytes
198456,2024-02-16 15:00:00,0.0,Cloud SQL,europe-west1,141.0,bytes
198458,2024-02-16 15:00:00,0.0,Cloud SQL,europe-west1,3951.0,bytes
198486,2024-02-16 16:00:00,0.0,Cloud SQL,europe-west1,431710.0,bytes
198558,2024-02-16 16:00:00,0.0,Cloud SQL,europe-west1,371169.0,bytes
198576,2024-02-16 16:00:00,0.0,Cloud SQL,europe-west1,115.0,bytes
198612,2024-02-16 17:00:00,0.0,Cloud SQL,europe-west1,917989.0,bytes
198734,2024-02-16 18:00:00,0.0,Cloud SQL,europe-west1,917989.0,bytes
198740,2024-02-16 18:00:00,0.0,Cloud SQL,europe-west1,124.0,bytes
198853,2024-02-16 19:00:00,0.0,Cloud SQL,europe-west1,917989.0,bytes
198965,2024-02-16 20:00:00,0.0,Cloud SQL,europe-west1,236381.0,bytes
198966,2024-02-16 20:00:00,0.0,Cloud SQL,europe-west1,386261.0,bytes
199076,2024-02-16 21:00:00,0.0,Cloud SQL,europe-west1,913027.0,bytes
199182,2024-02-16 22:00:00,0.0,Cloud SQL,europe-west1,913027.0,bytes
199272,2024-02-16 23:00:00,0.0,Cloud SQL,europe-west1,913026.0,bytes
199352,2024-02-17 0:00:00,0.0,Cloud SQL,europe-west1,202133.0,bytes
199353,2024-02-17 0:00:00,0.0,Cloud SQL,europe-west1,605498.0,bytes
199458,2024-02-17 1:00:00,0.0,Cloud SQL,europe-west1,870872.0,bytes
199476,2024-02-17 1:00:00,0.0,Cloud SQL,europe-west1,128.0,bytes
199558,2024-02-17 2:00:00,0.0,Cloud SQL,europe-west1,870872.0,bytes
199579,2024-02-17 2:00:00,0.0,Cloud SQL,europe-west1,1901.0,bytes
199582,2024-02-17 2:00:00,3e-06,Cloud SQL,europe-west1,19370.0,bytes
199655,2024-02-17 3:00:00,0.0,Cloud SQL,europe-west1,870871.0,bytes
199766,2024-02-17 4:00:00,0.0,Cloud SQL,europe-west1,144419.0,bytes
199767,2024-02-17 4:00:00,0.0,Cloud SQL,europe-west1,777038.0,bytes
199782,2024-02-17 4:00:00,0.0,Cloud SQL,europe-west1,124.0,bytes
199888,2024-02-17 5:00:00,0.0,Cloud SQL,europe-west1,898598.0,bytes
199913,2024-02-17 5:00:00,0.0,Cloud SQL,europe-west1,84.0,bytes
199993,2024-02-17 6:00:00,0.0,Cloud SQL,europe-west1,898598.0,bytes
200086,2024-02-17 7:00:00,0.0,Cloud SQL,europe-west1,898597.0,bytes
200167,2024-02-17 8:00:00,0.0,Cloud SQL,europe-west1,74134.0,bytes
200168,2024-02-17 8:00:00,0.0,Cloud SQL,europe-west1,501803.0,bytes
200264,2024-02-17 9:00:00,0.0,Cloud SQL,europe-west1,945848.0,bytes
200351,2024-02-17 10:00:00,0.0,Cloud SQL,europe-west1,947691.0,bytes
200440,2024-02-17 11:00:00,0.0,Cloud SQL,europe-west1,947691.0,bytes
200529,2024-02-17 12:00:00,0.0,Cloud SQL,europe-west1,186115.0,bytes
200530,2024-02-17 12:00:00,0.0,Cloud SQL,europe-west1,464933.0,bytes
200646,2024-02-17 13:00:00,0.0,Cloud SQL,europe-west1,898420.0,bytes
