,usage_end_time,cost,service_type,region,usage_amount,usage_unit
194974,2024-02-15 6:00:00,0.030539,Cloud SQL,europe-west1,2662.0,seconds
195066,2024-02-15 7:00:00,0.030539,Cloud SQL,europe-west1,2662.0,seconds
195161,2024-02-15 8:00:00,0.030527,Cloud SQL,europe-west1,2661.0,seconds
195284,2024-02-15 9:00:00,0.030527,Cloud SQL,europe-west1,2661.0,seconds
195387,2024-02-15 10:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
195507,2024-02-15 11:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
195617,2024-02-15 12:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
195713,2024-02-15 12:00:00,0.0,Cloud SQL,europe-west1,0.0,seconds
195738,2024-02-15 13:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
195841,2024-02-15 14:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
195926,2024-02-15 15:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
196006,2024-02-15 16:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
196077,2024-02-15 16:00:00,0.0,Cloud SQL,europe-west1,0.0,seconds
196126,2024-02-15 17:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
196274,2024-02-15 18:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
196351,2024-02-15 19:00:00,0.0,Cloud SQL,europe-west1,0.0,seconds
196352,2024-02-15 19:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
196430,2024-02-15 20:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
196557,2024-02-15 21:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
196667,2024-02-15 22:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
196759,2024-02-15 23:00:00,0.0,Cloud SQL,europe-west1,0.0,seconds
196760,2024-02-15 23:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
196863,2024-02-16 0:00:00,0.0,Cloud SQL,europe-west1,0.0,seconds
196864,2024-02-16 0:00:00,0.0,Cloud SQL,europe-west1,0.0,seconds
196865,2024-02-16 0:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
197005,2024-02-16 1:00:00,0.0,Cloud SQL,europe-west1,0.0,seconds
197006,2024-02-16 1:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
197114,2024-02-16 2:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
197229,2024-02-16 3:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
197309,2024-02-16 4:00:00,0.0,Cloud SQL,europe-west1,0.0,seconds
197322,2024-02-16 4:00:00,0.0,Cloud SQL,europe-west1,0.0,seconds
197323,2024-02-16 4:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
197449,2024-02-16 5:00:00,0.0,Cloud SQL,europe-west1,0.0,seconds
197450,2024-02-16 5:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
197540,2024-02-16 6:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
197617,2024-02-16 7:00:00,0.0,Cloud SQL,europe-west1,0.0,seconds
197618,2024-02-16 7:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
197720,2024-02-16 8:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
197811,2024-02-16 8:00:00,0.0,Cloud SQL,europe-west1,0.0,seconds
197829,2024-02-16 9:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
197920,2024-02-16 10:00:00,0.0826,Cloud SQL,europe-west1,7200.0,seconds
