,usage_end_time,cost,service_type,region,usage_amount,usage_unit
17004,2023-12-14 8:00:00,0.0,Cloud Storage,,7149120512.0,byte-seconds
19813,2023-12-15 8:00:00,0.0,Cloud Storage,,6381545472.0,byte-seconds
22317,2023-12-16 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
25026,2023-12-17 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
27765,2023-12-18 8:00:00,0.0,Cloud Storage,,312383488.0,byte-seconds
30544,2023-12-19 8:00:00,0.0,Cloud Storage,,6893588480.0,byte-seconds
33355,2023-12-20 8:00:00,0.0,Cloud Storage,,6366437376.0,byte-seconds
36133,2023-12-21 8:00:00,0.0,Cloud Storage,,2731340800.0,byte-seconds
38820,2023-12-22 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
41613,2023-12-23 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
44347,2023-12-24 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
47209,2023-12-25 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
50036,2023-12-26 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
52600,2023-12-27 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
55294,2023-12-28 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
57966,2023-12-29 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
60850,2023-12-30 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
63336,2023-12-31 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
66230,2024-01-01 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
68850,2024-01-02 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
71218,2024-01-03 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
71261,2024-01-03 8:00:00,0.0,Cloud Storage,europe-west1,9709568.0,byte-seconds
73700,2024-01-04 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
73799,2024-01-04 8:00:00,0.0,Cloud Storage,europe-west1,333071360.0,byte-seconds
76553,2024-01-05 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
76636,2024-01-05 8:00:00,0.0,Cloud Storage,europe-west1,333071360.0,byte-seconds
79295,2024-01-06 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
79429,2024-01-06 8:00:00,0.0,Cloud Storage,europe-west1,333071360.0,byte-seconds
82031,2024-01-07 8:00:00,0.0,Cloud Storage,,7819458560.0,byte-seconds
82120,2024-01-07 8:00:00,0.0,Cloud Storage,europe-west1,333071360.0,byte-seconds
