,usage_end_time,cost,service_type,region,usage_amount,usage_unit
14289,2023-12-13 6:00:00,0.0,Cloud Storage,,32.0,bytes
14290,2023-12-13 6:00:00,0.0,Cloud Storage,europe-west1,32.0,bytes
15007,2023-12-13 12:00:00,0.0,Cloud Storage,europe-west1,1731.0,bytes
15008,2023-12-13 12:00:00,0.0,Cloud Storage,,2841961.0,bytes
15010,2023-12-13 12:00:00,0.0,Cloud Storage,,1783169.0,bytes
15011,2023-12-13 12:00:00,0.0,Cloud Storage,europe-west1,673.0,bytes
15015,2023-12-13 12:00:00,3.3e-05,Cloud Storage,,1783169.0,bytes
15515,2023-12-13 18:00:00,0.0,Cloud Storage,,8302.0,bytes
17381,2023-12-14 12:00:00,0.0,Cloud Storage,,379916.0,bytes
17425,2023-12-14 12:00:00,5e-06,Cloud Storage,,272143.0,bytes
17432,2023-12-14 12:00:00,0.0,Cloud Storage,,272143.0,bytes
25467,2023-12-17 12:00:00,0.0,Cloud Storage,,2771384.0,bytes
25474,2023-12-17 12:00:00,0.0,Cloud Storage,,1742242.0,bytes
25481,2023-12-17 12:00:00,3.2e-05,Cloud Storage,,1742242.0,bytes
26186,2023-12-17 18:00:00,0.0,Cloud Storage,,3108806.0,bytes
26220,2023-12-17 18:00:00,0.0,Cloud Storage,,1387152.0,bytes
26242,2023-12-17 18:00:00,2.5e-05,Cloud Storage,,1387152.0,bytes
27575,2023-12-18 6:00:00,0.0,Cloud Storage,,852610.0,bytes
27615,2023-12-18 6:00:00,0.0,Cloud Storage,,544286.0,bytes
27635,2023-12-18 6:00:00,1e-05,Cloud Storage,,544286.0,bytes
28209,2023-12-18 12:00:00,0.0,Cloud Storage,,756472.0,bytes
28216,2023-12-18 12:00:00,6e-06,Cloud Storage,,346788.0,bytes
28229,2023-12-18 12:00:00,0.0,Cloud Storage,,346788.0,bytes
28946,2023-12-18 18:00:00,0.0,Cloud Storage,,991.0,bytes
30994,2023-12-19 12:00:00,0.0,Cloud Storage,,2986140.0,bytes
31005,2023-12-19 12:00:00,2.5e-05,Cloud Storage,,1387152.0,bytes
31007,2023-12-19 12:00:00,0.0,Cloud Storage,,1387152.0,bytes
35228,2023-12-21 0:00:00,0.0,Cloud Storage,,374120.0,bytes
35289,2023-12-21 0:00:00,3e-06,Cloud Storage,,181696.0,bytes
35386,2023-12-21 0:00:00,0.0,Cloud Storage,,181696.0,bytes
71041,2024-01-03 6:00:00,0.0,Cloud Storage,europe-west1,928.0,bytes
71057,2024-01-03 6:00:00,0.0,Cloud Storage,europe-west1,3855.0,bytes
71561,2024-01-03 12:00:00,0.0,Cloud Storage,europe-west1,32.0,bytes
83119,2024-01-07 18:00:00,0.0,Cloud Storage,,5288984.0,bytes
83148,2024-01-07 18:00:00,5.7e-05,Cloud Storage,,3099090.0,bytes
83190,2024-01-07 18:00:00,0.0,Cloud Storage,,3099090.0,bytes
87347,2024-01-09 6:00:00,0.0,Cloud Storage,,280378.0,bytes
87382,2024-01-09 6:00:00,3e-06,Cloud Storage,,181696.0,bytes
87431,2024-01-09 6:00:00,0.0,Cloud Storage,,181696.0,bytes
90212,2024-01-10 6:00:00,0.0,Cloud Storage,,365053.0,bytes
90217,2024-01-10 6:00:00,3e-06,Cloud Storage,,181696.0,bytes
90218,2024-01-10 6:00:00,0.0,Cloud Storage,,181696.0,bytes
90861,2024-01-10 12:00:00,0.0,Cloud Storage,,277105.0,bytes
90870,2024-01-10 12:00:00,1e-06,Cloud Storage,,90447.0,bytes
90871,2024-01-10 12:00:00,0.0,Cloud Storage,,90447.0,bytes
108801,2024-01-16 12:00:00,0.0,Cloud Storage,,280378.0,bytes
108802,2024-01-16 12:00:00,0.0,Cloud Storage,,181696.0,bytes
108808,2024-01-16 12:00:00,3e-06,Cloud Storage,,181696.0,bytes
108809,2024-01-16 12:00:00,0.0,Cloud Storage,,5276.0,bytes
109584,2024-01-16 18:00:00,0.0,Cloud Storage,,3249.0,bytes
111723,2024-01-17 12:00:00,0.0,Cloud Storage,,1391617.0,bytes
111725,2024-01-17 12:00:00,0.0,Cloud Storage,,42310.0,bytes
111729,2024-01-17 12:00:00,1.9e-05,Cloud Storage,,1048912.0,bytes
111730,2024-01-17 12:00:00,0.0,Cloud Storage,,1048752.0,bytes
114811,2024-01-18 12:00:00,0.0,Cloud Storage,,192.0,bytes
114812,2024-01-18 12:00:00,0.0,Cloud Storage,,67366.0,bytes
118087,2024-01-19 12:00:00,0.0,Cloud Storage,,22148.0,bytes
118090,2024-01-19 12:00:00,0.0,Cloud Storage,,64.0,bytes
118854,2024-01-19 18:00:00,0.0,Cloud Storage,,22309.0,bytes
118866,2024-01-19 18:00:00,0.0,Cloud Storage,,32.0,bytes
126646,2024-01-22 6:00:00,0.0,Cloud Storage,,4317.0,bytes
127380,2024-01-22 12:00:00,0.0,Cloud Storage,,96.0,bytes
127381,2024-01-22 12:00:00,0.0,Cloud Storage,,45562.0,bytes
137029,2024-01-25 12:00:00,0.0,Cloud Storage,,4317.0,bytes
145930,2024-01-28 12:00:00,0.0,Cloud Storage,,15248.0,bytes
145936,2024-01-28 12:00:00,0.0,Cloud Storage,,64.0,bytes
148161,2024-01-29 6:00:00,0.0,Cloud Storage,,8739.0,bytes
148166,2024-01-29 6:00:00,0.0,Cloud Storage,,32.0,bytes
148928,2024-01-29 12:00:00,0.0,Cloud Storage,,280346.0,bytes
148930,2024-01-29 12:00:00,0.0,Cloud Storage,,2671.0,bytes
148937,2024-01-29 12:00:00,3e-06,Cloud Storage,,181696.0,bytes
148974,2024-01-29 12:00:00,0.0,Cloud Storage,,181696.0,bytes
149747,2024-01-29 18:00:00,0.0,Cloud Storage,,19314.0,bytes
152096,2024-01-30 12:00:00,0.0,Cloud Storage,,4107.0,bytes
152124,2024-01-30 12:00:00,0.0,Cloud Storage,,96.0,bytes
152126,2024-01-30 12:00:00,0.0,Cloud Storage,,27272.0,bytes
154263,2024-01-31 6:00:00,0.0,Cloud Storage,,7625.0,bytes
154272,2024-01-31 6:00:00,0.0,Cloud Storage,,32.0,bytes
157230,2024-02-01 6:00:00,0.0,Cloud Storage,,8630.0,bytes
157979,2024-02-01 12:00:00,0.0,Cloud Storage,,280346.0,bytes
157995,2024-02-01 12:00:00,0.0,Cloud Storage,,181696.0,bytes
158002,2024-02-01 12:00:00,3e-06,Cloud Storage,,181728.0,bytes
158003,2024-02-01 12:00:00,0.0,Cloud Storage,,27011.0,bytes
160096,2024-02-02 6:00:00,0.0,Cloud Storage,,4317.0,bytes
160803,2024-02-02 12:00:00,0.0,Cloud Storage,,554174.0,bytes
160804,2024-02-02 12:00:00,0.0,Cloud Storage,,24579.0,bytes
160809,2024-02-02 12:00:00,1e-06,Cloud Storage,,82274.0,bytes
160810,2024-02-02 12:00:00,0.0,Cloud Storage,,82242.0,bytes
161616,2024-02-02 18:00:00,0.0,Cloud Storage,,85498.0,bytes
161625,2024-02-02 18:00:00,0.0,Cloud Storage,,7900.0,bytes
161672,2024-02-02 18:00:00,0.0,Cloud Storage,,32.0,bytes
163086,2024-02-03 6:00:00,0.0,Cloud Storage,,4317.0,bytes
166084,2024-02-04 6:00:00,0.0,Cloud Storage,,4313.0,bytes
169319,2024-02-05 6:00:00,0.0,Cloud Storage,,42749.0,bytes
169322,2024-02-05 6:00:00,0.0,Cloud Storage,,4317.0,bytes
169943,2024-02-05 12:00:00,0.0,Cloud Storage,,85498.0,bytes
169944,2024-02-05 12:00:00,0.0,Cloud Storage,,15155.0,bytes
169948,2024-02-05 12:00:00,0.0,Cloud Storage,,64.0,bytes
170056,2024-02-05 12:00:00,0.0,Cloud Storage,,-85498.0,bytes
170058,2024-02-05 12:00:00,0.0,Cloud Storage,,-15155.0,bytes
170063,2024-02-05 12:00:00,-1e-06,Cloud Storage,,-64.0,bytes
170070,2024-02-05 12:00:00,0.0,Cloud Storage,,85498.0,bytes
170071,2024-02-05 12:00:00,0.0,Cloud Storage,,-85498.0,bytes
170073,2024-02-05 12:00:00,0.0,Cloud Storage,,15155.0,bytes
170074,2024-02-05 12:00:00,0.0,Cloud Storage,,-15155.0,bytes
