,usage_end_time,cost,service_type,region,usage_amount,usage_unit
12375,2023-12-12 12:00:00,0.0,Cloud Storage,europe-west1,1.0,requests
12376,2023-12-12 12:00:00,0.0,Cloud Storage,europe-west1,3.0,requests
12971,2023-12-12 18:00:00,0.0,Cloud Storage,europe-west1,2.0,requests
12972,2023-12-12 18:00:00,0.0,Cloud Storage,europe-west1,6.0,requests
14318,2023-12-13 6:00:00,1e-05,Cloud Storage,,1.0,requests
14368,2023-12-13 6:00:00,0.0,Cloud Storage,europe-west1,1.0,requests
15009,2023-12-13 12:00:00,0.0,Cloud Storage,europe-west1,5.0,requests
15012,2023-12-13 12:00:00,8.4e-05,Cloud Storage,,210.0,requests
15014,2023-12-13 12:00:00,0.00063,Cloud Storage,,63.0,requests
15546,2023-12-13 18:00:00,0.0,Cloud Storage,,1.0,requests
15548,2023-12-13 18:00:00,2e-05,Cloud Storage,,2.0,requests
16863,2023-12-14 6:00:00,0.0,Cloud Storage,europe-west1,2.0,requests
17390,2023-12-14 12:00:00,0.0001,Cloud Storage,,10.0,requests
17391,2023-12-14 12:00:00,9e-06,Cloud Storage,,24.0,requests
17430,2023-12-14 12:00:00,0.0,Cloud Storage,europe-west1,149.0,requests
17431,2023-12-14 12:00:00,0.0,Cloud Storage,europe-west1,3.0,requests
18168,2023-12-14 18:00:00,0.0,Cloud Storage,europe-west1,176.0,requests
18880,2023-12-15 0:00:00,0.0,Cloud Storage,europe-west1,176.0,requests
19558,2023-12-15 6:00:00,0.0,Cloud Storage,europe-west1,185.0,requests
20233,2023-12-15 12:00:00,0.0,Cloud Storage,europe-west1,173.0,requests
20868,2023-12-15 18:00:00,0.0,Cloud Storage,europe-west1,173.0,requests
21564,2023-12-16 0:00:00,0.0,Cloud Storage,europe-west1,179.0,requests
22230,2023-12-16 6:00:00,0.0,Cloud Storage,europe-west1,185.0,requests
22713,2023-12-16 12:00:00,0.0,Cloud Storage,europe-west1,169.0,requests
23420,2023-12-16 18:00:00,0.0,Cloud Storage,europe-west1,178.0,requests
24107,2023-12-17 0:00:00,0.0,Cloud Storage,europe-west1,175.0,requests
24821,2023-12-17 6:00:00,0.0,Cloud Storage,europe-west1,184.0,requests
25468,2023-12-17 12:00:00,0.0,Cloud Storage,europe-west1,169.0,requests
25475,2023-12-17 12:00:00,7.8e-05,Cloud Storage,,195.0,requests
25477,2023-12-17 12:00:00,0.00051,Cloud Storage,,51.0,requests
26192,2023-12-17 18:00:00,0.0,Cloud Storage,europe-west1,177.0,requests
26221,2023-12-17 18:00:00,0.000104,Cloud Storage,,260.0,requests
26223,2023-12-17 18:00:00,0.0004,Cloud Storage,,40.0,requests
26868,2023-12-18 0:00:00,0.0,Cloud Storage,europe-west1,176.0,requests
27582,2023-12-18 6:00:00,0.0,Cloud Storage,europe-west1,184.0,requests
27616,2023-12-18 6:00:00,2.5e-05,Cloud Storage,,63.0,requests
27618,2023-12-18 6:00:00,0.00018,Cloud Storage,,18.0,requests
28214,2023-12-18 12:00:00,0.00014,Cloud Storage,,14.0,requests
28215,2023-12-18 12:00:00,2.4e-05,Cloud Storage,,61.0,requests
28228,2023-12-18 12:00:00,0.0,Cloud Storage,europe-west1,171.0,requests
28977,2023-12-18 18:00:00,0.0,Cloud Storage,,1.0,requests
29031,2023-12-18 18:00:00,0.0,Cloud Storage,europe-west1,176.0,requests
29756,2023-12-19 0:00:00,0.0,Cloud Storage,europe-west1,173.0,requests
30424,2023-12-19 6:00:00,0.0,Cloud Storage,europe-west1,186.0,requests
31003,2023-12-19 12:00:00,0.00042,Cloud Storage,,42.0,requests
31004,2023-12-19 12:00:00,9.2e-05,Cloud Storage,,232.0,requests
31006,2023-12-19 12:00:00,0.0,Cloud Storage,europe-west1,172.0,requests
31816,2023-12-19 18:00:00,0.0,Cloud Storage,europe-west1,178.0,requests
32557,2023-12-20 0:00:00,0.0,Cloud Storage,europe-west1,174.0,requests
33131,2023-12-20 6:00:00,0.0,Cloud Storage,europe-west1,182.0,requests
