,usage_end_time,cost,service_type,region,usage_amount,usage_unit
656084,2024-08-01 8:00:00,-1e-06,Dataplex,europe-west1,-2638800.0,byte-seconds
656085,2024-08-01 8:00:00,-1e-06,Dataplex,us-central1,-89208000.0,byte-seconds
656109,2024-08-01 8:00:00,0.0,Dataplex,europe-west1,3222000.0,byte-seconds
656119,2024-08-01 8:00:00,0.0,Dataplex,us-central1,89208000.0,byte-seconds
656189,2024-08-01 9:00:00,-1e-06,Dataplex,europe-west1,-2638800.0,byte-seconds
656190,2024-08-01 9:00:00,-1e-06,Dataplex,us-central1,-89208000.0,byte-seconds
656210,2024-08-01 9:00:00,0.0,Dataplex,europe-west1,3222000.0,byte-seconds
656219,2024-08-01 9:00:00,0.0,Dataplex,us-central1,89208000.0,byte-seconds
656280,2024-08-01 10:00:00,-1e-06,Dataplex,europe-west1,-2638800.0,byte-seconds
656281,2024-08-01 10:00:00,-1e-06,Dataplex,us-central1,-89208000.0,byte-seconds
656298,2024-08-01 10:00:00,0.0,Dataplex,europe-west1,53700.0,byte-seconds
656299,2024-08-01 10:00:00,0.0,Dataplex,europe-west1,3168300.0,byte-seconds
656307,2024-08-01 10:00:00,0.0,Dataplex,us-central1,87721200.0,byte-seconds
656308,2024-08-01 10:00:00,0.0,Dataplex,us-central1,1486800.0,byte-seconds
656373,2024-08-01 11:00:00,-1e-06,Dataplex,europe-west1,-2638800.0,byte-seconds
656374,2024-08-01 11:00:00,-1e-06,Dataplex,us-central1,-89208000.0,byte-seconds
656397,2024-08-01 11:00:00,0.0,Dataplex,europe-west1,3222000.0,byte-seconds
656404,2024-08-01 11:00:00,0.0,Dataplex,us-central1,89208000.0,byte-seconds
656476,2024-08-01 12:00:00,-1e-06,Dataplex,europe-west1,-2638800.0,byte-seconds
656477,2024-08-01 12:00:00,-1e-06,Dataplex,us-central1,-89208000.0,byte-seconds
656506,2024-08-01 12:00:00,0.0,Dataplex,europe-west1,3222000.0,byte-seconds
656514,2024-08-01 12:00:00,0.0,Dataplex,us-central1,89208000.0,byte-seconds
656586,2024-08-01 13:00:00,-1e-06,Dataplex,europe-west1,-2638800.0,byte-seconds
656587,2024-08-01 13:00:00,-1e-06,Dataplex,us-central1,-89208000.0,byte-seconds
