,usage_end_time,cost,service_type,region,usage_amount,usage_unit
434138,2024-05-17 11:00:00,0.0,Deep Learning VM,europe-west1,364.0,seconds
434148,2024-05-17 11:00:00,0.0,Deep Learning VM,europe-west1,364.0,seconds
434197,2024-05-17 11:00:00,0.0,Deep Learning VM,europe-west1,364.0,seconds
434202,2024-05-17 11:00:00,0.0,Deep Learning VM,europe-west1,364.0,seconds
434281,2024-05-17 12:00:00,0.0,Deep Learning VM,europe-west1,1434.0,seconds
434282,2024-05-17 12:00:00,0.0,Deep Learning VM,europe-west1,2165.0,seconds
434295,2024-05-17 12:00:00,0.0,Deep Learning VM,europe-west1,1434.0,seconds
434296,2024-05-17 12:00:00,0.0,Deep Learning VM,europe-west1,2165.0,seconds
434356,2024-05-17 12:00:00,0.0,Deep Learning VM,europe-west1,2165.0,seconds
434357,2024-05-17 12:00:00,0.0,Deep Learning VM,europe-west1,1434.0,seconds
434364,2024-05-17 12:00:00,0.0,Deep Learning VM,europe-west1,1434.0,seconds
434365,2024-05-17 12:00:00,0.0,Deep Learning VM,europe-west1,2165.0,seconds
434455,2024-05-17 13:00:00,0.0,Deep Learning VM,europe-west1,2102.0,seconds
434456,2024-05-17 13:00:00,0.0,Deep Learning VM,europe-west1,1498.0,seconds
434468,2024-05-17 13:00:00,0.0,Deep Learning VM,europe-west1,3600.0,seconds
434526,2024-05-17 13:00:00,0.0,Deep Learning VM,europe-west1,3600.0,seconds
434532,2024-05-17 13:00:00,0.0,Deep Learning VM,europe-west1,1498.0,seconds
434533,2024-05-17 13:00:00,0.0,Deep Learning VM,europe-west1,2102.0,seconds
434612,2024-05-17 14:00:00,0.0,Deep Learning VM,europe-west1,1621.0,seconds
434613,2024-05-17 14:00:00,0.0,Deep Learning VM,europe-west1,1707.0,seconds
434623,2024-05-17 14:00:00,0.0,Deep Learning VM,europe-west1,1707.0,seconds
434624,2024-05-17 14:00:00,0.0,Deep Learning VM,europe-west1,1621.0,seconds
434665,2024-05-17 14:00:00,0.0,Deep Learning VM,europe-west1,3328.0,seconds
434670,2024-05-17 14:00:00,0.0,Deep Learning VM,europe-west1,1621.0,seconds
434671,2024-05-17 14:00:00,0.0,Deep Learning VM,europe-west1,1707.0,seconds
