,usage_end_time,cost,service_type,region,usage_amount,usage_unit
66,2023-12-07 9:00:00,0.025194,Kubernetes Engine,europe-west1,907.0,seconds
162,2023-12-07 10:00:00,0.1,Kubernetes Engine,europe-west1,3600.0,seconds
247,2023-12-07 11:00:00,0.099971,Kubernetes Engine,europe-west1,3599.0,seconds
344,2023-12-07 12:00:00,0.045916,Kubernetes Engine,europe-west1,1653.0,seconds
345,2023-12-07 12:00:00,0.054083,Kubernetes Engine,europe-west1,1947.0,seconds
428,2023-12-07 13:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
514,2023-12-07 14:00:00,0.059694,Kubernetes Engine,europe-west1,2149.0,seconds
515,2023-12-07 14:00:00,0.040305,Kubernetes Engine,europe-west1,1451.0,seconds
618,2023-12-07 15:00:00,0.006722,Kubernetes Engine,europe-west1,242.0,seconds
619,2023-12-07 15:00:00,0.093277,Kubernetes Engine,europe-west1,3358.0,seconds
744,2023-12-07 16:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
826,2023-12-07 17:00:00,0.070722,Kubernetes Engine,europe-west1,2546.0,seconds
841,2023-12-07 17:00:00,0.029277,Kubernetes Engine,europe-west1,1054.0,seconds
913,2023-12-07 18:00:00,0.042027,Kubernetes Engine,europe-west1,1513.0,seconds
914,2023-12-07 18:00:00,0.057972,Kubernetes Engine,europe-west1,2087.0,seconds
1010,2023-12-07 19:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
1115,2023-12-07 20:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
1192,2023-12-07 21:00:00,0.040416,Kubernetes Engine,europe-west1,1455.0,seconds
1193,2023-12-07 21:00:00,0.059583,Kubernetes Engine,europe-west1,2145.0,seconds
1283,2023-12-07 22:00:00,0.038194,Kubernetes Engine,europe-west1,1375.0,seconds
1284,2023-12-07 22:00:00,0.061805,Kubernetes Engine,europe-west1,2225.0,seconds
1401,2023-12-07 23:00:00,0.1,Kubernetes Engine,europe-west1,3600.0,seconds
1513,2023-12-08 0:00:00,0.038527,Kubernetes Engine,europe-west1,1387.0,seconds
1514,2023-12-08 0:00:00,0.061472,Kubernetes Engine,europe-west1,2213.0,seconds
1592,2023-12-08 1:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
1671,2023-12-08 2:00:00,0.061444,Kubernetes Engine,europe-west1,2212.0,seconds
1672,2023-12-08 2:00:00,0.038555,Kubernetes Engine,europe-west1,1388.0,seconds
1781,2023-12-08 3:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
1887,2023-12-08 4:00:00,0.034083,Kubernetes Engine,europe-west1,1227.0,seconds
1888,2023-12-08 4:00:00,0.065916,Kubernetes Engine,europe-west1,2373.0,seconds
1994,2023-12-08 5:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
2078,2023-12-08 6:00:00,0.067888,Kubernetes Engine,europe-west1,2444.0,seconds
2079,2023-12-08 6:00:00,0.032111,Kubernetes Engine,europe-west1,1156.0,seconds
2182,2023-12-08 7:00:00,0.078222,Kubernetes Engine,europe-west1,2816.0,seconds
2183,2023-12-08 7:00:00,0.021777,Kubernetes Engine,europe-west1,784.0,seconds
2286,2023-12-08 8:00:00,0.018361,Kubernetes Engine,europe-west1,661.0,seconds
2287,2023-12-08 8:00:00,0.081638,Kubernetes Engine,europe-west1,2939.0,seconds
2363,2023-12-08 9:00:00,0.1,Kubernetes Engine,europe-west1,3600.0,seconds
2457,2023-12-08 10:00:00,0.1,Kubernetes Engine,europe-west1,3600.0,seconds
2542,2023-12-08 11:00:00,0.001777,Kubernetes Engine,europe-west1,64.0,seconds
2543,2023-12-08 11:00:00,0.098222,Kubernetes Engine,europe-west1,3536.0,seconds
2653,2023-12-08 12:00:00,0.004416,Kubernetes Engine,europe-west1,159.0,seconds
2654,2023-12-08 12:00:00,0.095582,Kubernetes Engine,europe-west1,3441.0,seconds
2753,2023-12-08 13:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
2831,2023-12-08 14:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
2911,2023-12-08 15:00:00,0.073944,Kubernetes Engine,europe-west1,2662.0,seconds
2912,2023-12-08 15:00:00,0.026055,Kubernetes Engine,europe-west1,938.0,seconds
3006,2023-12-08 16:00:00,0.038888,Kubernetes Engine,europe-west1,1400.0,seconds
3038,2023-12-08 16:00:00,0.061111,Kubernetes Engine,europe-west1,2200.0,seconds
3133,2023-12-08 17:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
3242,2023-12-08 18:00:00,0.079749,Kubernetes Engine,europe-west1,2871.0,seconds
3243,2023-12-08 18:00:00,0.02025,Kubernetes Engine,europe-west1,729.0,seconds
3320,2023-12-08 19:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
3432,2023-12-08 20:00:00,0.023472,Kubernetes Engine,europe-west1,845.0,seconds
3433,2023-12-08 20:00:00,0.076527,Kubernetes Engine,europe-west1,2755.0,seconds
3543,2023-12-08 21:00:00,0.1,Kubernetes Engine,europe-west1,3600.0,seconds
3640,2023-12-08 22:00:00,0.043527,Kubernetes Engine,europe-west1,1567.0,seconds
3641,2023-12-08 22:00:00,0.056472,Kubernetes Engine,europe-west1,2033.0,seconds
3734,2023-12-08 23:00:00,0.026194,Kubernetes Engine,europe-west1,943.0,seconds
3735,2023-12-08 23:00:00,0.073805,Kubernetes Engine,europe-west1,2657.0,seconds
3854,2023-12-09 0:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
3938,2023-12-09 1:00:00,0.061222,Kubernetes Engine,europe-west1,2204.0,seconds
3939,2023-12-09 1:00:00,0.038777,Kubernetes Engine,europe-west1,1396.0,seconds
4039,2023-12-09 2:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
4142,2023-12-09 3:00:00,0.080805,Kubernetes Engine,europe-west1,2909.0,seconds
4143,2023-12-09 3:00:00,0.019194,Kubernetes Engine,europe-west1,691.0,seconds
4279,2023-12-09 4:00:00,0.090222,Kubernetes Engine,europe-west1,3248.0,seconds
4280,2023-12-09 4:00:00,0.002694,Kubernetes Engine,europe-west1,97.0,seconds
4281,2023-12-09 4:00:00,0.007083,Kubernetes Engine,europe-west1,255.0,seconds
4365,2023-12-09 5:00:00,0.076527,Kubernetes Engine,europe-west1,2755.0,seconds
4366,2023-12-09 5:00:00,0.023472,Kubernetes Engine,europe-west1,845.0,seconds
4448,2023-12-09 6:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
4542,2023-12-09 7:00:00,0.038027,Kubernetes Engine,europe-west1,1369.0,seconds
4543,2023-12-09 7:00:00,0.061972,Kubernetes Engine,europe-west1,2231.0,seconds
4652,2023-12-09 8:00:00,0.092999,Kubernetes Engine,europe-west1,3348.0,seconds
4653,2023-12-09 8:00:00,0.007,Kubernetes Engine,europe-west1,252.0,seconds
4726,2023-12-09 9:00:00,0.1,Kubernetes Engine,europe-west1,3600.0,seconds
4807,2023-12-09 10:00:00,0.1,Kubernetes Engine,europe-west1,3600.0,seconds
4891,2023-12-09 11:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
4991,2023-12-09 12:00:00,0.099999,Kubernetes Engine,europe-west1,3600.0,seconds
