,usage_end_time,cost,service_type,region,usage_amount,usage_unit
62,2023-12-07 9:00:00,0.0,Networking,europe-west1,18558908.0,bytes
63,2023-12-07 9:00:00,0.0,Networking,europe-west1,5718832.0,bytes
151,2023-12-07 10:00:00,0.0,Networking,europe-west1,4255953.0,bytes
152,2023-12-07 10:00:00,0.0,Networking,europe-west1,12583578.0,bytes
153,2023-12-07 10:00:00,0.0,Networking,europe-west1,7204188.0,bytes
154,2023-12-07 10:00:00,0.0,Networking,europe-west1,27256534.0,bytes
157,2023-12-07 10:00:00,0.0,Networking,europe-west1,7136.0,bytes
158,2023-12-07 10:00:00,0.0,Networking,europe-west1,9024.0,bytes
159,2023-12-07 10:00:00,6e-06,Networking,europe-west1,810940.0,bytes
160,2023-12-07 10:00:00,3e-06,Networking,europe-west1,458568.0,bytes
235,2023-12-07 11:00:00,0.0,Networking,europe-west1,3637454.0,bytes
236,2023-12-07 11:00:00,0.0,Networking,europe-west1,32289573.0,bytes
237,2023-12-07 11:00:00,0.0,Networking,europe-west1,15322265.0,bytes
238,2023-12-07 11:00:00,0.0,Networking,europe-west1,1860743.0,bytes
239,2023-12-07 11:00:00,0.0,Networking,europe-west1,0.0,bytes
243,2023-12-07 11:00:00,0.0,Networking,europe-west1,37995.0,bytes
244,2023-12-07 11:00:00,0.0,Networking,europe-west1,40776.0,bytes
245,2023-12-07 11:00:00,2.5e-05,Networking,europe-west1,3414484.0,bytes
246,2023-12-07 11:00:00,1.9e-05,Networking,europe-west1,2620389.0,bytes
329,2023-12-07 12:00:00,0.0,Networking,europe-west1,26166494.0,bytes
330,2023-12-07 12:00:00,0.0,Networking,europe-west1,1824992.0,bytes
331,2023-12-07 12:00:00,0.0,Networking,europe-west1,3722055.0,bytes
332,2023-12-07 12:00:00,0.0,Networking,europe-west1,12826277.0,bytes
336,2023-12-07 12:00:00,0.0,Networking,europe-west1,1132.0,bytes
337,2023-12-07 12:00:00,0.0,Networking,europe-west1,2480.0,bytes
338,2023-12-07 12:00:00,0.0,Networking,europe-west1,115631.0,bytes
339,2023-12-07 12:00:00,0.0,Networking,europe-west1,130949.0,bytes
340,2023-12-07 12:00:00,0.0,Networking,europe-west1,72788.0,bytes
341,2023-12-07 12:00:00,2e-06,Networking,europe-west1,222889.0,bytes
342,2023-12-07 12:00:00,2.8e-05,Networking,europe-west1,3813749.0,bytes
343,2023-12-07 12:00:00,8e-06,Networking,europe-west1,1192616.0,bytes
417,2023-12-07 13:00:00,0.0,Networking,europe-west1,1477863.0,bytes
418,2023-12-07 13:00:00,0.0,Networking,europe-west1,14269793.0,bytes
419,2023-12-07 13:00:00,0.0,Networking,europe-west1,1236939.0,bytes
420,2023-12-07 13:00:00,0.0,Networking,europe-west1,30016617.0,bytes
424,2023-12-07 13:00:00,1e-06,Networking,europe-west1,202564.0,bytes
425,2023-12-07 13:00:00,1e-06,Networking,europe-west1,229959.0,bytes
426,2023-12-07 13:00:00,4.9e-05,Networking,europe-west1,6697315.0,bytes
427,2023-12-07 13:00:00,1.5e-05,Networking,europe-west1,2089253.0,bytes
503,2023-12-07 14:00:00,0.0,Networking,europe-west1,117592.0,bytes
504,2023-12-07 14:00:00,0.0,Networking,europe-west1,34991422.0,bytes
505,2023-12-07 14:00:00,0.0,Networking,europe-west1,551983.0,bytes
506,2023-12-07 14:00:00,0.0,Networking,europe-west1,16372776.0,bytes
510,2023-12-07 14:00:00,1e-06,Networking,europe-west1,202564.0,bytes
511,2023-12-07 14:00:00,1e-06,Networking,europe-west1,229959.0,bytes
512,2023-12-07 14:00:00,1.5e-05,Networking,europe-west1,2089253.0,bytes
513,2023-12-07 14:00:00,4.9e-05,Networking,europe-west1,6697314.0,bytes
603,2023-12-07 15:00:00,0.0,Networking,europe-west1,9836821.0,bytes
604,2023-12-07 15:00:00,0.0,Networking,europe-west1,3122112.0,bytes
605,2023-12-07 15:00:00,0.0,Networking,europe-west1,1350315.0,bytes
606,2023-12-07 15:00:00,0.0,Networking,europe-west1,11504199.0,bytes
