,usage_end_time,cost,service_type,region,usage_amount,usage_unit
39,2023-12-07 9:00:00,0.0016,Networking,europe-west1,2.0,requests
40,2023-12-07 9:00:00,0.0022,Networking,europe-west1,2.0,requests
41,2023-12-07 9:00:00,0.0022,Networking,europe-west1,2.0,requests
123,2023-12-07 10:00:00,0.0016,Networking,europe-west1,2.0,requests
124,2023-12-07 10:00:00,0.0022,Networking,europe-west1,2.0,requests
125,2023-12-07 10:00:00,0.0022,Networking,europe-west1,2.0,requests
202,2023-12-07 11:00:00,0.0016,Networking,europe-west1,2.0,requests
203,2023-12-07 11:00:00,0.0022,Networking,europe-west1,2.0,requests
204,2023-12-07 11:00:00,0.0022,Networking,europe-west1,2.0,requests
288,2023-12-07 12:00:00,0.0016,Networking,europe-west1,2.0,requests
289,2023-12-07 12:00:00,0.0022,Networking,europe-west1,2.0,requests
290,2023-12-07 12:00:00,0.0022,Networking,europe-west1,2.0,requests
391,2023-12-07 13:00:00,0.0016,Networking,europe-west1,2.0,requests
392,2023-12-07 13:00:00,0.0022,Networking,europe-west1,2.0,requests
393,2023-12-07 13:00:00,0.0022,Networking,europe-west1,2.0,requests
477,2023-12-07 14:00:00,0.0016,Networking,europe-west1,2.0,requests
478,2023-12-07 14:00:00,0.0022,Networking,europe-west1,2.0,requests
479,2023-12-07 14:00:00,0.0022,Networking,europe-west1,2.0,requests
576,2023-12-07 15:00:00,0.0016,Networking,europe-west1,2.0,requests
577,2023-12-07 15:00:00,0.0022,Networking,europe-west1,2.0,requests
578,2023-12-07 15:00:00,0.0022,Networking,europe-west1,2.0,requests
714,2023-12-07 16:00:00,0.0016,Networking,europe-west1,2.0,requests
715,2023-12-07 16:00:00,0.0022,Networking,europe-west1,2.0,requests
716,2023-12-07 16:00:00,0.0022,Networking,europe-west1,2.0,requests
834,2023-12-07 17:00:00,0.0016,Networking,europe-west1,2.0,requests
835,2023-12-07 17:00:00,0.0022,Networking,europe-west1,2.0,requests
836,2023-12-07 17:00:00,0.0022,Networking,europe-west1,2.0,requests
878,2023-12-07 18:00:00,0.0022,Networking,europe-west1,2.0,requests
918,2023-12-07 18:00:00,0.0016,Networking,europe-west1,2.0,requests
919,2023-12-07 18:00:00,0.0022,Networking,europe-west1,2.0,requests
963,2023-12-07 19:00:00,0.0016,Networking,europe-west1,2.0,requests
964,2023-12-07 19:00:00,0.0022,Networking,europe-west1,2.0,requests
965,2023-12-07 19:00:00,0.0022,Networking,europe-west1,2.0,requests
1058,2023-12-07 20:00:00,0.0016,Networking,europe-west1,2.0,requests
1059,2023-12-07 20:00:00,0.0022,Networking,europe-west1,2.0,requests
1060,2023-12-07 20:00:00,0.0022,Networking,europe-west1,2.0,requests
1154,2023-12-07 21:00:00,0.0016,Networking,europe-west1,2.0,requests
