,usage_end_time,cost,service_type,region,usage_amount,usage_unit
4,2023-12-07 9:00:00,0.00393,Networking,europe-west1,566.0,seconds
64,2023-12-07 9:00:00,0.002211,Networking,europe-west1,796.0,seconds
65,2023-12-07 9:00:00,0.0,Networking,europe-west1,627.0,seconds
74,2023-12-07 10:00:00,0.007034,Networking,europe-west1,1013.0,seconds
155,2023-12-07 10:00:00,0.01,Networking,europe-west1,3600.0,seconds
156,2023-12-07 10:00:00,0.0,Networking,europe-west1,10800.0,seconds
168,2023-12-07 11:00:00,0.025,Networking,europe-west1,3600.0,seconds
240,2023-12-07 11:00:00,0.009996,Networking,europe-west1,3599.0,seconds
241,2023-12-07 11:00:00,0.0,Networking,europe-west1,6027.0,seconds
242,2023-12-07 11:00:00,0.0,Networking,europe-west1,4773.0,seconds
255,2023-12-07 12:00:00,0.025,Networking,europe-west1,3600.0,seconds
333,2023-12-07 12:00:00,0.004591,Networking,europe-west1,1653.0,seconds
334,2023-12-07 12:00:00,0.005408,Networking,europe-west1,1947.0,seconds
335,2023-12-07 12:00:00,0.0,Networking,europe-west1,10800.0,seconds
351,2023-12-07 13:00:00,0.024999,Networking,europe-west1,3600.0,seconds
421,2023-12-07 13:00:00,0.009999,Networking,europe-west1,3600.0,seconds
422,2023-12-07 13:00:00,0.0,Networking,europe-west1,6027.0,seconds
423,2023-12-07 13:00:00,0.0,Networking,europe-west1,4773.0,seconds
437,2023-12-07 14:00:00,0.016298,Networking,europe-west1,2347.0,seconds
438,2023-12-07 14:00:00,0.008701,Networking,europe-west1,1253.0,seconds
507,2023-12-07 14:00:00,0.005969,Networking,europe-west1,2149.0,seconds
508,2023-12-07 14:00:00,0.00403,Networking,europe-west1,1451.0,seconds
509,2023-12-07 14:00:00,0.0,Networking,europe-west1,10800.0,seconds
520,2023-12-07 15:00:00,0.0,Networking,europe-west1,0.0,seconds
527,2023-12-07 15:00:00,0.024999,Networking,europe-west1,3600.0,seconds
609,2023-12-07 15:00:00,0.000672,Networking,europe-west1,242.0,seconds
610,2023-12-07 15:00:00,0.009327,Networking,europe-west1,3358.0,seconds
611,2023-12-07 15:00:00,0.0,Networking,europe-west1,4773.0,seconds
612,2023-12-07 15:00:00,0.0,Networking,europe-west1,0.0,seconds
613,2023-12-07 15:00:00,0.0,Networking,europe-west1,6027.0,seconds
620,2023-12-07 16:00:00,0.01602,Networking,europe-west1,2307.0,seconds
681,2023-12-07 16:00:00,0.008979,Networking,europe-west1,1293.0,seconds
741,2023-12-07 16:00:00,0.009999,Networking,europe-west1,3600.0,seconds
742,2023-12-07 16:00:00,0.0,Networking,europe-west1,6027.0,seconds
743,2023-12-07 16:00:00,0.0,Networking,europe-west1,4773.0,seconds
748,2023-12-07 17:00:00,0.008437,Networking,europe-west1,1215.0,seconds
749,2023-12-07 17:00:00,0.016562,Networking,europe-west1,2385.0,seconds
821,2023-12-07 17:00:00,0.0007,Networking,europe-west1,252.0,seconds
839,2023-12-07 17:00:00,0.009299,Networking,europe-west1,3348.0,seconds
840,2023-12-07 17:00:00,0.0,Networking,europe-west1,10800.0,seconds
848,2023-12-07 18:00:00,0.025,Networking,europe-west1,3600.0,seconds
906,2023-12-07 18:00:00,0.004202,Networking,europe-west1,1513.0,seconds
907,2023-12-07 18:00:00,0.005797,Networking,europe-west1,2087.0,seconds
908,2023-12-07 18:00:00,0.0,Networking,europe-west1,3327.0,seconds
922,2023-12-07 18:00:00,0.0,Networking,europe-west1,7473.0,seconds
926,2023-12-07 19:00:00,0.025,Networking,europe-west1,3600.0,seconds
1004,2023-12-07 19:00:00,0.009999,Networking,europe-west1,3600.0,seconds
1005,2023-12-07 19:00:00,0.0,Networking,europe-west1,627.0,seconds
1006,2023-12-07 19:00:00,0.0,Networking,europe-west1,10173.0,seconds
1020,2023-12-07 20:00:00,0.025,Networking,europe-west1,3600.0,seconds
1111,2023-12-07 20:00:00,0.009999,Networking,europe-west1,3600.0,seconds
1112,2023-12-07 20:00:00,0.0,Networking,europe-west1,10800.0,seconds
1122,2023-12-07 21:00:00,0.025,Networking,europe-west1,3600.0,seconds
1185,2023-12-07 21:00:00,0.004041,Networking,europe-west1,1455.0,seconds
1186,2023-12-07 21:00:00,0.005958,Networking,europe-west1,2145.0,seconds
1187,2023-12-07 21:00:00,0.0,Networking,europe-west1,10800.0,seconds
1200,2023-12-07 22:00:00,0.024999,Networking,europe-west1,3600.0,seconds
1275,2023-12-07 22:00:00,0.003819,Networking,europe-west1,1375.0,seconds
1276,2023-12-07 22:00:00,0.00618,Networking,europe-west1,2225.0,seconds
1277,2023-12-07 22:00:00,0.0,Networking,europe-west1,3327.0,seconds
1278,2023-12-07 22:00:00,0.0,Networking,europe-west1,7473.0,seconds
1288,2023-12-07 23:00:00,0.009486,Networking,europe-west1,1366.0,seconds
1289,2023-12-07 23:00:00,0.015513,Networking,europe-west1,2234.0,seconds
1394,2023-12-07 23:00:00,0.01,Networking,europe-west1,3600.0,seconds
