,usage_end_time,cost,service_type,region,usage_amount,usage_unit
30687,2023-12-19 9:00:00,0.0,Vertex AI,europe-west1,0.0,byte-seconds
30736,2023-12-19 9:00:00,1.2e-05,Vertex AI,europe-west1,3543582254.0,byte-seconds
30793,2023-12-19 9:00:00,0.001084,Vertex AI,europe-west1,1133871366144.0,byte-seconds
30794,2023-12-19 9:00:00,0.014941,Vertex AI,europe-west1,15616501088256.0,byte-seconds
30795,2023-12-19 9:00:00,0.015303,Vertex AI,europe-west1,15994458210304.0,byte-seconds
30796,2023-12-19 9:00:00,0.000481,Vertex AI,europe-west1,7086696038400.0,byte-seconds
30797,2023-12-19 9:00:00,0.006634,Vertex AI,europe-west1,97603131801600.0,byte-seconds
30798,2023-12-19 9:00:00,0.006795,Vertex AI,europe-west1,99965363814400.0,byte-seconds
30835,2023-12-19 10:00:00,1.3e-05,Vertex AI,europe-west1,3774454889.0,byte-seconds
30932,2023-12-19 11:00:00,0.0,Vertex AI,europe-west1,227515753.0,byte-seconds
30933,2023-12-19 11:00:00,1.2e-05,Vertex AI,europe-west1,3547332608.0,byte-seconds
31054,2023-12-19 12:00:00,4e-06,Vertex AI,europe-west1,1201668096.0,byte-seconds
31055,2023-12-19 12:00:00,8e-06,Vertex AI,europe-west1,2573205504.0,byte-seconds
31201,2023-12-19 13:00:00,1.2e-05,Vertex AI,europe-west1,3774873600.0,byte-seconds
31277,2023-12-19 14:00:00,1.2e-05,Vertex AI,europe-west1,3774873600.0,byte-seconds
31385,2023-12-19 15:00:00,0.0,Vertex AI,europe-west1,115343360.0,byte-seconds
31386,2023-12-19 15:00:00,1.2e-05,Vertex AI,europe-west1,3659530240.0,byte-seconds
31532,2023-12-19 16:00:00,3e-06,Vertex AI,europe-west1,1026555904.0,byte-seconds
31533,2023-12-19 16:00:00,9e-06,Vertex AI,europe-west1,2748317696.0,byte-seconds
31699,2023-12-19 17:00:00,1.2e-05,Vertex AI,europe-west1,3774873600.0,byte-seconds
31767,2023-12-19 18:00:00,8e-06,Vertex AI,europe-west1,2447376384.0,byte-seconds
31828,2023-12-19 18:00:00,4e-06,Vertex AI,europe-west1,1327497216.0,byte-seconds
31898,2023-12-19 19:00:00,1e-06,Vertex AI,europe-west1,475004928.0,byte-seconds
31899,2023-12-19 19:00:00,1.1e-05,Vertex AI,europe-west1,3299868672.0,byte-seconds
31996,2023-12-19 20:00:00,1.2e-05,Vertex AI,europe-west1,3774873600.0,byte-seconds
32140,2023-12-19 21:00:00,2e-06,Vertex AI,europe-west1,728760320.0,byte-seconds
32141,2023-12-19 21:00:00,1e-05,Vertex AI,europe-west1,3046113280.0,byte-seconds
32253,2023-12-19 22:00:00,1.2e-05,Vertex AI,europe-west1,3774873600.0,byte-seconds
32369,2023-12-19 23:00:00,6e-06,Vertex AI,europe-west1,1821376512.0,byte-seconds
32370,2023-12-19 23:00:00,6e-06,Vertex AI,europe-west1,1953497088.0,byte-seconds
32464,2023-12-20 0:00:00,2e-06,Vertex AI,europe-west1,833617920.0,byte-seconds
32465,2023-12-20 0:00:00,9e-06,Vertex AI,europe-west1,2941255680.0,byte-seconds
32599,2023-12-20 1:00:00,1.2e-05,Vertex AI,europe-west1,3774873600.0,byte-seconds
32704,2023-12-20 2:00:00,1.2e-05,Vertex AI,europe-west1,3774873600.0,byte-seconds
32821,2023-12-20 3:00:00,1.2e-05,Vertex AI,europe-west1,3774873600.0,byte-seconds
32931,2023-12-20 4:00:00,3e-06,Vertex AI,europe-west1,1063256064.0,byte-seconds
32932,2023-12-20 4:00:00,9e-06,Vertex AI,europe-west1,2711617536.0,byte-seconds
33071,2023-12-20 5:00:00,2e-06,Vertex AI,europe-west1,745537536.0,byte-seconds
33072,2023-12-20 5:00:00,1e-05,Vertex AI,europe-west1,3029336064.0,byte-seconds
33183,2023-12-20 6:00:00,1.1e-05,Vertex AI,europe-west1,3774873600.0,byte-seconds
33286,2023-12-20 7:00:00,1.2e-05,Vertex AI,europe-west1,3774873600.0,byte-seconds
33417,2023-12-20 8:00:00,0.0,Vertex AI,europe-west1,94371840.0,byte-seconds
33418,2023-12-20 8:00:00,1.2e-05,Vertex AI,europe-west1,3680501760.0,byte-seconds
33555,2023-12-20 9:00:00,1.3e-05,Vertex AI,europe-west1,3774873600.0,byte-seconds
33672,2023-12-20 10:00:00,1.3e-05,Vertex AI,europe-west1,3774873600.0,byte-seconds
33762,2023-12-20 11:00:00,0.0,Vertex AI,europe-west1,70254592.0,byte-seconds
33763,2023-12-20 11:00:00,1.1e-05,Vertex AI,europe-west1,3704619008.0,byte-seconds
33889,2023-12-20 12:00:00,1.2e-05,Vertex AI,europe-west1,3774873600.0,byte-seconds
