,usage_end_time,cost,service_type,region,usage_amount,usage_unit
30689,2023-12-19 9:00:00,0.03,Vertex AI,europe-west1,1.0,requests
30690,2023-12-19 9:00:00,0.03,Vertex AI,europe-west1,1.0,requests
30691,2023-12-19 9:00:00,0.03,Vertex AI,europe-west1,1.0,requests
91131,2024-01-10 14:00:00,0.03,Vertex AI,europe-west1,1.0,requests
108969,2024-01-16 14:00:00,0.03,Vertex AI,europe-west1,1.0,requests
108970,2024-01-16 14:00:00,0.03,Vertex AI,europe-west1,1.0,requests
111493,2024-01-17 10:00:00,0.0,Vertex AI,europe-west1,0.0,requests
111494,2024-01-17 10:00:00,0.0,Vertex AI,europe-west1,0.0,requests
111495,2024-01-17 10:00:00,0.03,Vertex AI,europe-west1,1.0,requests
111496,2024-01-17 10:00:00,0.03,Vertex AI,europe-west1,1.0,requests
111621,2024-01-17 11:00:00,0.03,Vertex AI,europe-west1,1.0,requests
111622,2024-01-17 11:00:00,0.0,Vertex AI,europe-west1,0.0,requests
111768,2024-01-17 12:00:00,0.03,Vertex AI,europe-west1,1.0,requests
111894,2024-01-17 13:00:00,0.03,Vertex AI,europe-west1,1.0,requests
111895,2024-01-17 13:00:00,0.03,Vertex AI,europe-west1,1.0,requests
112009,2024-01-17 14:00:00,0.03,Vertex AI,europe-west1,1.0,requests
114484,2024-01-18 9:00:00,0.03,Vertex AI,europe-west1,1.0,requests
114485,2024-01-18 9:00:00,0.0,Vertex AI,europe-west1,0.0,requests
114486,2024-01-18 9:00:00,0.0,Vertex AI,europe-west1,0.0,requests
114487,2024-01-18 9:00:00,0.03,Vertex AI,europe-west1,1.0,requests
114488,2024-01-18 9:00:00,0.0,Vertex AI,europe-west1,0.0,requests
114489,2024-01-18 9:00:00,0.03,Vertex AI,europe-west1,1.0,requests
114490,2024-01-18 9:00:00,0.03,Vertex AI,europe-west1,1.0,requests
114491,2024-01-18 9:00:00,0.0,Vertex AI,europe-west1,0.0,requests
114602,2024-01-18 10:00:00,0.0,Vertex AI,europe-west1,0.0,requests
114603,2024-01-18 10:00:00,0.03,Vertex AI,europe-west1,1.0,requests
114705,2024-01-18 11:00:00,0.03,Vertex AI,europe-west1,1.0,requests
114813,2024-01-18 12:00:00,0.03,Vertex AI,europe-west1,1.0,requests
114814,2024-01-18 12:00:00,0.03,Vertex AI,europe-west1,1.0,requests
114973,2024-01-18 13:00:00,0.03,Vertex AI,europe-west1,1.0,requests
114974,2024-01-18 13:00:00,0.03,Vertex AI,europe-west1,1.0,requests
114975,2024-01-18 13:00:00,0.03,Vertex AI,europe-west1,1.0,requests
118229,2024-01-19 14:00:00,0.03,Vertex AI,europe-west1,1.0,requests
118230,2024-01-19 14:00:00,0.03,Vertex AI,europe-west1,1.0,requests
118231,2024-01-19 14:00:00,0.03,Vertex AI,europe-west1,1.0,requests
118232,2024-01-19 14:00:00,0.03,Vertex AI,europe-west1,1.0,requests
118376,2024-01-19 15:00:00,0.03,Vertex AI,europe-west1,1.0,requests
118377,2024-01-19 15:00:00,0.03,Vertex AI,europe-west1,1.0,requests
118378,2024-01-19 15:00:00,0.0,Vertex AI,europe-west1,0.0,requests
118379,2024-01-19 15:00:00,0.03,Vertex AI,europe-west1,1.0,requests
