,usage_end_time,cost,service_type,region,usage_amount,usage_unit
30790,2023-12-19 9:00:00,0.002023,Vertex AI,europe-west1,264.0,seconds
30791,2023-12-19 9:00:00,0.027868,Vertex AI,europe-west1,3636.0,seconds
30792,2023-12-19 9:00:00,0.028542,Vertex AI,europe-west1,3724.0,seconds
91219,2024-01-10 14:00:00,0.001931,Vertex AI,europe-west1,252.0,seconds
109065,2024-01-16 14:00:00,0.00095,Vertex AI,europe-west1,124.0,seconds
111587,2024-01-17 10:00:00,0.001379,Vertex AI,europe-west1,180.0,seconds
111588,2024-01-17 10:00:00,0.001378,Vertex AI,europe-west1,180.0,seconds
111714,2024-01-17 11:00:00,0.000275,Vertex AI,europe-west1,36.0,seconds
111980,2024-01-17 13:00:00,0.000322,Vertex AI,europe-west1,42.0,seconds
111981,2024-01-17 13:00:00,0.000475,Vertex AI,europe-west1,62.0,seconds
112110,2024-01-17 14:00:00,0.00095,Vertex AI,europe-west1,124.0,seconds
114585,2024-01-18 9:00:00,0.001379,Vertex AI,europe-west1,180.0,seconds
114586,2024-01-18 9:00:00,0.000904,Vertex AI,europe-west1,118.0,seconds
114587,2024-01-18 9:00:00,0.000475,Vertex AI,europe-west1,62.0,seconds
114698,2024-01-18 10:00:00,0.000122,Vertex AI,europe-west1,16.0,seconds
114799,2024-01-18 11:00:00,3e-05,Vertex AI,europe-west1,4.0,seconds
114965,2024-01-18 12:00:00,0.000551,Vertex AI,europe-west1,72.0,seconds
115098,2024-01-18 13:00:00,0.000275,Vertex AI,europe-west1,36.0,seconds
115099,2024-01-18 13:00:00,0.000843,Vertex AI,europe-west1,110.0,seconds
115100,2024-01-18 13:00:00,0.000398,Vertex AI,europe-west1,52.0,seconds
118343,2024-01-19 14:00:00,0.000245,Vertex AI,europe-west1,32.0,seconds
118344,2024-01-19 14:00:00,0.000857,Vertex AI,europe-west1,112.0,seconds
118345,2024-01-19 14:00:00,0.000475,Vertex AI,europe-west1,62.0,seconds
118465,2024-01-19 15:00:00,0.000245,Vertex AI,europe-west1,32.0,seconds
118466,2024-01-19 15:00:00,0.000843,Vertex AI,europe-west1,110.0,seconds
118467,2024-01-19 15:00:00,3.1e-05,Vertex AI,europe-west1,4.0,seconds
118468,2024-01-19 15:00:00,0.000245,Vertex AI,europe-west1,32.0,seconds
127263,2024-01-22 10:00:00,0.000919,Vertex AI,europe-west1,120.0,seconds
127264,2024-01-22 10:00:00,0.000245,Vertex AI,europe-west1,32.0,seconds
127370,2024-01-22 11:00:00,0.000275,Vertex AI,europe-west1,36.0,seconds
127515,2024-01-22 12:00:00,0.001379,Vertex AI,europe-west1,180.0,seconds
