reference_time,is_anomaly,usage_end_time,cost,usage_amount,usage_unit,service_type
0.0,0,2024-02-15 06:00:00,0.049917,148603720960614.0,byte-seconds,Cloud SQL
1.0,0,2024-02-15 07:00:00,0.049917,148603720960614.0,byte-seconds,Cloud SQL
2.0,0,2024-02-15 08:00:00,0.049905,148615343356561.0,byte-seconds,Cloud SQL
3.0,0,2024-02-15 09:00:00,0.049905,148633125975849.0,byte-seconds,Cloud SQL
4.0,0,2024-02-15 10:00:00,0.135025,402038343934605.0,byte-seconds,Cloud SQL
5.0,0,2024-02-15 11:00:00,0.135025,402038343934727.0,byte-seconds,Cloud SQL
6.0,0,2024-02-15 12:00:00,0.135025,402038343887570.0,byte-seconds,Cloud SQL
7.0,0,2024-02-15 13:00:00,0.135025,402038343882115.0,byte-seconds,Cloud SQL
8.0,0,2024-02-15 14:00:00,0.135025,402038343882114.0,byte-seconds,Cloud SQL
9.0,0,2024-02-15 15:00:00,0.135025,402038343882202.0,byte-seconds,Cloud SQL
10.0,0,2024-02-15 16:00:00,0.135025,402038343674364.0,byte-seconds,Cloud SQL
11.0,0,2024-02-15 17:00:00,0.135027,402038343936420.0,byte-seconds,Cloud SQL
12.0,0,2024-02-15 18:00:00,0.135026,402038343932587.0,byte-seconds,Cloud SQL
13.0,0,2024-02-15 19:00:00,0.135025,402038343689999.0,byte-seconds,Cloud SQL
14.0,0,2024-02-15 20:00:00,0.135025,402038343930719.0,byte-seconds,Cloud SQL
15.0,0,2024-02-15 21:00:00,0.135025,402038343932152.0,byte-seconds,Cloud SQL
16.0,0,2024-02-15 22:00:00,0.135025,402038343931563.0,byte-seconds,Cloud SQL
17.0,0,2024-02-15 23:00:00,0.135025,402038343930935.0,byte-seconds,Cloud SQL
18.0,0,2024-02-16 00:00:00,0.135025,402038343882163.0,byte-seconds,Cloud SQL
19.0,0,2024-02-16 01:00:00,0.135025,402038343914780.0,byte-seconds,Cloud SQL
20.0,0,2024-02-16 02:00:00,0.135025,402038343914356.0,byte-seconds,Cloud SQL
21.0,0,2024-02-16 03:00:00,0.135025,402058883242655.0,byte-seconds,Cloud SQL
22.0,0,2024-02-16 04:00:00,0.135026,402061860727103.0,seconds,Cloud SQL
23.0,0,2024-02-16 05:00:00,0.135026,402061860836300.0,byte-seconds,Cloud SQL
24.0,0,2024-02-16 06:00:00,0.135028,402061860853459.0,byte-seconds,Cloud SQL
25.0,0,2024-02-16 07:00:00,0.135032,402061860995837.0,byte-seconds,Cloud SQL
26.0,0,2024-02-16 08:00:00,0.135026,402061860542177.0,byte-seconds,Cloud SQL
27.0,0,2024-02-16 09:00:00,0.135031,402061860922350.0,byte-seconds,Cloud SQL
28.0,0,2024-02-16 10:00:00,0.135025,402061860884096.0,byte-seconds,Cloud SQL
29.0,0,2024-02-16 11:00:00,0.135025,402061860884096.0,byte-seconds,Cloud SQL
30.0,0,2024-02-16 12:00:00,0.135026,402061860689291.0,seconds,Cloud SQL
31.0,0,2024-02-16 13:00:00,0.135027,402061860856639.0,byte-seconds,Cloud SQL
32.0,0,2024-02-16 14:00:00,0.135023,402035017296555.0,seconds,Cloud SQL
33.0,0,2024-02-16 15:00:00,0.135023,402035017300647.0,byte-seconds,Cloud SQL
34.0,0,2024-02-16 16:00:00,0.135024,402035017205820.0,bytes,Cloud SQL
35.0,0,2024-02-16 17:00:00,0.135024,402035017322631.0,seconds,Cloud SQL
36.0,0,2024-02-16 18:00:00,0.135027,402088704413855.0,byte-seconds,Cloud SQL
37.0,0,2024-02-16 19:00:00,0.135027,402088704413005.0,byte-seconds,Cloud SQL
38.0,0,2024-02-16 20:00:00,0.135026,402088704116790.0,byte-seconds,Cloud SQL
39.0,0,2024-02-16 21:00:00,0.135026,402088704408371.0,byte-seconds,Cloud SQL
40.0,0,2024-02-16 22:00:00,0.135026,402061860863595.0,byte-seconds,Cloud SQL
41.0,0,2024-02-16 23:00:00,0.135025,402061860862764.0,byte-seconds,Cloud SQL
42.0,0,2024-02-17 00:00:00,0.135026,402061860756271.0,byte-seconds,Cloud SQL
43.0,0,2024-02-17 01:00:00,0.135026,402061860820120.0,byte-seconds,Cloud SQL
44.0,0,2024-02-17 02:00:00,0.135029,402061860841613.0,byte-seconds,Cloud SQL
45.0,0,2024-02-17 03:00:00,0.135026,402077599227796.0,byte-seconds,Cloud SQL
46.0,0,2024-02-17 04:00:00,0.135026,402082684884130.0,byte-seconds,Cloud SQL
47.0,0,2024-02-17 05:00:00,0.135027,402082684860829.0,byte-seconds,Cloud SQL
48.0,0,2024-02-17 06:00:00,0.135026,402082684861121.0,byte-seconds,Cloud SQL
49.0,0,2024-02-17 07:00:00,0.135026,402082684861166.0,byte-seconds,Cloud SQL
50.0,0,2024-02-17 08:00:00,0.135026,402082684538504.0,byte-seconds,Cloud SQL
51.0,0,2024-02-17 09:00:00,0.135027,402082684907891.0,byte-seconds,Cloud SQL
52.0,0,2024-02-17 10:00:00,0.135027,402082684909732.0,byte-seconds,Cloud SQL
53.0,0,2024-02-17 11:00:00,0.135027,402082684909732.0,seconds,Cloud SQL
54.0,0,2024-02-17 12:00:00,0.135027,402082684613089.0,byte-seconds,Cloud SQL
55.0,0,2024-02-17 13:00:00,0.135027,402082684860460.0,byte-seconds,Cloud SQL
56.0,0,2024-02-17 14:00:00,0.135027,402082684860460.0,byte-seconds,Cloud SQL
57.0,0,2024-02-17 15:00:00,0.135026,402082684867874.0,byte-seconds,Cloud SQL
58.0,0,2024-02-17 16:00:00,0.135026,402082684747787.0,byte-seconds,Cloud SQL
59.0,0,2024-02-17 17:00:00,0.135026,402082684897360.0,byte-seconds,Cloud SQL
60.0,0,2024-02-17 18:00:00,0.135027,402082684898883.0,byte-seconds,Cloud SQL
61.0,0,2024-02-17 19:00:00,0.135026,402082684898010.0,byte-seconds,Cloud SQL
62.0,0,2024-02-17 20:00:00,0.135026,402082684591419.0,byte-seconds,Cloud SQL
63.0,0,2024-02-17 21:00:00,0.135026,402082684919131.0,byte-seconds,Cloud SQL
64.0,0,2024-02-17 22:00:00,0.135027,402082684920244.0,byte-seconds,Cloud SQL
65.0,0,2024-02-17 23:00:00,0.135026,402082684920420.0,byte-seconds,Cloud SQL
66.0,0,2024-02-18 00:00:00,0.135026,402082684512611.0,byte-seconds,Cloud SQL
67.0,0,2024-02-18 01:00:00,0.135027,402087433051903.0,byte-seconds,Cloud SQL
68.0,0,2024-02-18 02:00:00,0.135028,402101581789059.0,byte-seconds,Cloud SQL
69.0,0,2024-02-18 03:00:00,0.135027,402101581778112.0,byte-seconds,Cloud SQL
70.0,0,2024-02-18 04:00:00,0.135027,402101581864801.0,byte-seconds,Cloud SQL
71.0,0,2024-02-18 05:00:00,0.135027,402101581851325.0,byte-seconds,Cloud SQL
72.0,0,2024-02-18 06:00:00,0.135027,402101581849742.0,byte-seconds,Cloud SQL
73.0,0,2024-02-18 07:00:00,0.135027,402101581847094.0,byte-seconds,Cloud SQL
74.0,0,2024-02-18 08:00:00,0.135026,402101581440570.0,byte-seconds,Cloud SQL
75.0,0,2024-02-18 09:00:00,0.135027,402101581879234.0,byte-seconds,Cloud SQL
76.0,0,2024-02-18 10:00:00,0.135027,402101581883837.0,byte-seconds,Cloud SQL
77.0,0,2024-02-18 11:00:00,0.135027,402101581886146.0,byte-seconds,Cloud SQL
78.0,0,2024-02-18 12:00:00,0.135027,402101581645376.0,seconds,Cloud SQL
79.0,0,2024-02-18 13:00:00,0.135027,402101581791812.0,byte-seconds,Cloud SQL
80.0,0,2024-02-18 14:00:00,0.135027,402101581791810.0,byte-seconds,Cloud SQL
81.0,0,2024-02-18 15:00:00,0.135027,402101581795971.0,byte-seconds,Cloud SQL
82.0,0,2024-02-18 16:00:00,0.13503,402101581731161.0,bytes,Cloud SQL
83.0,0,2024-02-18 17:00:00,0.135027,402101581797764.0,bytes,Cloud SQL
84.0,0,2024-02-18 18:00:00,0.135027,402101581797465.0,byte-seconds,Cloud SQL
85.0,0,2024-02-18 19:00:00,0.135027,402101581797487.0,byte-seconds,Cloud SQL
86.0,0,2024-02-18 20:00:00,0.135027,402101581575279.0,byte-seconds,Cloud SQL
87.0,0,2024-02-18 21:00:00,0.135027,402101581878916.0,byte-seconds,Cloud SQL
