reference_time,is_anomaly,usage_end_time,cost,usage_amount,usage_unit,service_type
0.0,0,2023-12-19 09:00:00,0.193683,237403565908985.0,byte-seconds,Vertex AI
1.0,0,2023-12-19 10:00:00,1.3e-05,3774454889.0,byte-seconds,Vertex AI
2.0,0,2023-12-19 11:00:00,1.2e-05,3774848361.0,byte-seconds,Vertex AI
3.0,0,2023-12-19 12:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
4.0,0,2023-12-19 13:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
5.0,0,2023-12-19 14:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
6.0,0,2023-12-19 15:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
7.0,0,2023-12-19 16:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
8.0,0,2023-12-19 17:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
9.0,0,2023-12-19 18:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
10.0,0,2023-12-19 19:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
11.0,0,2023-12-19 20:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
12.0,0,2023-12-19 21:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
13.0,0,2023-12-19 22:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
14.0,0,2023-12-19 23:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
15.0,0,2023-12-20 00:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
16.0,0,2023-12-20 01:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
17.0,0,2023-12-20 02:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
18.0,0,2023-12-20 03:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
19.0,0,2023-12-20 04:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
20.0,0,2023-12-20 05:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
21.0,0,2023-12-20 06:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
22.0,0,2023-12-20 07:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
23.0,0,2023-12-20 08:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
24.0,0,2023-12-20 09:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
25.0,0,2023-12-20 10:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
26.0,0,2023-12-20 11:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
27.0,0,2023-12-20 12:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
28.0,0,2023-12-20 13:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
29.0,0,2023-12-20 14:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
30.0,0,2023-12-20 15:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
31.0,0,2023-12-20 16:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
32.0,0,2023-12-20 17:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
33.0,0,2023-12-20 18:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
34.0,0,2023-12-20 19:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
35.0,0,2023-12-20 20:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
36.0,0,2023-12-20 21:00:00,1.3000000000000001e-05,3774873600.0,byte-seconds,Vertex AI
37.0,0,2023-12-20 22:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
38.0,0,2023-12-20 23:00:00,1.1e-05,3774873600.0,byte-seconds,Vertex AI
39.0,0,2023-12-21 00:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
40.0,0,2023-12-21 01:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
41.0,0,2023-12-21 02:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
42.0,0,2023-12-21 03:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
43.0,0,2023-12-21 04:00:00,1.1000000000000001e-05,3774873600.0,byte-seconds,Vertex AI
44.0,0,2023-12-21 05:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
45.0,0,2023-12-21 06:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
46.0,0,2023-12-21 07:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
47.0,0,2023-12-21 08:00:00,1.2e-05,3774873600.0,byte-seconds,Vertex AI
48.0,0,2023-12-21 09:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
49.0,0,2023-12-21 10:00:00,1.3e-05,3774873600.0,byte-seconds,Vertex AI
