reference_time,is_anomaly,usage_end_time,cost,usage_amount,usage_unit,service_type
0.0,0,2023-12-13 11:00:00,0.0,10485760.0,byte-seconds,BigQuery
1.0,0,2023-12-13 12:00:00,0.0,10485760.0,byte-seconds,BigQuery
2.0,0,2023-12-13 13:00:00,0.0,10485760.0,byte-seconds,BigQuery
3.0,0,2023-12-13 14:00:00,0.0,10485760.0,byte-seconds,BigQuery
4.0,0,2023-12-13 15:00:00,0.0,10485760.0,byte-seconds,BigQuery
5.0,0,2023-12-13 16:00:00,0.0,10485760.0,byte-seconds,BigQuery
6.0,0,2023-12-13 17:00:00,0.0,10485760.0,byte-seconds,BigQuery
7.0,0,2023-12-13 18:00:00,0.0,10485760.0,byte-seconds,BigQuery
8.0,0,2023-12-13 19:00:00,0.0,10485760.0,byte-seconds,BigQuery
9.0,0,2023-12-13 20:00:00,0.0,10485760.0,byte-seconds,BigQuery
10.0,0,2023-12-13 21:00:00,0.0,10485760.0,byte-seconds,BigQuery
11.0,0,2023-12-13 22:00:00,0.0,10485760.0,byte-seconds,BigQuery
12.0,0,2023-12-13 23:00:00,0.0,10485760.0,byte-seconds,BigQuery
13.0,0,2023-12-14 00:00:00,0.0,10485760.0,byte-seconds,BigQuery
14.0,0,2023-12-14 01:00:00,0.0,10485760.0,byte-seconds,BigQuery
15.0,0,2023-12-14 02:00:00,0.0,10485760.0,byte-seconds,BigQuery
16.0,0,2023-12-14 03:00:00,0.0,10485760.0,byte-seconds,BigQuery
17.0,0,2023-12-14 04:00:00,0.0,10485760.0,byte-seconds,BigQuery
18.0,0,2023-12-14 05:00:00,0.0,10485760.0,byte-seconds,BigQuery
19.0,0,2023-12-14 06:00:00,0.0,10485760.0,byte-seconds,BigQuery
20.0,0,2023-12-14 07:00:00,0.0,10485760.0,byte-seconds,BigQuery
21.0,0,2023-12-14 08:00:00,0.0,10485760.0,byte-seconds,BigQuery
22.0,0,2023-12-14 09:00:00,0.0,10485760.0,byte-seconds,BigQuery
23.0,0,2023-12-14 10:00:00,0.0,10485760.0,byte-seconds,BigQuery
24.0,0,2023-12-14 11:00:00,0.0,10485760.0,byte-seconds,BigQuery
25.0,0,2023-12-14 12:00:00,0.0,10485760.0,byte-seconds,BigQuery
26.0,0,2023-12-14 13:00:00,0.0,10485760.0,byte-seconds,BigQuery
27.0,0,2023-12-14 14:00:00,0.0,10485760.0,byte-seconds,BigQuery
28.0,0,2023-12-14 15:00:00,0.0,10485760.0,byte-seconds,BigQuery
29.0,0,2023-12-14 16:00:00,0.0,10485760.0,byte-seconds,BigQuery
30.0,0,2023-12-14 17:00:00,0.0,10485760.0,byte-seconds,BigQuery
31.0,0,2023-12-14 18:00:00,0.0,10485760.0,byte-seconds,BigQuery
32.0,0,2023-12-14 19:00:00,0.0,10485760.0,byte-seconds,BigQuery
33.0,0,2023-12-14 20:00:00,0.0,10485760.0,byte-seconds,BigQuery
34.0,0,2023-12-14 21:00:00,0.0,10485760.0,byte-seconds,BigQuery
35.0,0,2023-12-14 22:00:00,0.0,10485760.0,byte-seconds,BigQuery
36.0,0,2023-12-14 23:00:00,0.0,10485760.0,byte-seconds,BigQuery
37.0,0,2023-12-15 00:00:00,0.0,10485760.0,byte-seconds,BigQuery
38.0,0,2023-12-15 01:00:00,0.0,10485760.0,byte-seconds,BigQuery
39.0,0,2023-12-15 02:00:00,0.0,10485760.0,byte-seconds,BigQuery
40.0,0,2023-12-15 03:00:00,0.0,10485760.0,byte-seconds,BigQuery
41.0,0,2023-12-15 04:00:00,0.0,10485760.0,byte-seconds,BigQuery
42.0,0,2023-12-15 05:00:00,0.0,10485760.0,byte-seconds,BigQuery
43.0,0,2023-12-15 06:00:00,0.0,10485760.0,byte-seconds,BigQuery
44.0,0,2023-12-15 07:00:00,0.0,10485760.0,byte-seconds,BigQuery
45.0,0,2023-12-15 08:00:00,0.0,10485760.0,byte-seconds,BigQuery
46.0,0,2023-12-15 09:00:00,0.0,10485760.0,byte-seconds,BigQuery
47.0,0,2023-12-15 10:00:00,0.0,10485760.0,byte-seconds,BigQuery
48.0,0,2023-12-15 11:00:00,0.0,10485760.0,byte-seconds,BigQuery
49.0,0,2023-12-15 12:00:00,0.0,10485760.0,byte-seconds,BigQuery
50.0,0,2023-12-15 13:00:00,0.0,10485760.0,byte-seconds,BigQuery
51.0,0,2023-12-15 14:00:00,0.0,10485760.0,byte-seconds,BigQuery
52.0,0,2023-12-15 15:00:00,0.0,10485760.0,byte-seconds,BigQuery
53.0,0,2023-12-15 16:00:00,0.0,10485760.0,byte-seconds,BigQuery
54.0,0,2023-12-15 17:00:00,0.0,10485760.0,byte-seconds,BigQuery
55.0,0,2023-12-15 18:00:00,0.0,10485760.0,byte-seconds,BigQuery
56.0,0,2023-12-15 19:00:00,0.0,10485760.0,byte-seconds,BigQuery
57.0,0,2023-12-15 20:00:00,0.0,10485760.0,byte-seconds,BigQuery
