reference_time,is_anomaly,usage_end_time,cost,usage_amount,usage_unit,service_type
0.0,0,2024-04-04 10:00:00,0.0,30.0,seconds,Cloud Build
1.0,0,2024-04-04 11:00:00,0.0,0.0,,
2.0,0,2024-04-04 12:00:00,0.0,0.0,,
3.0,0,2024-04-04 13:00:00,0.0,0.0,,
4.0,0,2024-04-04 14:00:00,0.0,0.0,,
5.0,0,2024-04-04 15:00:00,0.0,0.0,,
6.0,0,2024-04-04 16:00:00,0.0,0.0,,
7.0,0,2024-04-04 17:00:00,0.0,0.0,,
8.0,0,2024-04-04 18:00:00,0.0,0.0,,
9.0,0,2024-04-04 19:00:00,0.0,0.0,,
10.0,0,2024-04-04 20:00:00,0.0,0.0,,
11.0,0,2024-04-04 21:00:00,0.0,0.0,,
12.0,0,2024-04-04 22:00:00,0.0,0.0,,
13.0,0,2024-04-04 23:00:00,0.0,0.0,,
14.0,0,2024-04-05 00:00:00,0.0,0.0,,
15.0,0,2024-04-05 01:00:00,0.0,0.0,,
16.0,0,2024-04-05 02:00:00,0.0,0.0,,
17.0,0,2024-04-05 03:00:00,0.0,0.0,,
18.0,0,2024-04-05 04:00:00,0.0,0.0,,
19.0,0,2024-04-05 05:00:00,0.0,0.0,,
20.0,0,2024-04-05 06:00:00,0.0,0.0,,
21.0,0,2024-04-05 07:00:00,0.0,0.0,,
22.0,0,2024-04-05 08:00:00,0.0,0.0,,
23.0,0,2024-04-05 09:00:00,0.0,0.0,,
24.0,0,2024-04-05 10:00:00,0.0,0.0,,
25.0,0,2024-04-05 11:00:00,0.0,0.0,,
26.0,0,2024-04-05 12:00:00,0.0,0.0,,
27.0,0,2024-04-05 13:00:00,0.0,0.0,,
28.0,0,2024-04-05 14:00:00,0.0,0.0,,
29.0,0,2024-04-05 15:00:00,0.0,0.0,,
30.0,0,2024-04-05 16:00:00,0.0,0.0,,
31.0,0,2024-04-05 17:00:00,0.0,0.0,,
32.0,0,2024-04-05 18:00:00,0.0,0.0,,
33.0,0,2024-04-05 19:00:00,0.0,0.0,,
34.0,0,2024-04-05 20:00:00,0.0,0.0,,
35.0,0,2024-04-05 21:00:00,0.0,0.0,,
36.0,0,2024-04-05 22:00:00,0.0,0.0,,
37.0,0,2024-04-05 23:00:00,0.0,0.0,,
38.0,0,2024-04-06 00:00:00,0.0,0.0,,
39.0,0,2024-04-06 01:00:00,0.0,0.0,,
40.0,0,2024-04-06 02:00:00,0.0,0.0,,
41.0,0,2024-04-06 03:00:00,0.0,0.0,,
42.0,0,2024-04-06 04:00:00,0.0,0.0,,
43.0,0,2024-04-06 05:00:00,0.0,0.0,,
44.0,0,2024-04-06 06:00:00,0.0,0.0,,
45.0,0,2024-04-06 07:00:00,0.0,0.0,,
46.0,0,2024-04-06 08:00:00,0.0,0.0,,
47.0,0,2024-04-06 09:00:00,0.0,0.0,,
48.0,0,2024-04-06 10:00:00,0.0,0.0,,
49.0,0,2024-04-06 11:00:00,0.0,0.0,,
50.0,0,2024-04-06 12:00:00,0.0,0.0,,
51.0,0,2024-04-06 13:00:00,0.0,0.0,,
52.0,0,2024-04-06 14:00:00,0.0,0.0,,
53.0,0,2024-04-06 15:00:00,0.0,0.0,,
54.0,0,2024-04-06 16:00:00,0.0,0.0,,
55.0,0,2024-04-06 17:00:00,0.0,0.0,,
56.0,0,2024-04-06 18:00:00,0.0,0.0,,
57.0,0,2024-04-06 19:00:00,0.0,0.0,,
58.0,0,2024-04-06 20:00:00,0.0,0.0,,
59.0,0,2024-04-06 21:00:00,0.0,0.0,,
60.0,0,2024-04-06 22:00:00,0.0,0.0,,
61.0,0,2024-04-06 23:00:00,0.0,0.0,,
62.0,0,2024-04-07 00:00:00,0.0,0.0,,
63.0,0,2024-04-07 01:00:00,0.0,0.0,,
64.0,0,2024-04-07 02:00:00,0.0,0.0,,
65.0,0,2024-04-07 03:00:00,0.0,0.0,,
66.0,0,2024-04-07 04:00:00,0.0,0.0,,
67.0,0,2024-04-07 05:00:00,0.0,0.0,,
68.0,0,2024-04-07 06:00:00,0.0,0.0,,
69.0,0,2024-04-07 07:00:00,0.0,0.0,,
70.0,0,2024-04-07 08:00:00,0.0,0.0,,
71.0,0,2024-04-07 09:00:00,0.0,0.0,,
72.0,0,2024-04-07 10:00:00,0.0,0.0,,
73.0,0,2024-04-07 11:00:00,0.0,0.0,,
74.0,0,2024-04-07 12:00:00,0.0,0.0,,
75.0,0,2024-04-07 13:00:00,0.0,0.0,,
76.0,0,2024-04-07 14:00:00,0.0,0.0,,
77.0,0,2024-04-07 15:00:00,0.0,0.0,,
78.0,0,2024-04-07 16:00:00,0.0,0.0,,
79.0,0,2024-04-07 17:00:00,0.0,0.0,,
80.0,0,2024-04-07 18:00:00,0.0,0.0,,
81.0,0,2024-04-07 19:00:00,0.0,0.0,,
