reference_time,is_anomaly,usage_end_time,cost,usage_amount,usage_unit,service_type
0.0,0,2024-07-10 14:00:00,0.004917,7198933516521.0,seconds,Cloud Dataflow
1.0,0,2024-07-10 15:00:00,0.0,0.0,,
2.0,0,2024-07-10 16:00:00,0.0,0.0,,
3.0,0,2024-07-10 17:00:00,0.0,0.0,,
4.0,0,2024-07-10 18:00:00,0.0,0.0,,
5.0,0,2024-07-10 19:00:00,0.0,0.0,,
6.0,0,2024-07-10 20:00:00,0.0,0.0,,
7.0,0,2024-07-10 21:00:00,0.0,0.0,,
8.0,0,2024-07-10 22:00:00,0.0,0.0,,
9.0,0,2024-07-10 23:00:00,0.0,0.0,,
10.0,0,2024-07-11 00:00:00,0.0,0.0,,
11.0,0,2024-07-11 01:00:00,0.0,0.0,,
12.0,0,2024-07-11 02:00:00,0.0,0.0,,
13.0,0,2024-07-11 03:00:00,0.0,0.0,,
14.0,0,2024-07-11 04:00:00,0.0,0.0,,
15.0,0,2024-07-11 05:00:00,0.0,0.0,,
16.0,0,2024-07-11 06:00:00,0.001264,1839930585614.0,seconds,Cloud Dataflow
17.0,0,2024-07-11 07:00:00,0.009799,14363319029758.0,seconds,Cloud Dataflow
18.0,0,2024-07-11 08:00:00,0.0,0.0,,
19.0,0,2024-07-11 09:00:00,0.0,0.0,,
20.0,0,2024-07-11 10:00:00,0.0,0.0,,
21.0,0,2024-07-11 11:00:00,0.0,0.0,,
22.0,0,2024-07-11 12:00:00,0.0,0.0,,
23.0,0,2024-07-11 13:00:00,0.0,0.0,,
24.0,0,2024-07-11 14:00:00,0.0,0.0,,
25.0,0,2024-07-11 15:00:00,0.0,0.0,,
26.0,0,2024-07-11 16:00:00,0.0,0.0,,
27.0,0,2024-07-11 17:00:00,0.0,0.0,,
28.0,0,2024-07-11 18:00:00,0.0,0.0,,
29.0,0,2024-07-11 19:00:00,0.0,0.0,,
30.0,0,2024-07-11 20:00:00,0.0,0.0,,
31.0,0,2024-07-11 21:00:00,0.0,0.0,,
32.0,0,2024-07-11 22:00:00,0.0,0.0,,
33.0,0,2024-07-11 23:00:00,0.0,0.0,,
34.0,0,2024-07-12 00:00:00,0.0,0.0,,
35.0,0,2024-07-12 01:00:00,0.0,0.0,,
36.0,0,2024-07-12 02:00:00,0.0,0.0,,
37.0,0,2024-07-12 03:00:00,0.0,0.0,,
38.0,0,2024-07-12 04:00:00,0.0,0.0,,
39.0,0,2024-07-12 05:00:00,0.0,0.0,,
40.0,0,2024-07-12 06:00:00,0.0,0.0,,
41.0,0,2024-07-12 07:00:00,0.0,0.0,,
42.0,0,2024-07-12 08:00:00,0.0,0.0,,
43.0,0,2024-07-12 09:00:00,0.0,0.0,,
44.0,0,2024-07-12 10:00:00,0.0,0.0,,
45.0,0,2024-07-12 11:00:00,0.0,0.0,,
46.0,0,2024-07-12 12:00:00,0.0,0.0,,
47.0,0,2024-07-12 13:00:00,0.0,0.0,,
48.0,0,2024-07-12 14:00:00,0.0,0.0,,
49.0,0,2024-07-12 15:00:00,0.0,0.0,,
50.0,0,2024-07-12 16:00:00,0.0,0.0,,
51.0,0,2024-07-12 17:00:00,0.0,0.0,,
52.0,0,2024-07-12 18:00:00,0.0,0.0,,
53.0,0,2024-07-12 19:00:00,0.0,0.0,,
54.0,0,2024-07-12 20:00:00,0.0,0.0,,
55.0,0,2024-07-12 21:00:00,0.0,0.0,,
56.0,0,2024-07-12 22:00:00,0.0,0.0,,
57.0,0,2024-07-12 23:00:00,0.0,0.0,,
58.0,0,2024-07-13 00:00:00,0.0,0.0,,
59.0,0,2024-07-13 01:00:00,0.0,0.0,,
60.0,0,2024-07-13 02:00:00,0.0,0.0,,
61.0,0,2024-07-13 03:00:00,0.0,0.0,,
62.0,0,2024-07-13 04:00:00,0.0,0.0,,
63.0,0,2024-07-13 05:00:00,0.0,0.0,,
64.0,0,2024-07-13 06:00:00,0.0,0.0,,
65.0,0,2024-07-13 07:00:00,0.0,0.0,,
66.0,0,2024-07-13 08:00:00,0.0,0.0,,
67.0,0,2024-07-13 09:00:00,0.0,0.0,,
68.0,0,2024-07-13 10:00:00,0.0,0.0,,
69.0,0,2024-07-13 11:00:00,0.0,0.0,,
70.0,0,2024-07-13 12:00:00,0.0,0.0,,
71.0,0,2024-07-13 13:00:00,0.0,0.0,,
72.0,0,2024-07-13 14:00:00,0.0,0.0,,
73.0,0,2024-07-13 15:00:00,0.0,0.0,,
74.0,0,2024-07-13 16:00:00,0.0,0.0,,
75.0,0,2024-07-13 17:00:00,0.0,0.0,,
76.0,0,2024-07-13 18:00:00,0.0,0.0,,
77.0,0,2024-07-13 19:00:00,0.0,0.0,,
