usage_end_time,cost,usage_amount,usage_unit,service_type
2024-02-08 14:00:00,0.0,2.0,requests,Cloud Monitoring
2024-02-13 8:00:00,0.0,1.0,requests,Cloud Monitoring
2024-02-13 11:00:00,0.0,2.0,requests,Cloud Monitoring
2024-02-13 12:00:00,0.0,1.0,requests,Cloud Monitoring
2024-04-20 9:00:00,0.0,1.0,requests,Cloud Monitoring
2024-04-20 10:00:00,0.0,1.0,requests,Cloud Monitoring
2024-05-07 2:00:00,0.0,1.0,requests,Cloud Monitoring
2024-05-19 0:00:00,0.0,1.0,requests,Cloud Monitoring
2024-05-19 1:00:00,0.0,1.0,requests,Cloud Monitoring
2024-05-31 21:00:00,0.0,1.0,requests,Cloud Monitoring
2024-06-08 21:00:00,0.0,2.0,requests,Cloud Monitoring
2024-06-14 17:00:00,0.0,1.0,requests,Cloud Monitoring
2024-07-29 17:00:00,0.0,944.0,bytes,Cloud Monitoring
2024-07-30 11:00:00,0.0,248.0,bytes,Cloud Monitoring
2024-07-30 13:00:00,0.0,1392.0,bytes,Cloud Monitoring
2024-07-30 14:00:00,0.0,696.0,bytes,Cloud Monitoring
2024-07-30 15:00:00,0.0,464.0,bytes,Cloud Monitoring
2024-07-31 12:00:00,0.0,696.0,bytes,Cloud Monitoring
2024-07-31 14:00:00,0.0,696.0,bytes,Cloud Monitoring
2024-07-31 15:00:00,0.0,696.0,bytes,Cloud Monitoring
2024-08-07 14:00:00,0.0,464.0,bytes,Cloud Monitoring
2024-08-07 15:00:00,0.0,10440.0,bytes,Cloud Monitoring
2024-08-07 16:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-07 17:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-07 18:00:00,0.0,6960.0,bytes,Cloud Monitoring
2024-08-07 18:00:00,0.0,17168.0,bytes,Cloud Monitoring
2024-08-08 14:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-08 14:00:00,0.0,928.0,bytes,Cloud Monitoring
2024-08-08 15:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-08 15:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-08 16:00:00,0.0,6960.0,bytes,Cloud Monitoring
2024-08-08 16:00:00,0.0,20880.0,bytes,Cloud Monitoring
2024-08-08 17:00:00,0.0,6960.0,bytes,Cloud Monitoring
2024-08-08 17:00:00,0.0,20880.0,bytes,Cloud Monitoring
2024-08-08 18:00:00,0.0,6960.0,bytes,Cloud Monitoring
2024-08-08 18:00:00,0.0,20880.0,bytes,Cloud Monitoring
2024-08-08 19:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-08 20:00:00,0.0,20880.0,bytes,Cloud Monitoring
2024-08-08 20:00:00,0.0,6960.0,bytes,Cloud Monitoring
2024-08-08 21:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-08 22:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-08 22:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-08 23:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-09 0:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-09 1:00:00,0.0,6960.0,bytes,Cloud Monitoring
2024-08-09 1:00:00,0.0,20880.0,bytes,Cloud Monitoring
2024-08-09 2:00:00,0.0,1160.0,bytes,Cloud Monitoring
2024-08-09 2:00:00,0.0,26680.0,bytes,Cloud Monitoring
2024-08-09 3:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-09 4:00:00,0.0,12760.0,bytes,Cloud Monitoring
2024-08-09 4:00:00,0.0,15080.0,bytes,Cloud Monitoring
2024-08-09 5:00:00,0.0,19720.0,bytes,Cloud Monitoring
2024-08-09 5:00:00,0.0,8120.0,bytes,Cloud Monitoring
2024-08-09 6:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-09 7:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-09 8:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-09 9:00:00,0.0,27376.0,bytes,Cloud Monitoring
2024-08-09 10:00:00,0.0,20880.0,bytes,Cloud Monitoring
2024-08-09 10:00:00,0.0,6960.0,bytes,Cloud Monitoring
2024-08-09 11:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-09 12:00:00,0.0,6728.0,bytes,Cloud Monitoring
2024-08-09 12:00:00,0.0,20880.0,bytes,Cloud Monitoring
2024-08-09 13:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-09 13:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-09 14:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-09 14:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-09 15:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-09 16:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-09 17:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-09 17:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-09 18:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-09 19:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-09 20:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-09 20:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-09 21:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-09 21:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-09 22:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-09 23:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-10 0:00:00,0.0,20880.0,bytes,Cloud Monitoring
2024-08-10 0:00:00,0.0,6960.0,bytes,Cloud Monitoring
2024-08-10 1:00:00,0.0,6960.0,bytes,Cloud Monitoring
2024-08-10 1:00:00,0.0,20880.0,bytes,Cloud Monitoring
2024-08-10 2:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-10 3:00:00,0.0,6960.0,bytes,Cloud Monitoring
2024-08-10 3:00:00,0.0,20880.0,bytes,Cloud Monitoring
2024-08-10 4:00:00,0.0,20880.0,bytes,Cloud Monitoring
2024-08-10 4:00:00,0.0,6960.0,bytes,Cloud Monitoring
2024-08-10 5:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-10 6:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-10 7:00:00,0.0,20880.0,bytes,Cloud Monitoring
2024-08-10 7:00:00,0.0,6960.0,bytes,Cloud Monitoring
2024-08-10 8:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-10 9:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-10 10:00:00,0.0,27840.0,bytes,Cloud Monitoring
2024-08-10 11:00:00,0.0,14848.0,bytes,Cloud Monitoring
2024-08-10 11:00:00,0.0,12992.0,bytes,Cloud Monitoring
2024-08-10 12:00:00,0.0,13920.0,bytes,Cloud Monitoring
2024-08-10 12:00:00,0.0,13920.0,bytes,Cloud Monitoring
