usage_end_time,cost,usage_amount,usage_unit,service_type
2023-12-12 12:00:00,0.0,1.0,requests,Cloud Storage
2023-12-12 12:00:00,0.0,3.0,requests,Cloud Storage
2023-12-12 18:00:00,0.0,2.0,requests,Cloud Storage
2023-12-12 18:00:00,0.0,6.0,requests,Cloud Storage
2023-12-13 6:00:00,0.0,32.0,bytes,Cloud Storage
2023-12-13 6:00:00,0.0,32.0,bytes,Cloud Storage
2023-12-13 6:00:00,1e-05,1.0,requests,Cloud Storage
2023-12-13 6:00:00,0.0,1.0,requests,Cloud Storage
2023-12-13 12:00:00,0.0,1731.0,bytes,Cloud Storage
2023-12-13 12:00:00,0.0,2841961.0,bytes,Cloud Storage
2023-12-13 12:00:00,0.0,5.0,requests,Cloud Storage
2023-12-13 12:00:00,0.0,1783169.0,bytes,Cloud Storage
2023-12-13 12:00:00,0.0,673.0,bytes,Cloud Storage
2023-12-13 12:00:00,8.4e-05,210.0,requests,Cloud Storage
2023-12-13 12:00:00,0.00063,63.0,requests,Cloud Storage
2023-12-13 12:00:00,3.3e-05,1783169.0,bytes,Cloud Storage
2023-12-13 18:00:00,0.0,8302.0,bytes,Cloud Storage
2023-12-13 18:00:00,0.0,1.0,requests,Cloud Storage
2023-12-13 18:00:00,2e-05,2.0,requests,Cloud Storage
2023-12-14 6:00:00,0.0,2.0,requests,Cloud Storage
2023-12-14 8:00:00,0.0,7149120512.0,byte-seconds,Cloud Storage
2023-12-14 12:00:00,0.0,379916.0,bytes,Cloud Storage
2023-12-14 12:00:00,0.0001,10.0,requests,Cloud Storage
2023-12-14 12:00:00,9e-06,24.0,requests,Cloud Storage
2023-12-14 12:00:00,5e-06,272143.0,bytes,Cloud Storage
2023-12-14 12:00:00,0.0,149.0,requests,Cloud Storage
2023-12-14 12:00:00,0.0,3.0,requests,Cloud Storage
2023-12-14 12:00:00,0.0,272143.0,bytes,Cloud Storage
2023-12-14 18:00:00,0.0,176.0,requests,Cloud Storage
2023-12-15 0:00:00,0.0,176.0,requests,Cloud Storage
2023-12-15 6:00:00,0.0,185.0,requests,Cloud Storage
2023-12-15 8:00:00,0.0,6381545472.0,byte-seconds,Cloud Storage
2023-12-15 12:00:00,0.0,173.0,requests,Cloud Storage
2023-12-15 18:00:00,0.0,173.0,requests,Cloud Storage
2023-12-16 0:00:00,0.0,179.0,requests,Cloud Storage
2023-12-16 6:00:00,0.0,185.0,requests,Cloud Storage
2023-12-16 8:00:00,0.0,7819458560.0,byte-seconds,Cloud Storage
2023-12-16 12:00:00,0.0,169.0,requests,Cloud Storage
2023-12-16 18:00:00,0.0,178.0,requests,Cloud Storage
2023-12-17 0:00:00,0.0,175.0,requests,Cloud Storage
2023-12-17 6:00:00,0.0,184.0,requests,Cloud Storage
2023-12-17 8:00:00,0.0,7819458560.0,byte-seconds,Cloud Storage
2023-12-17 12:00:00,0.0,2771384.0,bytes,Cloud Storage
2023-12-17 12:00:00,0.0,169.0,requests,Cloud Storage
2023-12-17 12:00:00,0.0,1742242.0,bytes,Cloud Storage
2023-12-17 12:00:00,7.8e-05,195.0,requests,Cloud Storage
2023-12-17 12:00:00,0.00051,51.0,requests,Cloud Storage
2023-12-17 12:00:00,3.2e-05,1742242.0,bytes,Cloud Storage
2023-12-17 18:00:00,0.0,3108806.0,bytes,Cloud Storage
2023-12-17 18:00:00,0.0,177.0,requests,Cloud Storage
2023-12-17 18:00:00,0.0,1387152.0,bytes,Cloud Storage
2023-12-17 18:00:00,0.000104,260.0,requests,Cloud Storage
2023-12-17 18:00:00,0.0004,40.0,requests,Cloud Storage
2023-12-17 18:00:00,2.5e-05,1387152.0,bytes,Cloud Storage
2023-12-18 0:00:00,0.0,176.0,requests,Cloud Storage
2023-12-18 6:00:00,0.0,852610.0,bytes,Cloud Storage
2023-12-18 6:00:00,0.0,184.0,requests,Cloud Storage
2023-12-18 6:00:00,0.0,544286.0,bytes,Cloud Storage
2023-12-18 6:00:00,2.5e-05,63.0,requests,Cloud Storage
2023-12-18 6:00:00,0.00018,18.0,requests,Cloud Storage
2023-12-18 6:00:00,1e-05,544286.0,bytes,Cloud Storage
2023-12-18 8:00:00,0.0,312383488.0,byte-seconds,Cloud Storage
2023-12-18 12:00:00,0.0,756472.0,bytes,Cloud Storage
2023-12-18 12:00:00,0.00014,14.0,requests,Cloud Storage
2023-12-18 12:00:00,2.4e-05,61.0,requests,Cloud Storage
2023-12-18 12:00:00,6e-06,346788.0,bytes,Cloud Storage
2023-12-18 12:00:00,0.0,171.0,requests,Cloud Storage
2023-12-18 12:00:00,0.0,346788.0,bytes,Cloud Storage
2023-12-18 18:00:00,0.0,991.0,bytes,Cloud Storage
