reference_time,is_anomaly,usage_end_time,cost,usage_amount,usage_unit,service_type
0.0,0,2024-08-01 08:00:00,-2e-06,583200.0,byte-seconds,Dataplex
1.0,0,2024-08-01 09:00:00,-2e-06,583200.0,byte-seconds,Dataplex
2.0,0,2024-08-01 10:00:00,-2e-06,583200.0,byte-seconds,Dataplex
3.0,0,2024-08-01 11:00:00,-2e-06,583200.0,byte-seconds,Dataplex
4.0,0,2024-08-01 12:00:00,-2e-06,583200.0,byte-seconds,Dataplex
5.0,0,2024-08-01 13:00:00,-2e-06,583200.0,byte-seconds,Dataplex
6.0,0,2024-08-01 14:00:00,-2e-06,583200.0,byte-seconds,Dataplex
7.0,0,2024-08-01 15:00:00,-2e-06,583200.0,byte-seconds,Dataplex
8.0,0,2024-08-01 16:00:00,-2e-06,583200.0,byte-seconds,Dataplex
9.0,0,2024-08-01 17:00:00,-2e-06,583200.0,byte-seconds,Dataplex
10.0,0,2024-08-01 18:00:00,-2e-06,583200.0,byte-seconds,Dataplex
11.0,0,2024-08-01 19:00:00,-2e-06,583200.0,byte-seconds,Dataplex
12.0,0,2024-08-01 20:00:00,-2e-06,583200.0,byte-seconds,Dataplex
13.0,0,2024-08-01 21:00:00,-2e-06,583200.0,byte-seconds,Dataplex
14.0,0,2024-08-01 22:00:00,-2e-06,583200.0,byte-seconds,Dataplex
15.0,0,2024-08-01 23:00:00,-2e-06,583200.0,byte-seconds,Dataplex
16.0,0,2024-08-02 00:00:00,-2e-06,583200.0,byte-seconds,Dataplex
17.0,0,2024-08-02 01:00:00,-2e-06,583200.0,byte-seconds,Dataplex
18.0,0,2024-08-02 02:00:00,-2e-06,583200.0,byte-seconds,Dataplex
19.0,0,2024-08-02 03:00:00,-2e-06,583200.0,byte-seconds,Dataplex
20.0,0,2024-08-02 04:00:00,-2e-06,583200.0,byte-seconds,Dataplex
21.0,0,2024-08-02 05:00:00,-2e-06,583200.0,byte-seconds,Dataplex
22.0,0,2024-08-02 06:00:00,-2e-06,583200.0,byte-seconds,Dataplex
23.0,0,2024-08-02 07:00:00,-2e-06,583200.0,byte-seconds,Dataplex
24.0,0,2024-08-02 08:00:00,0.0,583200.0,byte-seconds,Dataplex
25.0,0,2024-08-02 09:00:00,0.0,583200.0,byte-seconds,Dataplex
26.0,0,2024-08-02 10:00:00,0.0,583200.0,byte-seconds,Dataplex
27.0,0,2024-08-02 11:00:00,0.0,583200.0,byte-seconds,Dataplex
28.0,0,2024-08-02 12:00:00,0.0,583200.0,byte-seconds,Dataplex
29.0,0,2024-08-02 13:00:00,0.0,583200.0,byte-seconds,Dataplex
30.0,0,2024-08-02 14:00:00,0.0,583200.0,byte-seconds,Dataplex
31.0,0,2024-08-02 15:00:00,0.0,583200.0,byte-seconds,Dataplex
32.0,0,2024-08-02 16:00:00,0.0,583200.0,byte-seconds,Dataplex
33.0,0,2024-08-02 17:00:00,0.0,583200.0,byte-seconds,Dataplex
34.0,0,2024-08-02 18:00:00,0.0,583200.0,byte-seconds,Dataplex
35.0,0,2024-08-02 19:00:00,0.0,583200.0,byte-seconds,Dataplex
36.0,0,2024-08-02 20:00:00,0.0,583200.0,byte-seconds,Dataplex
37.0,0,2024-08-02 21:00:00,0.0,583200.0,byte-seconds,Dataplex
38.0,0,2024-08-02 22:00:00,0.0,583200.0,byte-seconds,Dataplex
39.0,0,2024-08-02 23:00:00,0.0,583200.0,byte-seconds,Dataplex
40.0,0,2024-08-03 00:00:00,0.0,583200.0,byte-seconds,Dataplex
41.0,0,2024-08-03 01:00:00,0.0,583200.0,byte-seconds,Dataplex
42.0,0,2024-08-03 02:00:00,0.0,583200.0,byte-seconds,Dataplex
43.0,0,2024-08-03 03:00:00,0.0,583200.0,byte-seconds,Dataplex
44.0,0,2024-08-03 04:00:00,0.0,583200.0,byte-seconds,Dataplex
45.0,0,2024-08-03 05:00:00,0.0,583200.0,byte-seconds,Dataplex
46.0,0,2024-08-03 06:00:00,0.0,583200.0,byte-seconds,Dataplex
47.0,0,2024-08-03 07:00:00,0.0,583200.0,byte-seconds,Dataplex
48.0,0,2024-08-03 08:00:00,0.0,583200.0,byte-seconds,Dataplex
49.0,0,2024-08-03 09:00:00,0.0,583200.0,byte-seconds,Dataplex
50.0,0,2024-08-03 10:00:00,0.0,583200.0,byte-seconds,Dataplex
51.0,0,2024-08-03 11:00:00,0.0,583200.0,byte-seconds,Dataplex
52.0,0,2024-08-03 12:00:00,0.0,583200.0,byte-seconds,Dataplex
53.0,0,2024-08-03 13:00:00,0.0,583200.0,byte-seconds,Dataplex
54.0,0,2024-08-03 14:00:00,0.0,583200.0,byte-seconds,Dataplex
55.0,0,2024-08-03 15:00:00,0.0,583200.0,byte-seconds,Dataplex
56.0,0,2024-08-03 16:00:00,0.0,583200.0,byte-seconds,Dataplex
57.0,0,2024-08-03 17:00:00,0.0,583200.0,byte-seconds,Dataplex
58.0,0,2024-08-03 18:00:00,0.0,583200.0,byte-seconds,Dataplex
59.0,0,2024-08-03 19:00:00,0.0,583200.0,byte-seconds,Dataplex
60.0,0,2024-08-03 20:00:00,0.0,583200.0,byte-seconds,Dataplex
61.0,0,2024-08-03 21:00:00,0.0,583200.0,byte-seconds,Dataplex
62.0,0,2024-08-03 22:00:00,0.0,583200.0,byte-seconds,Dataplex
63.0,0,2024-08-03 23:00:00,0.0,583200.0,byte-seconds,Dataplex
64.0,0,2024-08-04 00:00:00,0.0,583200.0,byte-seconds,Dataplex
65.0,0,2024-08-04 01:00:00,0.0,583200.0,byte-seconds,Dataplex
66.0,0,2024-08-04 02:00:00,0.0,583200.0,byte-seconds,Dataplex
67.0,0,2024-08-04 03:00:00,0.0,583200.0,byte-seconds,Dataplex
68.0,0,2024-08-04 04:00:00,0.0,583200.0,byte-seconds,Dataplex
69.0,0,2024-08-04 05:00:00,0.0,583200.0,byte-seconds,Dataplex
70.0,0,2024-08-04 06:00:00,0.0,583200.0,byte-seconds,Dataplex
71.0,0,2024-08-04 07:00:00,0.0,583200.0,byte-seconds,Dataplex
72.0,0,2024-08-04 08:00:00,0.0,583200.0,byte-seconds,Dataplex
73.0,0,2024-08-04 09:00:00,0.0,583200.0,byte-seconds,Dataplex
74.0,0,2024-08-04 10:00:00,0.0,583200.0,byte-seconds,Dataplex
75.0,0,2024-08-04 11:00:00,0.0,583200.0,byte-seconds,Dataplex
76.0,0,2024-08-04 12:00:00,0.0,583200.0,byte-seconds,Dataplex
77.0,0,2024-08-04 13:00:00,0.0,583200.0,byte-seconds,Dataplex
78.0,0,2024-08-04 14:00:00,0.0,583200.0,byte-seconds,Dataplex
79.0,0,2024-08-04 15:00:00,0.0,583200.0,byte-seconds,Dataplex
80.0,0,2024-08-04 16:00:00,0.0,583200.0,byte-seconds,Dataplex
81.0,0,2024-08-04 17:00:00,0.0,583200.0,byte-seconds,Dataplex
82.0,0,2024-08-04 18:00:00,0.0,583200.0,byte-seconds,Dataplex
83.0,0,2024-08-04 19:00:00,0.0,583200.0,byte-seconds,Dataplex
84.0,0,2024-08-04 20:00:00,0.0,583200.0,byte-seconds,Dataplex
85.0,0,2024-08-04 21:00:00,0.0,583200.0,byte-seconds,Dataplex
86.0,0,2024-08-04 22:00:00,0.0,583200.0,byte-seconds,Dataplex
87.0,0,2024-08-04 23:00:00,0.0,583200.0,byte-seconds,Dataplex
88.0,0,2024-08-05 00:00:00,0.0,583200.0,byte-seconds,Dataplex
89.0,0,2024-08-05 01:00:00,0.0,583200.0,byte-seconds,Dataplex
90.0,0,2024-08-05 02:00:00,0.0,583200.0,byte-seconds,Dataplex
