reference_time,is_anomaly,usage_end_time,cost,usage_amount,usage_unit,service_type
0.0,1,2023-12-07 09:00:00,0.025194,907.0,seconds,Kubernetes Engine
1.0,0,2023-12-07 10:00:00,0.1,3600.0,seconds,Kubernetes Engine
2.0,1,2023-12-07 11:00:00,0.099971,3599.0,seconds,Kubernetes Engine
3.0,0,2023-12-07 12:00:00,0.099999,3600.0,seconds,Kubernetes Engine
4.0,0,2023-12-07 13:00:00,0.099999,3600.0,seconds,Kubernetes Engine
5.0,0,2023-12-07 14:00:00,0.099999,3600.0,seconds,Kubernetes Engine
6.0,0,2023-12-07 15:00:00,0.099999,3600.0,seconds,Kubernetes Engine
7.0,0,2023-12-07 16:00:00,0.099999,3600.0,seconds,Kubernetes Engine
8.0,0,2023-12-07 17:00:00,0.09999899999999999,3600.0,seconds,Kubernetes Engine
9.0,0,2023-12-07 18:00:00,0.099999,3600.0,seconds,Kubernetes Engine
10.0,0,2023-12-07 19:00:00,0.099999,3600.0,seconds,Kubernetes Engine
11.0,0,2023-12-07 20:00:00,0.099999,3600.0,seconds,Kubernetes Engine
12.0,0,2023-12-07 21:00:00,0.099999,3600.0,seconds,Kubernetes Engine
13.0,0,2023-12-07 22:00:00,0.099999,3600.0,seconds,Kubernetes Engine
14.0,0,2023-12-07 23:00:00,0.1,3600.0,seconds,Kubernetes Engine
15.0,0,2023-12-08 00:00:00,0.099999,3600.0,seconds,Kubernetes Engine
16.0,0,2023-12-08 01:00:00,0.099999,3600.0,seconds,Kubernetes Engine
17.0,0,2023-12-08 02:00:00,0.099999,3600.0,seconds,Kubernetes Engine
18.0,0,2023-12-08 03:00:00,0.099999,3600.0,seconds,Kubernetes Engine
19.0,0,2023-12-08 04:00:00,0.099999,3600.0,seconds,Kubernetes Engine
20.0,0,2023-12-08 05:00:00,0.099999,3600.0,seconds,Kubernetes Engine
21.0,0,2023-12-08 06:00:00,0.099999,3600.0,seconds,Kubernetes Engine
22.0,0,2023-12-08 07:00:00,0.099999,3600.0,seconds,Kubernetes Engine
23.0,0,2023-12-08 08:00:00,0.099999,3600.0,seconds,Kubernetes Engine
24.0,0,2023-12-08 09:00:00,0.1,3600.0,seconds,Kubernetes Engine
25.0,0,2023-12-08 10:00:00,0.1,3600.0,seconds,Kubernetes Engine
26.0,0,2023-12-08 11:00:00,0.099999,3600.0,seconds,Kubernetes Engine
27.0,0,2023-12-08 12:00:00,0.099998,3600.0,seconds,Kubernetes Engine
28.0,0,2023-12-08 13:00:00,0.099999,3600.0,seconds,Kubernetes Engine
29.0,0,2023-12-08 14:00:00,0.099999,3600.0,seconds,Kubernetes Engine
30.0,0,2023-12-08 15:00:00,0.09999899999999999,3600.0,seconds,Kubernetes Engine
31.0,0,2023-12-08 16:00:00,0.099999,3600.0,seconds,Kubernetes Engine
