reference_time,is_anomaly,usage_end_time,cost,usage_amount,usage_unit,service_type
0.0,0,2023-12-07 09:00:00,0.012141,24279735.0,seconds,Networking
1.0,0,2023-12-07 10:00:00,0.023043,52601340.0,seconds,Networking
2.0,0,2023-12-07 11:00:00,0.04104,59241684.0,seconds,Networking
3.0,0,2023-12-07 12:00:00,0.041037000000000004,50110058.0,seconds,Networking
4.0,0,2023-12-07 13:00:00,0.041063999999999996,56238309.0,seconds,Networking
5.0,0,2023-12-07 14:00:00,0.041064,61270869.0,seconds,Networking
6.0,0,2023-12-07 15:00:00,0.041048,59869460.0,seconds,Networking
7.0,0,2023-12-07 16:00:00,0.040998,43278421.0,seconds,Networking
8.0,0,2023-12-07 17:00:00,0.040998,51504651.0,seconds,Networking
9.0,0,2023-12-07 18:00:00,0.040999,47676633.0,seconds,Networking
10.0,0,2023-12-07 19:00:00,0.040999,50944060.0,seconds,Networking
11.0,0,2023-12-07 20:00:00,0.040999,53491780.0,seconds,Networking
12.0,0,2023-12-07 21:00:00,0.040999,47263281.0,seconds,Networking
13.0,0,2023-12-07 22:00:00,0.040998,48711656.0,seconds,Networking
14.0,0,2023-12-07 23:00:00,0.040999,48714243.0,seconds,Networking
15.0,0,2023-12-08 00:00:00,0.040998,48200325.0,seconds,Networking
16.0,0,2023-12-08 01:00:00,0.040999,49615109.0,seconds,Networking
17.0,0,2023-12-08 02:00:00,0.040999,50297003.0,seconds,Networking
18.0,0,2023-12-08 03:00:00,0.040998,50415154.0,seconds,Networking
19.0,0,2023-12-08 04:00:00,0.040998,49164620.0,seconds,Networking
20.0,0,2023-12-08 05:00:00,0.040999,48668711.0,seconds,Networking
21.0,0,2023-12-08 06:00:00,0.040999,50461534.0,seconds,Networking
22.0,0,2023-12-08 07:00:00,0.040998,49406178.0,seconds,Networking
23.0,0,2023-12-08 08:00:00,0.040998,47251236.0,seconds,Networking
24.0,0,2023-12-08 09:00:00,0.041051000000000004,59250560.0,seconds,Networking
25.0,0,2023-12-08 10:00:00,0.041055,52992404.0,seconds,Networking
26.0,0,2023-12-08 11:00:00,0.041048,50918688.0,seconds,Networking
27.0,0,2023-12-08 12:00:00,0.041002000000000004,47130543.0,bytes,Networking
28.0,0,2023-12-08 13:00:00,0.040998,44440520.0,bytes,Networking
29.0,0,2023-12-08 14:00:00,0.040998,46089141.0,bytes,Networking
30.0,0,2023-12-08 15:00:00,0.040999,47378623.0,seconds,Networking
31.0,0,2023-12-08 16:00:00,0.040998,47522510.0,seconds,Networking
32.0,0,2023-12-08 17:00:00,0.040998,46051095.0,seconds,Networking
33.0,0,2023-12-08 18:00:00,0.040998,44014783.0,seconds,Networking
34.0,0,2023-12-08 19:00:00,0.040998,49977216.0,seconds,Networking
35.0,0,2023-12-08 20:00:00,0.040999,43775122.0,seconds,Networking
