date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:30	5407/5407	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2008:40:29%20GMT	http://localhost:3000/	C:/Users/<redacted-user>/Documents/Hackathon%202024/Hackathon2024/localhost_3000/index.html	(from )
10:40:31	3151/3151	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Aug%202024%2008:40:30%20GMT	http://localhost:3000/robots.txt		(from )
10:40:31	33718/33718	---MCZ	200	added ('OK')	text/css	etag:W/%2283b6-19164cf7813%22	http://localhost:3000/_next/static/css/app/layout.css?v=1724056829482	C:/Users/<redacted-user>/Documents/Hackathon%202024/Hackathon2024/localhost_3000/_next/static/css/app/layoutc7b0.css	(from http://localhost:3000/)
10:40:32	7527/7527	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Aug%202024%2008:40:31%20GMT	http://localhost:3000/next_static/css/app/layout.css	C:/Users/<redacted-user>/Documents/Hackathon%202024/Hackathon2024/localhost_3000/next_static/css/app/layout.css	(from http://localhost:3000/)
10:40:32	56460/56460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc8c-19169cb82f3%22	http://localhost:3000/_next/static/chunks/webpack.js?v=1724056829482	C:/Users/<redacted-user>/Documents/Hackathon%202024/Hackathon2024/localhost_3000/_next/static/chunks/webpackc7b0.js	(from http://localhost:3000/)
10:40:37	136577/136577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2221581-19164cf7806%22	http://localhost:3000/_next/static/chunks/app-pages-internals.js	C:/Users/<redacted-user>/Documents/Hackathon%202024/Hackathon2024/localhost_3000/_next/static/chunks/app-pages-internals.js	(from http://localhost:3000/)
10:40:38	25931/25931	---MC-	200	added ('OK')	image/x-icon	date:Mon,%2019%20Aug%202024%2008:40:33%20GMT	http://localhost:3000/favicon.ico	C:/Users/<redacted-user>/Documents/Hackathon%202024/Hackathon2024/localhost_3000/favicon.ico	(from http://localhost:3000/)
10:40:42	25908/25908	---M--	200	added ('OK')	font/woff2	etag:W/%226534-19164cf7806%22	http://localhost:3000/_next/static/media/55c55f0601d81cf3-s.woff2	C:/Users/<redacted-user>/Documents/Hackathon%202024/Hackathon2024/localhost_3000/_next/static/media/55c55f0601d81cf3-s.woff2	(from http://localhost:3000/_next/static/css/app/layout.css?v=1724056829482)
10:40:42	91381/91381	---MCZ	200	added ('OK')	application/javascript	etag:W/%22164f5-19164cf2448%22	http://localhost:3000/_next/static/chunks/polyfills.js	C:/Users/<redacted-user>/Documents/Hackathon%202024/Hackathon2024/localhost_3000/_next/static/chunks/polyfills.js	(from http://localhost:3000/)
10:40:44	11220/11220	---M--	200	added ('OK')	font/woff2	etag:W/%222bd4-19164cf7806%22	http://localhost:3000/_next/static/media/97e0cb1ae144a2a9-s.woff2	C:/Users/<redacted-user>/Documents/Hackathon%202024/Hackathon2024/localhost_3000/_next/static/media/97e0cb1ae144a2a9-s.woff2	(from http://localhost:3000/_next/static/css/app/layout.css?v=1724056829482)
10:40:45	18820/18820	---M--	200	added ('OK')	font/woff2	etag:W/%224984-19164cf7806%22	http://localhost:3000/_next/static/media/26a46d62cd723877-s.woff2	C:/Users/<redacted-user>/Documents/Hackathon%202024/Hackathon2024/localhost_3000/_next/static/media/26a46d62cd723877-s.woff2	(from http://localhost:3000/_next/static/css/app/layout.css?v=1724056829482)
10:40:47	10280/10280	---M--	200	added ('OK')	font/woff2	etag:W/%222828-19164cf7806%22	http://localhost:3000/_next/static/media/df0a9ae256c0569c-s.woff2	C:/Users/<redacted-user>/Documents/Hackathon%202024/Hackathon2024/localhost_3000/_next/static/media/df0a9ae256c0569c-s.woff2	(from http://localhost:3000/_next/static/css/app/layout.css?v=1724056829482)
